Question_Type,Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Answer
MCQ,1,The living components of an ecosystem are called:,Abiotic factors,Biotic factors,Producers,Consumers,Biotic factors
MCQ,2,The non-living components of an ecosystem are called:,Abiotic factors,Biotic factors,Producers,Consumers,Abiotic factors
MCQ,3,Organisms that produce their own food are called:,Consumers,Decomposers,Producers,Herbivores,Producers
MCQ,4,Organisms that depend on producers for food are called:,Producers,Consumers,Decomposers,Autotrophs,Consumers
MCQ,5,Organisms that break down dead organic matter are called:,Producers,Consumers,Decomposers,Herbivores,Decomposers
MCQ,6,Organisms that eat only plants are called:,Carnivores,Omnivores,Herbivores,Decomposers,Herbivores
MCQ,7,Organisms that eat only animals are called:,Herbivores,Omnivores,Carnivores,Producers,Carnivores
MCQ,8,Organisms that eat both plants and animals are called:,Herbivores,Carnivores,Omnivores,Decomposers,Omnivores
MCQ,9,A series of organisms through which energy flows is called:,Food web,Food chain,Ecosystem,Trophic level,Food chain
MCQ,10,Many food chains interconnected form a:,Food chain,Food web,Ecosystem,Trophic level,Food web
MCQ,11,The position of an organism in a food chain is called:,Food chain,Food web,Trophic level,Ecosystem,Trophic level
MCQ,12,The first trophic level consists of:,Herbivores,Carnivores,Producers,Decomposers,Producers
MCQ,13,The second trophic level consists of:,Producers,Primary consumers,Secondary consumers,Tertiary consumers,Primary consumers
MCQ,14,The third trophic level consists of:,Primary consumers,Secondary consumers,Tertiary consumers,Producers,Secondary consumers
MCQ,15,The flow of energy in a food chain is:,Unidirectional,Bidirectional,Multidirectional,Circular,Unidirectional
MCQ,16,Substances that can be broken down by microorganisms are called:,Non-biodegradable,Biodegradable,Inorganic,Organic,Biodegradable
MCQ,17,Substances that cannot be broken down by microorganisms are called:,Biodegradable,Non-biodegradable,Organic,Inorganic,Non-biodegradable
MCQ,18,The accumulation of harmful substances at higher trophic levels is called:,Biomagnification,Biodegradation,Food chain,Ecosystem,Biomagnification
MCQ,19,The ozone layer protects us from:,Infrared rays,Ultraviolet rays,Visible light,Radio waves,Ultraviolet rays
MCQ,20,The depletion of ozone layer is caused by:,CO₂,CFCs,SO₂,NO₂,CFCs
MCQ,21,CFCs stand for:,Chlorofluorocarbons,Carbon fluorocarbons,Chlorine fluorocarbons,Calcium fluorocarbons,Chlorofluorocarbons
MCQ,22,The ozone layer is found in:,Troposphere,Stratosphere,Mesosphere,Thermosphere,Stratosphere
MCQ,23,The chemical formula of ozone is:,O₂,O₃,O₄,CO₂,O₃
MCQ,24,The main cause of global warming is:,Ozone depletion,Greenhouse effect,Acid rain,Pollution,Greenhouse effect
MCQ,25,The main greenhouse gas is:,O₂,N₂,CO₂,Ar,CO₂
MCQ,26,Substances like plastics are:,Biodegradable,Non-biodegradable,Organic,Inorganic,Non-biodegradable
MCQ,27,Substances like paper are:,Non-biodegradable,Biodegradable,Inorganic,Metallic,Biodegradable
MCQ,28,The process of converting waste into reusable material is called:,Recycling,Reusing,Reducing,Composting,Recycling
MCQ,29,The 3R principle stands for:,Reduce, Reuse, Recycle,Reduce, Recycle, Remove,Reuse, Remove, Recycle,Recycle, Remove, Reduce,Reduce, Reuse, Recycle
MCQ,30,Waste management involves:,Reducing waste,Reusing materials,Recycling,All of the above,All of the above
MCQ,31,The most important component of an ecosystem is:,Sun,Water,Soil,All of the above,All of the above
MCQ,32,In a food chain, the energy available at each trophic level is:,10% of previous level,20% of previous level,50% of previous level,90% of previous level,10% of previous level
MCQ,33,The maximum amount of energy is available at:,First trophic level,Second trophic level,Third trophic level,Fourth trophic level,First trophic level
MCQ,34,Ecosystems that depend on external sources for food are called:,Autotrophic,Heterotrophic,Both,Neither,Heterotrophic
MCQ,35,Green plants are:,Autotrophs,Heterotrophs,Decomposers,Consumers,Autotrophs
MCQ,36,The percentage of energy transferred from one trophic level to next is approximately:,1%,10%,50%,90%,10%
MCQ,37,The amount of energy decreases as we move:,Up the food chain,Down the food chain,Horizontally,Diagonally,Up the food chain
MCQ,38,The highest concentration of DDT is found in:,Producers,Herbivores,Carnivores,Top carnivores,Top carnivores
MCQ,39,DDT is an example of:,Biodegradable substance,Non-biodegradable substance,Organic fertilizer,Inorganic fertilizer,Non-biodegradable substance
MCQ,40,The process of gradual accumulation of harmful chemicals in organisms is called:,Biomagnification,Biodegradation,Bioaccumulation,Both a and c,Both a and c
MCQ,41,The ozone layer is important because it:,Produces oxygen,Absorbs UV radiation,Produces heat,Reflects light,Absorbs UV radiation
MCQ,42,Excessive UV radiation can cause:,Skin cancer,Cataracts,Both a and b,None of the above,Both a and b
MCQ,43,The main source of CFCs is:,Refrigerators,Air conditioners,Aerosols,All of the above,All of the above
MCQ,44,The Montreal Protocol was signed to:,Reduce CO₂ emissions,Protect ozone layer,Reduce pollution,Conserve water,Protect ozone layer
MCQ,45,Composting is a method of:,Recycling organic waste,Disposing waste,Reducing waste,Burning waste,Recycling organic waste
MCQ,46,Landfills are used for:,Recycling,Disposing solid waste,Composting,Incinerating,Disposing solid waste
MCQ,47,Incineration is a method of:,Recycling,Composting,Burning waste,Reducing waste,Burning waste
MCQ,48,The best way to manage waste is:,Reduce,Reuse,Recycle,All of the above,All of the above
MCQ,49,The process of converting organic waste into manure is called:,Composting,Recycling,Incineration,Landfilling,Composting
MCQ,50,The main components of an ecosystem are:,Biotic and abiotic,Producers and consumers,Plants and animals,Land and water,Biotic and abiotic
Integer,1,In a food chain, approximately _____% of energy is transferred to next trophic level.,10,,,,
Integer,2,The percentage of energy lost at each trophic level is approximately _____% (90%).,90,,,,
Integer,3,The chemical formula of ozone has _____ oxygen atoms.,3,,,,
Integer,4,The chemical formula of ozone is O₃. Number of O atoms: _____.,3,,,,
Integer,5,The number of oxygen atoms in O₂ is: _____.,2,,,,
Integer,6,In CO₂, the number of oxygen atoms is: _____.,2,,,,
Integer,7,The first trophic level consists of producers. Write the level number: _____.,1,,,,
Integer,8,The second trophic level consists of primary consumers. Write the level number: _____.,2,,,,
Integer,9,The third trophic level consists of secondary consumers. Write the level number: _____.,3,,,,
Integer,10,The fourth trophic level consists of tertiary consumers. Write the level number: _____.,4,,,,
Integer,11,If 1000 J energy is at first trophic level, approximately _____ J reaches second level (10% of 1000 = 100).,100,,,,
Integer,12,If 100 J energy is at second trophic level, approximately _____ J reaches third level (10% of 100 = 10).,10,,,,
Integer,13,If 10 J energy is at third trophic level, approximately _____ J reaches fourth level (10% of 10 = 1).,1,,,,
Integer,14,The number of main components of ecosystem is: _____ (biotic and abiotic - so 2).,2,,,,
Integer,15,The number of oxygen atoms in ozone (O₃) is: _____.,3,,,,
Integer,16,The number of oxygen atoms in oxygen molecule (O₂) is: _____.,2,,,,
Integer,17,The number of carbon atoms in CO₂ is: _____.,1,,,,
Integer,18,The number of oxygen atoms in CO₂ is: _____.,2,,,,
Integer,19,The number of main types of consumers is: _____ (herbivores, carnivores, omnivores - so 3).,3,,,,
Integer,20,The 3R principle has _____ components (Reduce, Reuse, Recycle - so 3).,3,,,,
Integer,21,The number of oxygen atoms in H₂O is: _____.,1,,,,
Integer,22,The number of hydrogen atoms in H₂O is: _____.,2,,,,
Integer,23,The number of hydrogen atoms in H₂ is: _____.,2,,,,
Integer,24,In the reaction 2H₂ + O₂ → 2H₂O, the coefficient of H₂O is: _____.,2,,,,
Integer,25,In the reaction 2H₂ + O₂ → 2H₂O, the coefficient of O₂ is: _____.,1,,,,
Integer,26,The percentage of energy transferred from trophic level 1 to 2 is approximately _____%.,10,,,,
Integer,27,The percentage of energy transferred from trophic level 2 to 3 is approximately _____%.,10,,,,
Integer,28,The percentage of energy transferred from trophic level 3 to 4 is approximately _____%.,10,,,,
Integer,29,If energy at level 1 is 10000 J, energy at level 2 is approximately _____ J (10% of 10000 = 1000).,1000,,,,
Integer,30,If energy at level 2 is 1000 J, energy at level 3 is approximately _____ J (10% of 1000 = 100).,100,,,,
Integer,31,The number of main types of waste management methods is: _____ (reduce, reuse, recycle, composting, incineration, landfilling - so about 4-6, let's use 4 main ones: reduce, reuse, recycle, dispose).,4,,,,
Integer,32,The number of carbon atoms in CO₂ is: _____.,1,,,,
Integer,33,The number of oxygen atoms in CO₂ is: _____.,2,,,,
Integer,34,The number of oxygen atoms in O₃ is: _____.,3,,,,
Integer,35,The number of main greenhouse gases is: _____ (CO₂, CH₄, N₂O, water vapor - so 4 major ones).,4,,,,
Integer,36,The number of carbon atoms in CH₄ (methane) is: _____.,1,,,,
Integer,37,The number of hydrogen atoms in CH₄ (methane) is: _____.,4,,,,
Integer,38,In a food chain: Grass → Rabbit → Snake → Eagle, the number of trophic levels is: _____.,4,,,,
Integer,39,In a food chain: Grass → Goat → Man, the number of trophic levels is: _____.,3,,,,
Integer,40,The number of oxygen atoms in O₂ molecule is: _____.,2,,,,
Integer,41,The number of oxygen atoms in O₃ molecule is: _____.,3,,,,
Integer,42,If 100 units of energy are at producer level, approximately _____ units reach primary consumer (10% of 100 = 10).,10,,,,
Integer,43,If 10 units of energy are at primary consumer level, approximately _____ units reach secondary consumer (10% of 10 = 1).,1,,,,
Integer,44,The number of main components in ecosystem (biotic + abiotic) is: _____.,2,,,,
Integer,45,The percentage energy loss at each trophic level is approximately _____%.,90,,,,
Integer,46,The number of main types of decomposers includes bacteria and fungi. Write the number: _____ (at least 2).,2,,,,
Integer,47,The number of oxygen atoms in ozone is: _____.,3,,,,
Integer,48,The number of oxygen atoms in oxygen gas is: _____.,2,,,,
Integer,49,If energy at first level is 100 J, energy at fourth level is approximately _____ J (100 × 0.1 × 0.1 × 0.1 = 0.1, so 0.1 or approximately 0).,0,,,,
Integer,50,The number of carbon atoms in carbon dioxide (CO₂) is: _____.,1,,,,
Problem,1,What is an ecosystem? Explain its components.,"An ecosystem is a system consisting of all living organisms (biotic components) and their physical environment (abiotic components) interacting with each other. Components: 1) Biotic components: Producers (plants), Consumers (animals), Decomposers (bacteria, fungi). 2) Abiotic components: Sunlight, water, air, soil, temperature. All components interact and depend on each other. Answer: System of living and non-living components. Biotic: producers, consumers, decomposers. Abiotic: sunlight, water, air, soil",,,,
Problem,2,What are producers? Give examples.,"Producers are organisms that can make their own food using sunlight, water, and carbon dioxide through the process of photosynthesis. They are autotrophs and form the first trophic level. Examples: Green plants, algae, some bacteria. They are the primary source of energy in an ecosystem. Answer: Organisms that make their own food. Examples: Green plants, algae. Form first trophic level",,,,
Problem,3,What are consumers? Explain the types.,"Consumers are organisms that cannot make their own food and depend on producers or other consumers for food. Types: 1) Primary consumers (Herbivores) - eat plants (e.g., rabbit, goat, deer). 2) Secondary consumers (Carnivores) - eat primary consumers (e.g., snake, lion). 3) Tertiary consumers (Top carnivores) - eat secondary consumers (e.g., eagle, tiger). Omnivores eat both plants and animals. Answer: Organisms that depend on others for food. Types: Herbivores, carnivores, omnivores, at different trophic levels",,,,
Problem,4,What are decomposers? Give examples and explain their importance.,"Decomposers are organisms that break down dead organic matter into simpler substances. Examples: Bacteria and fungi. Importance: 1) Recycle nutrients back to soil, 2) Clean up dead matter, 3) Help in nutrient cycling, 4) Essential for ecosystem functioning. Without decomposers, dead matter would accumulate and nutrients would not be recycled. Answer: Organisms that break down dead matter. Examples: Bacteria, fungi. Important for nutrient recycling",,,,
Problem,5,What is a food chain? Give an example.,"A food chain is a linear sequence of organisms through which energy flows as each organism eats the one below it. Example: Grass → Rabbit → Snake → Eagle. In this: Grass (producer) is eaten by Rabbit (herbivore), Rabbit is eaten by Snake (carnivore), Snake is eaten by Eagle (top carnivore). Arrows show direction of energy flow. Answer: Linear sequence showing energy flow. Example: Grass → Rabbit → Snake → Eagle",,,,
Problem,6,What is a food web? How is it different from a food chain?,"A food web is a network of interconnected food chains. It shows complex feeding relationships in an ecosystem. Difference: Food chain is a single linear path, while food web shows multiple interconnected chains. Food web is more realistic as most organisms eat multiple types of food. Food web provides stability to ecosystem. Answer: Network of interconnected food chains. More complex and realistic than single food chain",,,,
Problem,7,What are trophic levels? Explain with example.,"Trophic levels are the different levels in a food chain where organisms obtain their food. Level 1: Producers (plants), Level 2: Primary consumers (herbivores), Level 3: Secondary consumers (carnivores), Level 4: Tertiary consumers (top carnivores). Example: Grass (L1) → Rabbit (L2) → Snake (L3) → Eagle (L4). Each level represents a step in energy transfer. Answer: Different levels in food chain. Level 1: Producers, Level 2: Primary consumers, Level 3: Secondary consumers, Level 4: Top carnivores",,,,
Problem,8,Explain the flow of energy in an ecosystem.,"Energy flows unidirectionally in an ecosystem: Sun → Producers → Primary consumers → Secondary consumers → Tertiary consumers. Only about 10% of energy is transferred to the next trophic level, rest is lost as heat. Energy cannot be recycled, it flows in one direction. As we move up trophic levels, available energy decreases. Answer: Unidirectional flow from sun through trophic levels, only 10% transferred, rest lost as heat",,,,
Problem,9,Why is the flow of energy unidirectional?,"Energy flow is unidirectional because: 1) Energy comes from sun and flows to producers, 2) Energy is transferred from one trophic level to next, 3) Energy cannot go back (consumers cannot give energy back to producers), 4) Energy is lost as heat at each level and cannot be recycled, 5) The process is irreversible. Answer: Energy comes from sun, flows one way, lost as heat, cannot be recycled or reversed",,,,
Problem,10,Explain the 10% law of energy transfer.,"The 10% law states that only about 10% of energy is transferred from one trophic level to the next. The remaining 90% is lost as heat during metabolic processes. Example: If producers have 1000 J energy, primary consumers get 100 J, secondary consumers get 10 J, tertiary consumers get 1 J. This limits the number of trophic levels in a food chain (usually 3-4). Answer: Only 10% energy transfers to next level, 90% lost as heat, limits trophic levels",,,,
Problem,11,What is biomagnification? Explain with example.,"Biomagnification is the process where harmful substances (like pesticides, heavy metals) get accumulated in higher amounts at higher trophic levels. Example: DDT sprayed on crops enters grass → grasshopper (small amount) → frog (more) → snake (more) → eagle (highest). DDT is non-biodegradable and accumulates in body tissues. Top carnivores have highest concentration. Answer: Accumulation of harmful substances at higher trophic levels. Example: DDT concentration increases up food chain",,,,
Problem,12,What is the difference between biodegradable and non-biodegradable substances? Give examples.,"Biodegradable substances can be broken down by microorganisms into simpler harmless substances. Examples: Paper, wood, food waste, cotton cloth, vegetable peels. Non-biodegradable substances cannot be broken down by microorganisms and persist in environment. Examples: Plastic, glass, metals, DDT, polythene. Answer: Biodegradable can be broken down (paper, wood). Non-biodegradable cannot (plastic, glass, DDT)",,,,
Problem,13,Why are non-biodegradable substances harmful?,"Non-biodegradable substances are harmful because: 1) They accumulate in environment, 2) They cause pollution (air, water, soil), 3) They enter food chains and cause biomagnification, 4) They harm living organisms, 5) They persist for long time, 6) They occupy space in landfills, 7) They can cause health problems. Answer: Accumulate in environment, cause pollution, enter food chains, harm organisms, persist long time",,,,
