Left Column,Right Column,Correct Matches
1) Predecessor of 1,00,000; 2) Successor of 9,99,999; 3) Predecessor of 10,00,000; 4) Successor of 99,999,A) 9,99,999; B) 1,00,000; C) 9,99,999; D) 1,00,000,1-B; 2-D; 3-A; 4-B
1) Place value of 8 in 8,54,709; 2) Place value of 5 in 5,06,402; 3) Place value of 7 in 3,27,591; 4) Place value of 4 in 4,09,318,A) 7,000; B) 5,00,000; C) 8,00,000; D) 4,00,000,1-C; 2-B; 3-A; 4-D
1) 6,00,040; 2) 3,45,009; 3) 9,08,700; 4) 1,20,506,A) 120000 + 500 + 6; B) 600000 + 40; C) 300000 + 45000 + 9; D) 900000 + 8700,1-B; 2-C; 3-D; 4-A
1) Smallest 6-digit number with distinct digits; 2) Greatest 5-digit number with distinct digits; 3) Smallest 5-digit number divisible by 10; 4) Greatest 4-digit even number,A) 98765; B) 10020; C) 10234; D) 9998,1-C; 2-A; 3-B; 4-D
1) 7 × 10,000 + 5 × 1,000 + 0 × 100 + 2 × 10 + 8; 2) 4 × 1,00,000 + 3 × 100 + 9; 3) 9 × 10,000 + 0 × 1,000 + 4 × 100 + 5; 4) 2 × 1,000 + 6 × 10 + 1,A) 75028; B) 40309; C) 90405; D) 2061,1-A; 2-B; 3-C; 4-D
1) 5,04,600 in words; 2) 9,00,090 expanded form; 3) Place value of 2 in 12,34,567; 4) Face value of 9 in 90,009,A) 200000; B) Five lakh four thousand six hundred; C) 900000 + 90; D) 9,1-B; 2-C; 3-A; 4-D
1) 40,000 + 900 + 8; 2) 6,00,000 + 70; 3) 3,20,005; 4) 8,09,040,A) 40908; B) 600070; C) 320005; D) 809040,1-A; 2-B; 3-C; 4-D
1) Indian system: 12,34,567; 2) International system of 1,234,567; 3) Expanded form of 2,05,004; 4) Standard form of 300000 + 400 + 2,A) 2,05,004 = 200000 + 5000 + 4; B) 12,34,567; C) 3,00,402; D) 1,234,567,1-B; 2-D; 3-A; 4-C
1) 9,99,999 + 1; 2) 1,00,000 − 1; 3) 10,00,000 − 1; 4) 99,999 + 1,A) 9,99,999; B) 1,00,000; C) 10,00,000; D) 1,00,000,1-C; 2-A; 3-B; 4-B
1) 3,06,070 expanded form; 2) 8,00,008 expanded form; 3) 4,50,400 expanded form; 4) 9,09,090 expanded form,A) 300000 + 6000 + 70; B) 800000 + 8; C) 450000 + 400; D) 900000 + 9000 + 90,1-A; 2-B; 3-C; 4-D
1) Number of digits in 10,00,000; 2) Number of digits in 99,999; 3) Number of digits in 1,00,00,000; 4) Number of digits in 9,99,99,999,A) 5; B) 7; C) 8; D) 9,1-B; 2-A; 3-C; 4-D
1) 2,40,005 in words; 2) Place value of 4 in 4,02,030; 3) Face value of 0 in 5,00,060; 4) Expanded form of 7,08,009,A) 700000 + 8000 + 9; B) 4,00,000; C) Two lakh forty thousand five; D) 0,1-C; 2-B; 3-D; 4-A
1) Ascending order meaning; 2) Descending order meaning; 3) Successor of 9,99,999; 4) Predecessor of 1,00,000,A) 9,99,999; B) 10,00,000; C) Smallest to greatest; D) Greatest to smallest,1-C; 2-D; 3-B; 4-A
1) 7,00,070; 2) 5,08,500; 3) 9,00,009; 4) 1,02,030,A) 700000 + 70; B) 900000 + 9; C) 508500; D) 102030,1-A; 2-C; 3-B; 4-D
1) International form of 45,67,890; 2) Indian form of 4,567,890; 3) Expanded form of 6,00,060; 4) Standard form of 500000 + 8000 + 4,A) 4,567,890; B) 45,67,890; C) 600000 + 60; D) 5,08,004,1-A; 2-B; 3-C; 4-D
