Question,Option A,Option B,Option C,Option D,Answer
Ratio compares?,Two quantities,Three quantities,Single quantity,Parts only,A
Proportion is?,Equality of two ratios,Sum of two ratios,Difference of ratios,Product of ratios,A
Ratio of 4:8?,1:2,2:1,4:8,8:4,A
Simplify ratio 10:15?,2:3,3:2,5:3,10:15,A
If ratio a:b = 3:4, a=6, b=?,8,9,7,6,A
Which is a proportion?,2:3 = 4:6,2:3,3:4,4:5,A
If 3:4 = 6:x, x=?,8,7,6,9,A
Ratio of 12:16?,3:4,4:3,12:16,2:3,A
If ratio 5:10, simplified?,1:2,2:1,5:10,10:5,A
Proportion 2:3 = 4:6?,Yes,No,Maybe,None,A
If a:b = 2:5, a=4, b=?,10,8,9,6,A
Simplify ratio 9:12?,3:4,4:3,9:12,12:9,A
Ratio compares?,Quantities of same kind,Quantities of different kind,Length only,Weight only,A
If 8:12, simplified?,2:3,3:2,4:3,3:4,A
Which is true proportion?,3:4 = 6:8,2:3,3:4,4:5,A
Ratio 7:14 simplified?,1:2,2:1,7:14,7:7,A
If a:b = 3:5, a=6, b=?,10,9,8,12,A
Which is not a proportion?,2:3 ≠ 5:6,2:3 = 5:6,3:4 = 6:8,4:5 = 8:10,A
Proportion means?,Cross multiplication holds,Addition holds,Subtraction holds,Division holds,A
Ratio of 15:20?,3:4,4:3,5:4,3:5,A
If ratio 6:9, simplified?,2:3,3:2,6:9,3:4,A
Proportion 4:5 = 8:10?,Yes,No,Maybe,None,A
Ratio of 18:24?,3:4,4:3,6:8,2:3,A
If a:b = 5:8, a=10, b=?,16,15,18,20,A
Simplify ratio 21:28?,3:4,4:3,21:28,7:8,A
Proportion 2:5 = 4:10?,Yes,No,Maybe,None,A
Ratio 9:12 simplified?,3:4,4:3,2:3,3:2,A
If a:b = 7:10, a=14, b=?,20,21,24,16,A
Which is a ratio?,3:5,3+5,3-5,3×5,A
Which is a proportion?,6:8 = 3:4,6:8 = 4:5,3:5 = 3:4,2:3 = 3:5,A
If ratio 10:15 simplified?,2:3,3:2,5:3,10:15,A
Proportion 5:6 = 10:12?,Yes,No,Maybe,None,A
If a:b = 2:7, a=4, b=?,14,12,10,13,A
Ratio 24:36 simplified?,2:3,3:2,4:5,3:4,A
Ratio 16:20 simplified?,4:5,5:4,16:20,3:4,A
If 3:8 = 9:x, x=?,24,21,18,20,A
Proportion 1:2 = 2:4?,Yes,No,Maybe,None,A
Simplify ratio 8:12?,2:3,3:2,4:3,3:4,A
Ratio 5:20 simplified?,1:4,4:1,5:4,2:5,A
Proportion 3:5 = 9:15?,Yes,No,Maybe,None,A
If a:b = 6:7, a=12, b=?,14,13,10,15,A
Ratio 10:25 simplified?,2:5,5:2,10:25,5:10,A
If ratio 9:12 simplified?,3:4,4:3,2:3,3:2,A
Proportion 8:10 = 4:5?,Yes,No,Maybe,None,A
If a:b = 4:9, a=8, b=?,18,17,16,20,A
Simplify ratio 14:21?,2:3,3:2,7:3,3:7,A
Proportion 5:8 = 15:24?,Yes,No,Maybe,None,A
If ratio 12:16 simplified?,3:4,4:3,2:3,3:2,A
