Question_Type,Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Answer
MCQ,1,Who is the author of "The Fun They Had"?,H.G. Wells,Isaac Asimov,Ruskin Bond,Roald Dahl,Isaac Asimov
MCQ,2,In which year is the story set?,2050,2100,2157,2200,2157
MCQ,3,What was Margie writing in her diary?,A poem,A letter,An essay,About Tommy’s book,About Tommy’s book
MCQ,4,How old is Margie?,9,10,11,13,11
MCQ,5,How old is Tommy?,11,12,13,14,13
MCQ,6,What kind of book did Tommy find?,Digital book,Printed book,Notebook,Magazine,Printed book
MCQ,7,Where did Tommy find the book?,Library,School attic,His house attic,Margie’s house,His house attic
MCQ,8,Why was the book special?,It was colorful,It had moving pictures,It was very old,It was handwritten,It was very old
MCQ,9,What surprised Margie about the book?,No pictures,Words didn’t move,Old paper,All of these,All of these
MCQ,10,What kind of teacher did Margie have?,Human teacher,Robot teacher,Online teacher,Video teacher,Robot teacher
MCQ,11,Where was Margie’s school?,In a building,In her house,In the town hall,In a library,In her house
MCQ,12,Who repaired Margie’s mechanical teacher?,Her father,Tommy,A mechanic,A scientist,A mechanic
MCQ,13,What subject did Margie dislike?,English,Geography,Maths,Science,Maths
MCQ,14,Why did Margie hate school?,Too much homework,Mechanical teacher,Gave tests daily,All of these,All of these
MCQ,15,What was wrong with Margie’s teacher?,Screen cracked,Too fast teaching,Geography sector faulty,Voice issue,Geography sector faulty
MCQ,16,How did old schools function?,At home,Online,With human teachers,Through robots,With human teachers
MCQ,17,How did students learn in old schools?,Individually,In groups,Online only,At night,In groups
MCQ,18,What did children do together in old schools?,Studied alone,Played and learned,Used robots,Stayed silent,Played and learned
MCQ,19,Why did Margie think old schools were fun?,No homework,Human teachers,Children together,All of these,All of these
MCQ,20,Who controlled Margie’s study schedule?,Teacher,Parents,Computer,Government,Computer
MCQ,21,What subject was Margie studying at the end?,English,Geography,History,Maths,History
MCQ,22,What kind of tests did Margie have?,Weekly,Monthly,Daily,Yearly,Daily
MCQ,23,What did Margie’s mother believe?,Girls can’t learn,Robots teach best,School timing fixed,Kids need rest,Robots teach best
MCQ,24,What was Tommy’s opinion about the book?,Boring,Funny,Interesting,Useless,Interesting
MCQ,25,Why didn’t Margie like history?,Too hard,About the past,Robot taught it,No pictures,About the past
MCQ,26,What does the story mainly highlight?,Future travel,Space science,Education system,Robots only,Education system
MCQ,27,Which device taught Margie?,Tablet,Television,Mechanical teacher,Phone,Mechanical teacher
MCQ,28,What replaced human teachers?,Robots,Computers,Books,Parents,Robots
MCQ,29,What was Margie’s attitude towards school?,Happy,Excited,Hateful,Curious,Hateful
MCQ,30,What made Margie sad at the end?,Homework,Old schools fun,Tommy’s book,Robot teacher,Old schools fun
MCQ,31,Which subject was repaired?,Maths,English,Geography,History,Geography
MCQ,32,What did Margie imagine?,Future schools,Old schools,New robots,Space travel,Old schools
MCQ,33,What kind of story is this?,Fantasy,Science fiction,Comedy,Biography,Science fiction
MCQ,34,What shows advancement in future?,Flying cars,Mechanical teachers,Space colonies,Time travel,Mechanical teachers
MCQ,35,What did Margie learn alone?,Everything,Nothing,Most subjects,Only maths,Most subjects
MCQ,36,Why were tests frequent?,Learning check,Robot design,School rule,Fun activity,Learning check
