Question_Type,Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Answer

MCQ,1,A pure substance contains?,Only one kind of particles,Two kinds of particles,Many kinds,None,Only one kind of particles
MCQ,2,Which of the following is a mixture?,Distilled water,Sodium chloride,Air,Iron,Air
MCQ,3,Which is a homogeneous mixture?,Soil,Salt solution,Smoke,Milk,Salt solution
MCQ,4,Which is a heterogeneous mixture?,Air,Sugar solution,Soil,Alloy,Soil
MCQ,5,Colloid is a?,Homogeneous mixture,Heterogeneous mixture,Pure substance,None,Heterogeneous mixture
MCQ,6,Solution consists of?,Solute and solvent,Only solute,Only solvent,None,Solute and solvent
MCQ,7,Which is the solvent in salt solution?,Salt,Water,Solution,None,Water
MCQ,8,Which mixture shows Tyndall effect?,True solution,Suspension,Colloid,None,Colloid
MCQ,9,Tyndall effect is due to?,Reflection,Refraction,Scattering,None,Scattering
MCQ,10,Which is a suspension?,Milk,Salt solution,Muddy water,Sugar solution,Muddy water
MCQ,11,Suspension particles are?,Invisible,Very small,Large and visible,None,Large and visible
MCQ,12,Which can be separated by filtration?,Salt solution,Sugar solution,Sand and water,Air,Sand and water
MCQ,13,Which method separates liquids of different boiling points?,Filtration,Evaporation,Distillation,Decantation,Distillation
MCQ,14,Which method is used to separate cream from milk?,Centrifugation,Filtration,Evaporation,None,Centrifugation
MCQ,15,Which method separates dyes from ink?,Sublimation,Chromatography,Distillation,None,Chromatography
MCQ,16,Which is a compound?,Air,Brass,Water,Salt solution,Water
MCQ,17,Which has fixed composition?,Mixture,Compound,Solution,None,Compound
MCQ,18,Which can be separated by physical methods?,Compound,Element,Mixture,None,Mixture
MCQ,19,Which is an element?,Water,Iron,Salt,Air,Iron
MCQ,20,Alloys are?,Elements,Compounds,Mixtures,None,Mixtures
MCQ,21,Brass is an alloy of?,Copper and zinc,Copper and iron,Iron and zinc,None,Copper and zinc
MCQ,22,Which method separates immiscible liquids?,Distillation,Separating funnel,Evaporation,None,Separating funnel
MCQ,23,Solubility depends on?,Temperature,Pressure,Both,None,Both
MCQ,24,Which solution conducts electricity?,Sugar solution,Salt solution,Distilled water,None,Salt solution
MCQ,25,Which mixture has uniform composition?,Homogeneous,Heterogeneous,Colloid,None,Homogeneous
MCQ,26,Which is not a mixture?,Air,Milk,Water,Soil,Water
MCQ,27,Which shows Brownian motion?,True solution,Suspension,Colloid,None,Colloid
MCQ,28,Which cannot be separated by filtration?,Suspension,Colloid,True solution,None,True solution
MCQ,29,Which is a saturated solution?,More solute dissolves,No more solute dissolves,None,None,No more solute dissolves
MCQ,30,Which method is used to obtain salt from seawater?,Filtration,Evaporation,Distillation,None,Evaporation
MCQ,31,Which is a physical change?,Melting of ice,Burning of paper,Rusting,None,Melting of ice
MCQ,32,Which is a chemical change?,Boiling water,Dissolving salt,Burning magnesium,None,Burning magnesium
MCQ,33,Which is not a colloid?,Milk,Smoke,Salt solution,Fog,Salt solution
MCQ,34,Which mixture is stable?,Suspension,Colloid,True solution,None,True solution
MCQ,35,Which method separates solids from solids?,Sublimation,Filtration,Decantation,None,Sublimation
MCQ,36,Which solid sublimes?,Salt,Ammonium chloride,Sand,Sugar,Ammonium chloride
