Left Column,Right Column,Correct Matches
1) Smallest 3-digit number; 2) Largest 3-digit number; 3) Smallest 4-digit number; 4) Largest 4-digit number,A) 999; B) 1000; C) 100; D) 9999,1-C; 2-A; 3-B; 4-D
1) Successor of 99; 2) Predecessor of 1000; 3) Successor of 9; 4) Predecessor of 10,A) 100; B) 9; C) 999; D) 10,1-A; 2-C; 3-D; 4-B
1) Place value of 5 in 5,432; 2) Place value of 3 in 3,210; 3) Place value of 4 in 4,321; 4) Place value of 2 in 2,345,A) 4000; B) 3000; C) 5000; D) 2000,1-C; 2-B; 3-A; 4-D
1) Face value of 7 in 7,654; 2) Face value of 9 in 9,108; 3) Face value of 0 in 4,506; 4) Face value of 5 in 5,000,A) 5; B) 9; C) 0; D) 7,1-D; 2-B; 3-C; 4-A
1) 1000 + 200 + 30 + 4; 2) 5000 + 60; 3) 9000 + 40; 4) 7000 + 300 + 5,A) 7035; B) 9060; C) 1234; D) 5060,1-C; 2-D; 3-B; 4-A
1) Number of digits in 7; 2) Number of digits in 345; 3) Number of digits in 9,876; 4) Number of digits in 10,000,A) 5; B) 1; C) 4; D) 3,1-B; 2-D; 3-C; 4-A
1) Smallest 2-digit number; 2) Greatest 2-digit number; 3) Smallest 5-digit number; 4) Greatest 5-digit number,A) 99; B) 10; C) 10000; D) 99999,1-B; 2-A; 3-C; 4-D
1) 2 thousands + 5 tens + 6 ones; 2) 4 thousands + 3 hundreds + 2 tens + 1 one; 3) 7 tens + 4 ones; 4) 5 hundreds + 8 ones,A) 208; B) 4321; C) 74; D) 2056,1-D; 2-B; 3-C; 4-A
1) Just before 100; 2) Just after 999; 3) Just before 2000; 4) Just after 4999,A) 1000; B) 1999; C) 99; D) 5000,1-C; 2-A; 3-B; 4-D
1) 3000 + 40; 2) 2000 + 30; 3) 8000 + 5; 4) 9000 + 80 + 4,A) 8030; B) 2030; C) 3040; D) 9084,1-C; 2-B; 3-A; 4-D
1) Ones place; 2) Tens place; 3) Hundreds place; 4) Thousands place,A) 10; B) 1; C) 1000; D) 100,1-B; 2-A; 3-D; 4-C
1) Expanded form of 405; 2) Expanded form of 2,030; 3) Expanded form of 9,040; 4) Expanded form of 1,200,A) 1000 + 200; B) 2000 + 30; C) 400 + 5; D) 9000 + 40,1-C; 2-B; 3-D; 4-A
1) 1,234 in expanded form; 2) 9,080 in expanded form; 3) 4,050 in expanded form; 4) 2,030 in expanded form,A) 9000 + 80; B) 4000 + 50; C) 2000 + 30; D) 1000 + 200 + 30 + 4,1-D; 2-A; 3-B; 4-C
1) 6072 in expanded form; 2) 305 in expanded form; 3) 4,506 in expanded form; 4) 8,045 in expanded form,A) 8000 + 40 + 5; B) 300 + 5; C) 6000 + 70 + 2; D) 4000 + 500 + 6,1-C; 2-B; 3-D; 4-A
1) 9 thousands + 100 + 5; 2) 6 thousands + 70 + 2; 3) 3 thousands + 40; 4) 2 thousands + 8,A) 3040; B) 6072; C) 9000 + 100 + 5 = 9105; D) 2008,1-C; 2-B; 3-A; 4-D
