Question,Option A,Option B,Option C,Option D,Correct Answer
Which of the following is the smallest whole number?,0,1,-1,2,A
Which statement is true for all whole numbers?,All whole numbers have predecessors,All whole numbers have successors,0 has a predecessor,Every whole number has no successor,B
If a is a whole number, which is always a whole number?,a+1,a-1,a/2,a-2,A
Which operation on whole numbers is not always closed?,Addition,Subtraction,Multiplication,Successor,B
What is the predecessor of 0?,-1,1,Not defined,0,C
What is the successor of 9999?,10000,9998,9999,10001,A
Which is the additive identity for whole numbers?,0,1,-1,2,A
Which is the multiplicative identity for whole numbers?,1,0,2,10,A
If 0 is multiplied by any whole number, the result is,0,1,That whole number,Undefined,A
Which of the following is NOT a whole number?,0,15,-3,1,C
Which of the following pairs always gives a whole number on subtraction?,Larger - smaller,Smaller - larger,Equal numbers,All of these,C
What is the result of 12 ÷ 3 in whole numbers?,4,3,0,Not possible,A
What is the result of 3 ÷ 2 in whole numbers?,1,1.5,Not possible,0,C
Which of the following is closed under whole numbers?,Addition,Subtraction,Division,All,A
Which number has no predecessor in whole numbers?,0,1,2,None,A
What is the successor of 0?,1,0,-1,2,A
Which property states a + b = b + a?,Associative,Commutative,Closure,Distributive,B
Which property states (a + b) + c = a + (b + c)?,Associative,Commutative,Closure,Identity,A
Which of the following is NOT true?,Whole numbers are infinite,Every whole number has a successor,0 has a predecessor,Addition is closed,C
If a × b = b × a, this is called,Associative,Distributive,Commutative,Closure,C
Which operation is not always possible in whole numbers?,Addition,Multiplication,Division,Successor,C
What is the smallest 2-digit whole number?,9,10,11,0,B
Which of the following is a whole number?,0,-1,1/2,-5,A
What is the result of 5 - 5?,0,5,1,Not defined,A
Which property does 0 satisfy in addition?,Identity,Closure,Commutative,Associative,A
Which of the following is true?,Whole numbers include negatives,Whole numbers start from 0,Whole numbers include fractions,Whole numbers are finite,B
What is the successor of 100?,99,101,100,102,B
Which of the following is the predecessor of 1?,0,2,-1,Not defined,A
Which of the following is closed in whole numbers?,Addition,Subtraction,Division,None,A
Which of the following is NOT closed in whole numbers?,Addition,Multiplication,Subtraction,Successor,C
What is the result of 0 + 15?,0,15,1,Undefined,B
Which of the following is a property of multiplication of whole numbers?,Closure,Commutative,Associative,All of these,D
Which whole number has no predecessor?,0,1,2,None,A
What is the largest 3-digit whole number?,998,999,1000,997,B
What is the successor of 999?,1000,998,1001,997,A
Which is the smallest 3-digit whole number?,99,100,101,90,B
Which of the following is NOT true?,Whole numbers include 0,Whole numbers are infinite,Every whole number has a successor,Every whole number has a predecessor,D
Which of the following is NOT a whole number?,2,0,-1,100,C
What is the result of 0 × 0?,0,1,Undefined,Not possible,A
Which operation does not satisfy closure in whole numbers?,Addition,Multiplication,Subtraction,Successor,C
Which of the following is the identity element in addition?,0,1,2,10,A
Which property: a × (b + c) = a × b + a × c?,Associative,Commutative,Distributive,Closure,C
Which of the following is the smallest whole number greater than 50?,50,49,51,52,C
How many whole numbers are there?,100,Infinite,0,Finite,B
Which of the following is NOT a property of addition?,Closure,Commutative,Associative,Distributive,D
What is the predecessor of 1?,0,-1,2,Not defined,A
What is the successor of the largest 4-digit number?,10000,9999,10001,9998,A
