Type,Column A,Column B / Correct Match
Question,Banyan tree symbolism,Strength and continuity
Question,Peepul inside banyan,Cycle of life
Question,Python-mongoose fight,Survival instinct
Question,Grandfather’s role,Guide to nature
Question,Narrator’s growth,Maturity through observation
Question,Ecosystem shown,Self-sustaining
Question,Aerial roots,Tree expansion
Question,Coexistence of species,Natural harmony
Question,Predator-prey conflict,Nature’s law
Question,Story’s mood,Reflective
Question,Human-nature relationship,Coexistence
Question,Observation skill,Learning tool
Question,Time symbolism,Endurance
Question,Central theme,Nature’s balance
Question,Core message,Live with nature
A
