Question,Option A,Option B,Option C,Option D,Correct Answer
Who is the poet of the poem?,Peter Dixon,Eleanor Farjeon,Harry Behn,E-Yeh-Shure,Peter Dixon
Who is asking the questions in the poem?,Teacher,Student,Parent,Principal,Student
What is the poem about?,School rules,Teachers’ private life,Homework,Exams,Teachers’ private life
What does the child wonder?,Teachers disappear,Teachers have homes,Teachers sleep in school,Teachers don’t eat,Teachers have homes
Where does the child think teachers go?,School,Home,Office,Library,Home
Do teachers live at school?,Yes,No,Sometimes,Not sure,No
What does the child imagine teachers do at home?,Sleep,Play games,Read books,Live like normal people,Live like normal people
What does the child wonder about teachers’ clothes?,They wear uniform,They change clothes,They sleep in uniform,They wear robes,They change clothes
What does the child think teachers do after school?,Disappear,Go home,Stay in class,Mark papers,Go home
What does the child ask about teachers’ parents?,They are teachers too,They scold teachers,They exist,They are students,They exist
What does the child think about teachers’ children?,They don’t have any,They are teachers,They go to school,They are naughty,They go to school
What does the child wonder about teachers’ pets?,They have none,They have pets,They live at school,They are strict,They have pets
What does the child think teachers do on holidays?,Teach students,Relax and enjoy,Stay at school,Disappear,Relax and enjoy
What is the tone of the poem?,Serious,Curious,Angry,Sad,Curious
What kind of questions are asked?,Scientific,Silly,Innocent and curious,Rude,Difficult,Innocent and curious
What does the poem show about children?,They are afraid,They are curious,They are rude,They are careless,They are curious
What does the child wonder about teachers’ food?,They don’t eat,They eat apples,They eat normal food,They eat books,They eat normal food
What does the child imagine teachers wear at home?,Uniforms,Pajamas,Normal clothes,Costumes,Normal clothes
What does the poem suggest about teachers?,They are different beings,They are humans like others,They live in school,They never rest,They are humans like others
What is the mood of the poem?,Funny,Curious,Thoughtful,All of these,All of these
What does the child think teachers do on weekends?,Teach,Relax,Disappear,Scold,Relax
What does the child ask about teachers’ beds?,They sleep standing,They sleep in classrooms,They sleep at home,They don’t sleep,They sleep at home
What does the poem mainly show?,Teacher authority,Child’s imagination,School discipline,Homework,Child’s imagination
What does the poem teach students?,Fear teachers,Respect teachers,Understand teachers as people,Ignore teachers,Understand teachers as people
What does the child ask about teachers’ houses?,If they exist,If they are big,If they are small,If they are clean,If they exist
What does the child think teachers do in evenings?,Teach more,Rest and relax,Stay in school,Disappear,Rest and relax
What kind of poem is this?,Nature poem,Humorous poem,Moral poem,War poem,Humorous poem
What does the poem make readers do?,Laugh,Think,Wonder,All of these,All of these
What does the child wonder about teachers’ hobbies?,They have none,They read books,They enjoy hobbies,They scold children,They enjoy hobbies
What does the poem say about teachers’ life?,Only work life,No personal life,Balanced life,Very sad,Balanced life
What is the child’s attitude?,Disrespectful,Curious,Fearful,Angry,Curious
What does the poem highlight?,Teacher power,Teacher humanity,Teacher strictness,Teacher anger,Teacher humanity
What does the child think teachers do at night?,Teach,Sleep,Disappear,Mark papers,Sleep
What does the poem show about learning?,Only in school,Only from teachers,Understanding people,Marks only,Understanding people
What does the child wonder about teachers’ names?,They have none,They change names,They have first names,They are numbers,They have first names
What does the poem make teachers seem?,Scary,Normal,Magical,Angry,Normal
What kind of imagination is shown?,Fearful,Creative,Angry,Dull,Creative
What does the poem encourage?,Questioning,Blind obedience,Silence,Fear,Questioning
What does the child think teachers do on Sundays?,Teach,Rest,Disappear,Scold,Rest
What does the poem show about childhood?,Innocence,Anger,Greed,Fear,Innocence
What is the main theme?,School discipline,Teacher authority,Teachers are human too,Homework,Teachers are human too
What does the child finally want to know?,Where teachers go,Why teachers scold,Why school exists,Why homework,Where teachers go
What feeling does poem create?,Fear,Amusement,Curiosity,Both B and C,Both B and C
What does the poem suggest about respect?,Based on fear,Based on understanding,Based on punishment,None,Based on understanding
What kind of ending is there?,Serious,Funny,Thoughtful,Funny and thoughtful,Funny and thoughtful
What does the poem value?,Authority,Curiosity,Understanding,Both B and C,Both B and C
What does poem show about teachers?,They never rest,They live in school,They have normal lives,They are magical,They have normal lives
What does poem show about children?,They know everything,They imagine freely,They are rude,They are silent,They imagine freely
What does poem help bridge?,Fear gap,Authority gap,Teacher-student gap,Knowledge gap,Teacher-student gap
