Question,Answer
Electric current is the flow of ___. ,electric charge
The unit of electric current is ___. ,ampere
A material that allows electricity to pass through it is called a ___. ,conductor
A material that does not allow electricity to pass through it is called an ___. ,insulator
Copper and aluminum are good ___. ,conductors
Rubber and plastic are good ___. ,insulators
The path through which electric current flows is called a ___. ,circuit
A circuit with no breaks is called a ___ circuit.,closed
A circuit with a break is called an ___ circuit.,open
The source of electricity in a circuit is called a ___. ,cell
Two or more cells connected together form a ___. ,battery
A switch is used to ___ and ___ a circuit.,open,close
A bulb glows when the circuit is ___.,closed
Electric current always flows from ___ to negative.,positive terminal
The continuous flow of electrons in a circuit is called ___. ,current
Electric wires are usually covered with ___. ,insulation
An ammeter is used to measure ___. ,current
A voltmeter is used to measure ___. ,voltage
Series circuit has only ___ path for current.,one
Parallel circuit has ___ paths for current.,multiple
The switch in a series circuit controls ___.,all components
The brightness of a bulb in a series circuit ___ when more bulbs are added.,decreases
In a parallel circuit, each bulb gets the ___ voltage.,full
Electric current can be dangerous and cause ___. ,shock
Short-circuit occurs when electric current takes an unintended ___. ,path
A fuse protects electrical devices from ___. ,overcurrent
The flow of current is due to the movement of ___. ,electrons
Batteries provide ___ to a circuit.,voltage
The component that resists the flow of current is called ___. ,resistor
The path of electric current must be ___ for the device to work.,complete
Conductors have ___ resistance to electric current.,low
Insulators have ___ resistance to electric current.,high
The main source of household electricity is ___. ,mains
Electricity can be generated using ___. ,generators
A lamp, battery, and wires together form a simple ___. ,electric circuit
Switches are connected in ___ to control electricity.,series or parallel
The direction of current is taken from ___ to ___.,positive, negative
The flow of current is ___ in metallic wires.,continuous
Electric current can produce ___, heat, and light.,magnetism
An electric bell works because current produces ___. ,magnetism
A short circuit can cause ___.,fire
The current in a series circuit is the ___ everywhere.,same
The voltage across components in parallel is the ___. ,same
A cell has two terminals called ___ and negative.,positive
Switches are used to ___ a circuit safely.,control
A closed path for the flow of electric current is called a ___. ,loop
Batteries are used to run small ___.,devices
A fuse melts when current is ___ than safe limit.,higher
Electrons flow from ___ to positive in a metallic wire.,negative
A torch works only when its circuit is ___. ,complete
