Question,Answer
The place value of 6 in 16,345 is ____,6000
The successor of 9,999 is ____,10000
The predecessor of 10,000 is ____,9999
The expanded form of 5,607 is ____,5000 + 600 + 7
The number 40,000 + 3,000 + 200 + 10 + 5 in standard form is ____,43215
The place value of 8 in 28,430 is ____,8000
The face value of 4 in 14,902 is ____,4
The number of digits in 1,23,456 is ____,6
The smallest 6-digit number is ____,100000
The largest 5-digit number is ____,99999
The number formed by 7 ten-thousands, 3 thousands, 2 hundreds, 5 tens and 9 ones is ____,73259
The place value of 2 in 62,418 is ____,2000
The expanded form of 9,080 is ____,9000 + 80
The number just before 50,000 is ____,49999
The number just after 99,999 is ____,100000
The successor of 4,567 is ____,4568
The predecessor of 20,000 is ____,19999
The place value of 5 in 75,206 is ____,5000
The face value of 0 in 10,203 is ____,0
The expanded form of 12,405 is ____,10000 + 2000 + 400 + 5
The number 6,000 + 400 + 90 + 3 in standard form is ____,6493
The place value of 9 in 39,740 is ____,9000
The number of digits in 9,99,999 is ____,6
The smallest number with 5 digits is ____,10000
The greatest number with 4 digits is ____,9999
The expanded form of 20,060 is ____,20000 + 60
The number formed by 5 ten-thousands, 0 thousands, 6 hundreds, 2 tens and 1 one is ____,50621
The place value of 3 in 13,890 is ____,3000
The successor of 1,09,999 is ____,110000
The predecessor of 1,00,000 is ____,99999
The face value of 7 in 78,305 is ____,7
The expanded form of 4,709 is ____,4000 + 700 + 9
The number 90,000 + 4,000 + 30 + 2 in standard form is ____,94032
The place value of 4 in 84,615 is ____,4000
The number just before 1,00,001 is ____,100000
The number just after 9,999 is ____,10000
The smallest 7-digit number is ____,1000000
The number of digits in 10,00,000 is ____,7
The expanded form of 3,040 is ____,3000 + 40
The number 70,000 + 800 + 6 in standard form is ____,70806
The place value of 1 in 21,345 is ____,1000
The face value of 2 in 20,478 is ____,2
The number formed by 9 thousands, 0 hundreds, 5 tens and 4 ones is ____,9054
The successor of 99,999 is ____,100000
The predecessor of 1,000 is ____,999
The expanded form of 8,506 is ____,8000 + 500 + 6
The number 3,000 + 200 + 4 in standard form is ____,3204
The place value of 7 in 57,019 is ____,7000
