Question_Type,Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Answer
MCQ,1,Who is the author of "The Little Girl"?,Ruskin Bond,Katherine Mansfield,Roald Dahl,Charles Dickens,Katherine Mansfield
MCQ,2,What is the name of the little girl?,Keira,Kezia,Katie,Kelly,Kezia
MCQ,3,What was Kezia afraid of?,Mother,Father,Teacher,Neighbours,Father
MCQ,4,What was Kezia’s father by profession?,Doctor,Teacher,Office clerk,Businessman,Office clerk
MCQ,5,What did Kezia think her father was?,Kind and gentle,Funny,Strict and scary,Loving,Strict and scary
MCQ,6,What gift did Kezia make for her father?,Cake,Card,Pin-cushion,Drawing,Pin-cushion
MCQ,7,What did Kezia fill the pin-cushion with?,Cotton,Cloth scraps,Paper pieces,Thread,Paper pieces
MCQ,8,Where did Kezia get the papers from?,Her notebook,Bookshelf,Her father’s speech,Bin,Her father’s speech
MCQ,9,Why was Kezia punished?,She tore papers,She lost money,She was rude,She broke a cup,She tore papers
MCQ,10,What punishment did Kezia receive?,Scolding,No food,Beating,Standing outside,Beating
MCQ,11,Who was Kezia’s grandmother?,Strict,Loving,Angry,Silent,Loving
MCQ,12,Who comforted Kezia after punishment?,Mother,Father,Grandmother,Teacher,Grandmother
MCQ,13,What did Kezia stutter while speaking?,Because of fear,Illness,Fun,Habit,Because of fear
MCQ,14,What sound scared Kezia at night?,Wind,Thunder,Father’s snore,Dog,Father’s snore
MCQ,15,Why was Kezia left alone at night?,Parents went out,Father travelled,Grandmother sick,School trip,Parents went out
MCQ,16,Who slept beside Kezia at night?,Mother,Grandmother,Father,Nanny,Father
MCQ,17,What changed Kezia’s feelings?,Punishment,Kind words,Father’s care,Fear,Father’s care
MCQ,18,How did Kezia feel after that night?,More afraid,Happy,Safe and loved,Angry,Safe and loved
MCQ,19,What kind of father was Kezia’s father initially?,Strict,Playful,Caring,Gentle,Strict
MCQ,20,What theme does the story highlight?,Education,Love and understanding,Discipline only,Adventure,Love and understanding
MCQ,21,Why did Kezia misunderstand her father?,Lack of time,Harsh behaviour,Fear,Both B and C,Both B and C
MCQ,22,How did father speak to Kezia?,Softly,Kindly,Loudly and harshly,Jokingly,Loudly and harshly
MCQ,23,What did Kezia wish for?,New toy,Chocolate,Better father,Love and affection,Love and affection
MCQ,24,What did Kezia call her father?,Papa,Sir,Father,Daddy,Father
MCQ,25,Why did father scold Kezia?,For stuttering,For tearing speech,For noise,For play,For tearing speech
MCQ,26,What was Kezia’s age group?,Teenager,Adult,Small child,Old,Small child
MCQ,27,Who arranged Kezia’s gift idea?,Mother,Grandmother,Teacher,Father,Grandmother
MCQ,28,What quality did grandmother show?,Anger,Love,Strictness,Fear,Love
MCQ,29,What did Kezia learn at the end?,To fear father,To hate father,To understand father,To avoid father,To understand father
MCQ,30,What was father tired of?,Office work,Home,Family,Talking,Office work
MCQ,31,What did father do every evening?,Read,Play,Relax and sleep,Talk,Relax and sleep
MCQ,32,What symbolises misunderstanding?,Fear,Love,Trust,Care,Fear
MCQ,33,What caused Kezia’s fear?,Father’s voice,Size,Behaviour,All of these,All of these
MCQ,34,How did father treat Kezia at night?,Harsh,Silent,Protective,Careless,Protective
MCQ,35,What did Kezia realise?,Father hated her,Father loved her,Father ignored her,Father was cruel,Father loved her
MCQ,36,What did the story teach?,Obedience only,Strict parenting,Understanding parents,Rebellion,Understanding parents
