Question,Answer
Democracy is a system of government where the __________ have power,people
In a democracy, citizens have the right to __________,vote
Fundamental rights protect the __________ of citizens,freedom
Rule of law means everyone is __________ before the law,equal
Majority rule respects the choice of the __________,majority
Minority rights ensure protection for __________,minorities
Free and fair elections are essential for __________,democracy
Elected representatives make __________ for the people,decisions
Judiciary ensures laws are __________,upheld
Separation of powers prevents concentration of __________,authority
Democracy promotes __________ participation,active
Citizens have the duty to follow __________,laws
Transparency ensures __________ in government actions,accountability
Freedom of speech allows citizens to express __________,opinions
Democratic government protects __________,human rights
Political parties represent citizens' __________,interests
Citizens can question government through __________,parliamentary processes
Checks and balances prevent __________ of power,abuse
Government must respect __________ laws,constitutional
Elections are conducted regularly to ensure __________,representation
Independent judiciary protects __________,justice
Governments should be responsive to citizens' __________,needs
Democracy encourages __________,debate
Governments must provide __________ services,public
Citizens have the right to form __________,associations
Citizens can participate in __________ movements,peaceful
Fundamental rights include equality, freedom, and __________,expression
Free media ensures government __________,accountability
Judges are independent to maintain __________,justice
Constitution lays down __________ and powers of government,structure
Rule of law prevents __________,arbitrary actions
Democracy promotes social __________,justice
Elected leaders must act in the public __________,interest
Citizens have the right to __________ their representatives,approach
Civil liberties protect individuals from __________,oppression
Government should follow __________ procedures,legal
Democracy allows peaceful __________ of power,transfer
Majority decisions must respect __________ opinions,minority
People participate in democracy through voting, petitions, and __________,protests
Checks and balances maintain __________ between branches,power
Governments are accountable to the __________,citizens
Transparency and honesty build public __________,trust
Democracy promotes political __________,freedom
Judiciary interprets laws and protects __________,rights
Government should ensure __________ development,social and economic
Democracy relies on informed and active __________,citizens
Rule of law ensures protection from __________,arbitrary rule
Participation of citizens strengthens __________,democracy
Elections reflect citizens' __________,will
Freedom of association allows citizens to join __________,groups
