Question_Type,Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Answer
MCQ,1,The transmission of traits from parents to offspring is called:,Variation,Heredity,Evolution,Adaptation,Heredity
MCQ,2,The differences among individuals of the same species are called:,Heredity,Variation,Evolution,Adaptation,Variation
MCQ,3,The father of genetics is:,Darwin,Mendel,Lamarck,Wallace,Mendel
MCQ,4,Mendel performed his experiments on:,Pea plant,Rice plant,Wheat plant,Corn plant,Pea plant
MCQ,5,The factors that control characters are called:,Chromosomes,Genes,DNA,RNA,Genes
MCQ,6,Alternative forms of a gene are called:,Alleles,Chromosomes,DNA,RNA,Alleles
MCQ,7,The genetic constitution of an organism is called:,Phenotype,Genotype,Karyotype,Proteotype,Genotype
MCQ,8,The external appearance of an organism is called:,Genotype,Phenotype,Karyotype,Proteotype,Phenotype
MCQ,9,An organism with two identical alleles is called:,Heterozygous,Homozygous,Dominant,Recessive,Homozygous
MCQ,10,An organism with two different alleles is called:,Homozygous,Heterozygous,Dominant,Recessive,Heterozygous
MCQ,11,A trait that expresses itself in the presence of another is called:,Recessive trait,Dominant trait,Hybrid trait,Intermediate trait,Dominant trait
MCQ,12,A trait that does not express in the presence of another is called:,Dominant trait,Recessive trait,Hybrid trait,Intermediate trait,Recessive trait
MCQ,13,The first generation offspring in a cross is called:,F1 generation,F2 generation,P generation,Parental generation,F1 generation
MCQ,14,The second generation offspring in a cross is called:,F1 generation,F2 generation,P generation,Parental generation,F2 generation
MCQ,15,Mendel's first law is called:,Law of segregation,Law of independent assortment,Law of dominance,All of the above,Law of segregation
MCQ,16,Mendel's second law is called:,Law of segregation,Law of independent assortment,Law of dominance,Law of inheritance,Law of independent assortment
MCQ,17,The number of chromosomes in human gametes is:,23,46,48,24,23
MCQ,18,The number of chromosomes in human body cells is:,23,46,48,24,46
MCQ,19,In humans, sex is determined by:,Autosomes,Sex chromosomes,Both a and b,Cytoplasm,Sex chromosomes
MCQ,20,The sex chromosomes in human male are:,XX,XY,YY,XY,XY
MCQ,21,The sex chromosomes in human female are:,XX,XY,YY,XY,XX
MCQ,22,The chromosome pair that determines sex is:,Autosomes,Sex chromosomes,Both,Neither,Sex chromosomes
MCQ,23,The process of gradual change in species over time is called:,Heredity,Variation,Evolution,Adaptation,Evolution
MCQ,24,The theory of evolution was proposed by:,Mendel,Darwin,Lamarck,Wallace,Darwin
MCQ,25,The theory of natural selection was proposed by:,Mendel,Darwin,Lamarck,Wallace,Darwin
MCQ,26,Traits that are passed from parents to offspring are called:,Acquired traits,Inherited traits,Both,Neither,Inherited traits
MCQ,27,Traits that are developed during an organism's lifetime are called:,Inherited traits,Acquired traits,Both,Neither,Acquired traits
MCQ,28,The process by which new species are formed is called:,Evolution,Speciation,Adaptation,Variation,Speciation
MCQ,29,Organs that have similar structure but different functions are called:,Analogous organs,Homologous organs,Vestigial organs,All of the above,Homologous organs
MCQ,30,Organs that have different structure but similar functions are called:,Homologous organs,Analogous organs,Vestigial organs,All of the above,Analogous organs
MCQ,31,Organs that have no function but were functional in ancestors are called:,Homologous organs,Analogous organs,Vestigial organs,All of the above,Vestigial organs
MCQ,32,The remains or impressions of ancient organisms are called:,Fossils,Artifacts,Minerals,All of the above,Fossils
MCQ,33,The study of fossils is called:,Geology,Paleontology,Archaeology,Zoology,Paleontology
MCQ,34,The ancestor of humans is believed to be:,Apes,Monkeys,Both a and b,Neither,Hominids
MCQ,35,The earliest human-like creature is called:,Homo sapiens,Homo erectus,Australopithecus,Homo habilis,Australopithecus
MCQ,36,Modern humans are called:,Homo habilis,Homo erectus,Homo sapiens,Australopithecus,Homo sapiens
MCQ,37,The process by which organisms better adapted to environment survive is called:,Natural selection,Artificial selection,Evolution,Speciation,Natural selection
MCQ,38,DNA is the carrier of:,Hereditary information,Energy,Proteins,Enzymes,Hereditary information
