Chapter,Question,Answer
Mensuration,Define mensuration.,Branch of mathematics dealing with measurement of length, area, and volume
Mensuration,Define perimeter.,Distance around a closed figure
Mensuration,Define area.,Space enclosed by a plane figure
Mensuration,Define volume.,Space occupied by a solid
Mensuration,Formula for perimeter of square,4 × side
Mensuration,Formula for area of square,side × side
Mensuration,Formula for perimeter of rectangle,2 × (length + breadth)
Mensuration,Formula for area of rectangle,length × breadth
Mensuration,Formula for circumference of circle,2 × π × radius
Mensuration,Formula for area of circle,π × radius²
Mensuration,Formula for perimeter of triangle,sum of all sides
Mensuration,Formula for area of triangle,1/2 × base × height
Mensuration,Define cuboid.,A solid with 6 rectangular faces
Mensuration,Formula for volume of cuboid,length × breadth × height
Mensuration,Define cube.,A solid with all sides equal
Mensuration,Formula for volume of cube,side³
Mensuration,Define cylinder.,A solid with circular base and curved surface
Mensuration,Formula for volume of cylinder,π × radius² × height
Mensuration,Formula for curved surface area of cylinder,2 × π × radius × height
Mensuration,Formula for total surface area of cylinder,2 × π × radius × (radius + height)
Mensuration,Define cone.,A solid with circular base and pointed top
Mensuration,Formula for volume of cone,1/3 × π × radius² × height
Mensuration,Formula for curved surface area of cone,π × radius × slant height
Mensuration,Formula for total surface area of cone,π × radius × (radius + slant height)
Mensuration,Define sphere.,A solid with all points equidistant from center
Mensuration,Formula for volume of sphere,4/3 × π × radius³
Mensuration,Formula for surface area of sphere,4 × π × radius²
Mensuration,Find perimeter of square with side 5 cm,20 cm
Mensuration,Find area of square with side 6 cm,36 cm²
Mensuration,Find perimeter of rectangle with length 8 cm and breadth 5 cm,26 cm
Mensuration,Find area of rectangle with length 10 cm and breadth 4 cm,40 cm²
Mensuration,Find circumference of circle with radius 7 cm,44 cm (approx)
Mensuration,Find area of circle with radius 14 cm,616 cm² (approx)
Mensuration,Find perimeter of triangle with sides 3 cm, 4 cm, 5 cm,12 cm
Mensuration,Find area of triangle with base 6 cm and height 4 cm,12 cm²
Mensuration,Find volume of cuboid with l=5, b=3, h=4,60 cm³
Mensuration,Find volume of cube with side 7 cm,343 cm³
Mensuration,Find volume of cylinder with r=3, h=10,282.6 cm³ (approx)
Mensuration,Find curved surface area of cylinder with r=5, h=12,376.8 cm² (approx)
Mensuration,Find total surface area of cylinder with r=5, h=12,452.4 cm² (approx)
Mensuration,Find volume of cone with r=3, h=9,84.78 cm³ (approx)
Mensuration,Find curved surface area of cone with r=4, l=5,62.8 cm² (approx)
Mensuration,Find total surface area of cone with r=4, l=5,150.8 cm² (approx)
Mensuration,Find volume of sphere with r=6,904.32 cm³ (approx)
Mensuration,Find surface area of sphere with r=7,615.44 cm² (approx)
Mensuration,Define lateral surface area.,Area of curved surface only
Mensuration,Define total surface area.,Area of all surfaces
Mensuration,Difference between perimeter and area.,Perimeter measures length around figure; area measures space inside
Mensuration,Find perimeter of square with side 9 cm,36 cm
Mensuration,Find area of rectangle with length 7 cm and breadth 5 cm,35 cm²
Mensuration,Find volume of cube with side 4 cm,64 cm³
Mensuration,Find volume of cuboid with l=6, b=3, h=2,36 cm³
Mensuration,Find circumference of circle with radius 10 cm,62.8 cm (approx)
Mensuration,Find area of triangle with base 10 cm and height 8 cm,40 cm²
