 Question,Answer
Integers include positive and negative whole numbers.,True
Zero is neither positive nor negative.,True
-5 is greater than -3.,False
5 is greater than -5.,True
The sum of two positive integers is always positive.,True
The sum of two negative integers is always negative.,True
The sum of a positive and a negative integer can be positive or negative.,True
Adding zero to any integer changes its value.,False
Subtracting zero from an integer does not change its value.,True
The product of two positive integers is positive.,True
The product of two negative integers is negative.,False
The product of two negative integers is positive.,True
The product of a positive and a negative integer is negative.,True
The quotient of two positive integers is positive.,True
The quotient of two negative integers is positive.,True
The quotient of a positive integer by a negative integer is negative.,True
-7 + 7 = 0,True
-10 - 5 = -15,True
5 - (-3) = 2,False
5 - (-3) = 8,True
-3 × 4 = -12,True
-6 × -2 = -12,False
-6 × -2 = 12,True
0 × 5 = 0,True
0 × -5 = 0,True
0 ÷ 5 = 0,True
5 ÷ 0 is defined.,False
The absolute value of -7 is 7,True
The absolute value of 0 is 0,True
The sum of an integer and its additive inverse is 0.,True
The additive inverse of 5 is -5,True
The additive inverse of -9 is 9,True
-8 + 5 = -3,True
-4 - 6 = -10,True
-7 + 12 = 5,True
The product of three negative integers is positive.,False
The product of three negative integers is negative.,True
Dividing a negative integer by a positive integer gives a negative integer.,True
Dividing a positive integer by a negative integer gives a negative integer.,True
Dividing a negative integer by a negative integer gives a positive integer.,True
Subtracting a negative integer is same as adding its positive.,True
Integers can have decimal parts.,False
Integers can have fractional parts.,False
All integers are whole numbers.,True
All whole numbers are integers.,True
-1 is smaller than -10.,False
-20 is smaller than -5.,True
-50 + 30 = -20,True
7 - 10 = -3,True
-4 × 0 = 0,True
The sum of any two integers is always an integer.,True
The difference of any two integers is always an integer.,True
