Question,Answer
Match the integer with its additive inverse,"+5,-5; -7,+7; 0,0; +12,-12; -3,+3; +9,-9; -15,+15; +8,-8; -20,+20; +1,-1"
Match the integer with its representation on number line,"+3,Right of 0; -4,Left of 0; 0,Origin; +7,Right of 0; -2,Left of 0; +10,Right of 0; -9,Left of 0; +1,Right of 0; -6,Left of 0; +5,Right of 0"
Match the integer with its type,"+6,Positive; -8,Negative; 0,Neutral; +15,Positive; -12,Negative; +1,Positive; -1,Negative; +20,Positive; -7,Negative; 0,Neutral"
Match the integer with result of addition,"(+5)+(-3),2; (-4)+(+6),2; (+7)+(+2),9; (-8)+(-5),-13; (+10)+(-10),0; (-3)+(+3),0; (+12)+(-7),5; (-9)+(+4),-5; (+6)+(-2),4; (-1)+(+1),0"
Match the integer with result of subtraction,"(+7)-(+4),3; (-5)-(-3),-2; (+10)-(-5),15; (-6)-(+2),-8; (+3)-(+3),0; (-8)-(+4),-12; (+12)-(+5),7; (-9)-(-6),-3; (+6)-(-2),8; (-1)-(+1),-2"
Match the integer with its absolute value,"-7,7; +5,5; 0,0; -12,12; +9,9; -3,3; +0,0; -15,15; +2,2; -8,8"
Match the integer with its position in ascending order,"-9,1st; -5,2nd; -2,3rd; 0,4th; +1,5th; +3,6th; +5,7th; +7,8th; +10,9th; +12,10th"
Match the integer with property,"0,Neither Positive nor Negative; +4,Positive; -6,Negative; +7,Positive; -3,Negative; +1,Positive; -1,Negative; +10,Positive; -12,Negative; 0,Neither Positive nor Negative"
Match the integer with result of multiplication,"(+3)×(+4),12; (+5)×(-2),-10; (-3)×(+6),-18; (-4)×(-5),20; (+7)×(+1),7; (-2)×(-8),16; (+0)×(+9),0; (-1)×(+3),-3; (+6)×(-7),-42; (-5)×(-5),25"
Match the integer with result of division,"(+12)/(+3),4; (-15)/(+5),-3; (+20)/(-4),-5; (-18)/(-6),3; (+8)/(+2),4; (-9)/(-3),3; (+0)/(+5),0; (+14)/(-7),-2; (-10)/(+2),-5; (+16)/(+4),4"
Match the integer with property of zero,"0+5,5; 0-7,-7; 0×8,0; 0/1,0; 1-0,1; -3+0,-3; 0×10,0; 0-0,0; 0+0,0; 0/5,0"
Match the integer with result of combining like signs,"(+5)+(+3),8; (-6)+(-2),-8; (+7)+(+1),8; (-4)+(-5),-9; (+2)+(+9),11; (-3)+(-7),-10; (+6)+(+0),6; (-1)+(-8),-9; (+4)+(+4),8; (-2)+(-6),-8"
Match the integer with its property under multiplication,"(+5)×(+3),Positive; (-4)×(+6),Negative; (-3)×(-2),Positive; (+0)×(+7),Zero; (-1)×(+8),Negative; (+2)×(-3),Negative; (+7)×(+0),Zero; (-5)×(-5),Positive; (+6)×(+1),Positive; (-2)×(+4),Negative"
Match the integer with sequence in number line,"-8,Left of -5; -5,Left of -2; -2,Left of 0; 0,Origin; +1,Right of 0; +3,Right of 1; +5,Right of 3; +7,Right of 5; +10,Right of 7; +12,Right of 10"
Match the integer with its additive property,"+5,Identity property; -3,Inverse property; 0,Identity property; +8,Identity property; -7,Inverse property; +2,Identity property; -1,Inverse property; +10,Identity property; -5,Inverse property; 0,Identity property"
