Question,Answer
"Taro was a young woodcutter who lived with his parents.",True
"Taro lived on a lonely hillside.",True
"Taro was a very lazy son who didn't like to work.",False
"Taro's father wanted a cup of sake to warm himself.",True
"Sake is a popular and expensive Japanese drink.",True
"Taro was sad because he couldn't afford the expensive sake.",True
"Taro decided to work harder than ever to buy sake for his father.",True
"While chopping wood, Taro heard the sound of rushing water nearby.",True
"Taro found a beautiful little waterfall hidden behind a rock.",True
"When Taro tasted the water, it tasted like cold water at first.",False
"The water from the waterfall turned into delicious sake for Taro.",True
"Taro filled a pitcher with the magic liquid to take home.",True
"Taro's father was very happy after drinking the sake.",True
"The father's shivering stopped after just one swallow of the liquid.",True
"A neighbor came to visit Taro's house that evening.",True
"Taro's father offered the neighbor a cup of the magic sake.",True
"The neighbor spread the story of the magic waterfall throughout the village.",True
"The next morning, the villagers reached the waterfall before Taro.",True
"When the villagers tasted the water, it was delicious sake for everyone.",False
"The villagers felt they had been tricked by Taro.",True
"The waterfall gave cold water to the greedy villagers.",True
"The Emperor of Japan heard about Taro's story.",True
"The Emperor punished Taro for lying to the villagers.",False
"Taro was rewarded with twenty pieces of gold.",True
"The Emperor named the most beautiful fountain in the city after Taro.",True
"Taro's parents lived on a mountain top.",False
"Taro's father wanted sake because he was feeling cold.",True
"Taro worked from morning until night.",True
"Taro found the waterfall while he was hunting animals.",False
"The waterfall was located behind a large tree.",False
"Taro knelt to cup the water in his hands.",True
"Taro's father did a little dance to show his happiness.",True
"The neighbor drank the sake greedily.",True
"The villagers brought pitchers, jars, and buckets to the waterfall.",True
"The waterfall gave sake to anyone who was thirsty.",False
"Taro hid behind a rock to watch the villagers.",True
"The villagers wanted to drown Taro in the waterfall.",True
"Taro was a thoughtful and dutiful son.",True
"The story takes place in China.",False
"Taro earned very little money from woodcutting.",True
"The wind whistled through the cracks of the hut.",True
"Taro's father's heart was warmed by the sake.",True
"The sake was as white as snow.",False
"The waterfall was 'magic' only for Taro.",True
"The villagers stayed at the waterfall all day and night.",False
"Taro waited for the villagers to leave before coming out of hiding.",True
"The magic waterfall gave Taro sake again the second time he tasted it.",True
"The Emperor wanted to encourage all children to honor their parents.",True
"Taro became the richest man in the world.",False
"The story is a lesson about the rewards of kindness and devotion.",True
