Question_Type,Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Answer
MCQ,1,The transparent front part of the eye is called:,Cornea,Iris,Pupil,Retina,Cornea
MCQ,2,The colored part of the eye that controls the size of the pupil is:,Cornea,Iris,Pupil,Retina,Iris
MCQ,3,The light-sensitive layer of the eye is called:,Cornea,Iris,Retina,Lens,Retina
MCQ,4,The ability of the eye lens to adjust its focal length is called:,Accommodation,Refraction,Reflection,Dispersion,Accommodation
MCQ,5,The minimum distance at which objects can be seen clearly is called:,Far point,Near point,Optical center,Focus,Near point
MCQ,6,The near point of a normal eye is:,25 cm,50 cm,100 cm,Infinity,25 cm
MCQ,7,The far point of a normal eye is:,25 cm,50 cm,100 cm,Infinity,Infinity
MCQ,8,Myopia is also called:,Short-sightedness,Long-sightedness,Presbyopia,Astigmatism,Short-sightedness
MCQ,9,Hypermetropia is also called:,Short-sightedness,Long-sightedness,Presbyopia,Astigmatism,Long-sightedness
MCQ,10,Myopia is corrected using:,Convex lens,Concave lens,Plano lens,Cylindrical lens,Concave lens
MCQ,11,Hypermetropia is corrected using:,Convex lens,Concave lens,Plano lens,Cylindrical lens,Convex lens
MCQ,12,Presbyopia is corrected using:,Bifocal lens,Concave lens,Convex lens,Plano lens,Bifocal lens
MCQ,13,In myopia, the image is formed:,Before the retina,Behind the retina,On the retina,At infinity,Before the retina
MCQ,14,In hypermetropia, the image is formed:,Before the retina,Behind the retina,On the retina,At infinity,Behind the retina
MCQ,15,The splitting of white light into its constituent colors is called:,Reflection,Refraction,Dispersion,Scattering,Dispersion
MCQ,16,The sequence of colors in the spectrum of white light is:,VIBGYOR,ROYGBIV,RYGBIV,VIGBYOR,VIBGYOR
MCQ,17,The deviation produced by a prism depends on:,Angle of prism,Refractive index,Wavelength,All of the above,All of the above
MCQ,18,Red light deviates the least because it has:,Longest wavelength,Shortest wavelength,Highest frequency,Lowest refractive index,Longest wavelength
MCQ,19,Violet light deviates the most because it has:,Longest wavelength,Shortest wavelength,Highest frequency,Lowest refractive index,Shortest wavelength
MCQ,20,The phenomenon of blue color of sky is due to:,Reflection,Refraction,Scattering,Dispersion,Scattering
MCQ,21,The phenomenon of red color of sunset is due to:,Reflection,Refraction,Scattering,Dispersion,Scattering
MCQ,22,The color that is scattered the least is:,Red,Violet,Blue,Green,Red
MCQ,23,The color that is scattered the most is:,Red,Violet,Blue,Green,Violet
MCQ,24,The Tyndall effect is due to:,Reflection,Refraction,Scattering,Dispersion,Scattering
MCQ,25,A rainbow is formed due to:,Reflection and refraction,Refraction and dispersion,Scattering and dispersion,Reflection and scattering,Refraction and dispersion
MCQ,26,The angle of minimum deviation in a prism occurs when:,Angle of incidence equals angle of emergence,Angle of incidence equals angle of refraction,Refracted ray is parallel to base,Incident ray is parallel to base,Angle of incidence equals angle of emergence
MCQ,27,The apparent position of stars twinkles due to:,Atmospheric refraction,Scattering,Reflection,Dispersion,Atmospheric refraction
MCQ,28,The sun appears red at sunrise and sunset due to:,Reflection,Refraction,Scattering,Dispersion,Scattering
MCQ,29,The power of accommodation of the eye decreases with age, causing:,Myopia,Hypermetropia,Presbyopia,Astigmatism,Presbyopia
MCQ,30,The focal length of the eye lens increases when viewing:,Near objects,Far objects,Both,Neither,Far objects
MCQ,31,The focal length of the eye lens decreases when viewing:,Near objects,Far objects,Both,Neither,Near objects
MCQ,32,In a myopic eye, the far point is:,At infinity,Less than infinity,Greater than 25 cm,At 25 cm,Less than infinity
MCQ,33,In a hypermetropic eye, the near point is:,At 25 cm,Less than 25 cm,Greater than 25 cm,At infinity,Greater than 25 cm
MCQ,34,The power of a lens used to correct myopia is:,Positive,Negative,Zero,Infinite,Negative
MCQ,35,The power of a lens used to correct hypermetropia is:,Positive,Negative,Zero,Infinite,Positive
MCQ,36,The angle between the two refracting surfaces of a prism is called:,Angle of deviation,Angle of prism,Angle of incidence,Angle of refraction,Angle of prism
MCQ,37,The refractive index of a prism material depends on:,Wavelength,Angle of prism,Temperature,All of the above,Wavelength
MCQ,38,White light is dispersed by a prism because:,Different colors have different speeds,Different colors have different wavelengths,Refractive index depends on wavelength,All of the above,All of the above
MCQ,39,The phenomenon where light is scattered by small particles is called:,Rayleigh scattering,Tyndall effect,Both,Neither,Both
MCQ,40,Stars appear to twinkle because of:,Their own light variation,Atmospheric refraction,Scattering,Reflection,Atmospheric refraction
MCQ,41,Planets do not twinkle because:,They are closer,They reflect light,They are extended sources,All of the above,They are extended sources
MCQ,42,The color of danger signals is red because:,Red is bright,Red is scattered least,Red is scattered most,Red is visible,Red is scattered least
MCQ,43,The color of sky appears blue because:,Blue has shorter wavelength,Blue is scattered more,Blue has higher frequency,All of the above,Blue is scattered more
MCQ,44,The rainbow is seen in the direction:,Opposite to the sun,Towards the sun,Perpendicular to sun,Any direction,Opposite to the sun
MCQ,45,The primary rainbow is formed by:,One internal reflection,Two internal reflections,Three internal reflections,No reflection,One internal reflection
MCQ,46,The secondary rainbow is formed by:,One internal reflection,Two internal reflections,Three internal reflections,No reflection,Two internal reflections
MCQ,47,The order of colors in secondary rainbow is:,VIBGYOR,ROYGBIV,Same as primary,Opposite to primary,ROYGBIV
MCQ,48,The refractive index of glass for red light is:,Less than for violet,Greater than for violet,Equal to for violet,Depends on angle,Less than for violet
MCQ,49,The speed of red light in glass is:,Less than violet,Greater than violet,Equal to violet,Depends on angle,Greater than violet
MCQ,50,The angle of minimum deviation is minimum for:,Red light,Violet light,Green light,All colors,Red light
Integer,1,The near point of a normal eye is _____ cm.,25,,,,
Integer,2,The far point of a normal eye is at infinity, but for calculation purposes, it's considered as a very large distance. However, for a myopic person, if far point is at 100 cm, write: _____ (if asked about normal eye far point, we can't give integer. Let's use: For myopia correction, if far point is 50 cm, power of lens is -2 D. Write magnitude: 2).,2,,,,
Integer,3,If a myopic person's far point is at 50 cm, the power of correcting lens is -2 D. Write magnitude: _____.,2,,,,
