Question_Type,Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Answer

MCQ,1,Which of the following is a polynomial?,x+1/x,x²+3x+1,√x+1,1/x²,x²+3x+1
MCQ,2,The degree of polynomial 3x²+5x+7 is?,1,2,3,0,2
MCQ,3,Which is a linear polynomial?,x²+1,3x+5,2x²+3x+1,x³+2,3x+5
MCQ,4,The constant term of 4x³+2x+9 is?,4,2,9,0,9
MCQ,5,The coefficient of x² in 7x²−3x+1 is?,7,3,1,-3,7
MCQ,6,Which is a quadratic polynomial?,2x+1,x²−4,5,3x³+1,x²−4
MCQ,7,The degree of constant polynomial 5 is?,0,1,2,Undefined,0
MCQ,8,Which polynomial has degree 3?,x²+1,3x+2,x³−x+1,5,x³−x+1
MCQ,9,The zero of polynomial x−3 is?,0,3,-3,1,3
MCQ,10,The number of zeros of a linear polynomial is?,0,1,2,Infinite,1
MCQ,11,The number of zeros of a quadratic polynomial is at most?,1,2,3,0,2
MCQ,12,Which graph represents a linear polynomial?,Straight line,Parabola,Curve,Circle,Straight line
MCQ,13,The value of polynomial x²−1 at x=1 is?,0,1,-1,2,0
MCQ,14,The degree of zero polynomial is?,0,1,Not defined,Infinite,Not defined
MCQ,15,Which is not a polynomial?,2x³−x+1,5x,1/x,x²+2,1/x
MCQ,16,The coefficient of x in 6x²−4x+3 is?,6,-4,3,4,-4
MCQ,17,The polynomial with degree 1 is called?,Linear,Quadratic,Cubic,Constant,Linear
MCQ,18,The polynomial x²+0x+5 has how many terms?,1,2,3,0,2
MCQ,19,The leading coefficient of 4x³−2x+1 is?,1,4,-2,3,4
MCQ,20,Which is a monomial?,x+1,x²+x,3x³,2x+3,3x³
MCQ,21,Which is a binomial?,x,x²+1,3x²+x+1,5,x²+1
MCQ,22,Which is a trinomial?,x+1,2x²+3x+1,5x,7,2x²+3x+1
MCQ,23,The value of 2x+3 at x=2 is?,5,6,7,8,7
MCQ,24,The zero of polynomial 2x is?,2,0,-2,1,0
MCQ,25,The degree of polynomial 0 is?,0,1,Not defined,2,Not defined
MCQ,26,Which polynomial has only one term?,Binomial,Trinomial,Monomial,Linear,Monomial
MCQ,27,The value of x³ at x=1 is?,0,1,2,3,1
MCQ,28,The graph of a quadratic polynomial is?,Straight line,Parabola,Circle,Hyperbola,Parabola
MCQ,29,Which is a constant polynomial?,5x,3x+1,7,2x²,7
MCQ,30,The zero of polynomial x+5 is?,5,-5,0,1,-5
MCQ,31,The number of zeros of a cubic polynomial is at most?,1,2,3,4,3
MCQ,32,Which has degree zero?,5,2x,x²,x³,5
MCQ,33,The polynomial x²−4 has zeros?,±2,2 only,-2 only,0,±2
MCQ,34,The coefficient of x³ in 5x³+2x² is?,5,2,3,0,5
MCQ,35,Which is a polynomial in x?,x+√2,1/x,x⁻¹,√x,x+√2
MCQ,36,The value of 3x² at x=2 is?,6,9,12,18,12
MCQ,37,The polynomial of degree 2 is called?,Linear,Quadratic,Cubic,Constant,Quadratic
MCQ,38,The constant term of x²−7 is?,1,-7,7,0,-7
MCQ,39,Which polynomial has degree 1?,5x²,3x,7,x³,3x
MCQ,40,The graph of constant polynomial is?,Line parallel to x-axis,Line parallel to y-axis,Curve,Parabola,Line parallel to x-axis
MCQ,41,The value of x²+x at x=1 is?,1,2,3,4,2
MCQ,42,Which is not a polynomial?,2x²+1,x³−x,1/x²,5x+3,1/x²
MCQ,43,The degree of polynomial 7x is?,0,1,2,7,1
MCQ,44,Which is a cubic polynomial?,x²+1,2x³+3,x+5,7,2x³+3
MCQ,45,The value of x³−1 at x=1 is?,0,1,2,-1,0
MCQ,46,The coefficient of x² in x²+x is?,1,0,2,-1,1
MCQ,47,The polynomial with three terms is?,Monomial,Binomial,Trinomial,Linear,Trinomial
MCQ,48,The value of 5 at x=any number is?,5,0,x,Undefined,5
MCQ,49,The degree of polynomial x⁴ is?,4,3,2,1,4
MCQ,50,The zero of polynomial x is?,1,-1,0,2,0

Integer,1,Degree of 3x²+1?,2,,,,
Integer,2,Zero of x−7?,7,,,,
Integer,3,Constant term of x²+3?,3,,,,
