Question,Answer
A ratio compares two __.,Quantities
A ratio is written using the symbol __.,:
The ratio 2:3 means 2 parts out of __ parts.,3
The ratio of 4 to 8 in simplest form is __.,1:2
The ratio of 6 to 9 in simplest form is __.,2:3
The ratio 1:1 shows __ quantities.,Equal
Two ratios that are equal are called __ ratios.,Equivalent
If a:b = c:d, then a, b, c, d are in __.,Proportion
In a proportion, the product of extremes equals the product of __.,Means
The first and last terms in a proportion are called __.,Extremes
The middle two terms in a proportion are called __.,Means
The ratio of 10 to 5 in simplest form is __.,2:1
The ratio of 12 to 18 in simplest form is __.,2:3
The ratio of 8:4 in simplest form is __.,2:1
If 2:3 = 4:x, then x = __.,6
If 3:5 = x:10, then x = __.,6
If 4:6 = x:9, then x = __.,6
The ratio of 500 g to 1 kg is __.,1:2
The ratio of 2 m to 50 cm is __.,4:1
The ratio of 1 hour to 30 minutes is __.,2:1
The ratio of 7 to 14 in simplest form is __.,1:2
The ratio of 15 to 20 in simplest form is __.,3:4
The ratio of 9 to 12 in simplest form is __.,3:4
The ratio of 18 to 24 in simplest form is __.,3:4
If a:b = 5:7, then b:a = __.,7:5
The ratio of 6 pens to 12 pens is __.,1:2
The ratio of 20 cm to 1 m is __.,1:5
If 4:5 = x:10, then x = __.,8
If 5:8 = 15:x, then x = __.,24
If 6:9 = 2:x, then x = __.,3
The ratio of 3 apples to 9 apples is __.,1:3
The ratio of 2 kg to 500 g is __.,4:1
The ratio of 25 to 100 in simplest form is __.,1:4
The ratio of 16 to 20 in simplest form is __.,4:5
The ratio of 21 to 14 in simplest form is __.,3:2
The ratio of 45 to 15 in simplest form is __.,3:1
If x:4 = 3:12, then x = __.,1
If 2:x = 6:12, then x = __.,4
The ratio of 1 day to 24 hours is __.,1:1
The ratio of 250 ml to 1 litre is __.,1:4
The ratio of 3 dozen to 36 is __.,1:1
The ratio of 5 rupees to 50 paise is __.,10:1
The ratio of 60 minutes to 2 hours is __.,1:2
The ratio of 2:4 in simplest form is __.,1:2
The ratio of 14:21 in simplest form is __.,2:3
The ratio of 9:27 in simplest form is __.,1:3
The ratio of 4:16 in simplest form is __.,1:4
