Chapter,Set A,Set B,Answer
Ratio and Proportion,Ratio,Comparison of two quantities,Ratio → Comparison of two quantities
Ratio and Proportion,Proportion,Two ratios equal,Proportion → Two ratios equal
Ratio and Proportion,Like ratio,Ratios with same terms,Like ratio → Ratios with same terms
Ratio and Proportion,Unit ratio,One of the terms is 1,Unit ratio → One of the terms is 1
Ratio and Proportion,Simplest form,Lowest terms,Simplest form → Lowest terms
Ratio and Proportion,Equivalent ratio,Different ratio with same value,Equivalent ratio → Different ratio with same value
Ratio and Proportion,Part,Each portion in ratio,Part → Each portion in ratio
Ratio and Proportion,Share,Divide in given ratio,Share → Divide in given ratio
Ratio and Proportion,Third term,In proportion a:b = c:d,Third term → c
Ratio and Proportion,Fourth term,In proportion a:b = c:d,Fourth term → d
Ratio and Proportion,Scaling up,Multiplying both terms by same number,Scaling up → Multiplying both terms by same number
Ratio and Proportion,Scaling down,Dividing both terms by same number,Scaling down → Dividing both terms by same number
Ratio and Proportion,Particular ratio,Specific given ratio,Particular ratio → Specific given ratio
Ratio and Proportion,Inverse proportion,One quantity increases, other decreases,Inverse proportion → One quantity increases, other decreases
Ratio and Proportion,Continuous proportion,Middle term in a:b = b:c,Continuous proportion → Middle term in a:b = b:c
