Question_Type,Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Answer
MCQ,1,Democracy is a form of government that produces,Quick decisions,Accountability,Dictatorship,Military rule,Accountability
MCQ,2,Which outcome of democracy ensures people’s participation?,Economic growth,Transparency,Legitimacy,Centralisation,Legitimacy
MCQ,3,Democracy is accountable to,Army,Judiciary,People,Media,People
MCQ,4,Which system allows citizens to question rulers?,Dictatorship,Monarchy,Democracy,Military rule,Democracy
MCQ,5,Which is NOT an outcome of democracy?,Accountability,Economic inequality,Transparency,Legitimacy,Economic inequality
MCQ,6,Democracy ensures regular,Military actions,Elections,Revolutions,Strikes,Elections
MCQ,7,Which outcome relates to decision-making process?,Transparency,Equality,Liberty,Justice,Transparency
MCQ,8,Democracy improves quality of decision-making because it,Is fast,Is secret,Is consultative,Is authoritarian,Is consultative
MCQ,9,Which value is promoted by democracy?,Inequality,Suppression,Equality,Discrimination,Equality
MCQ,10,Which system allows peaceful correction of mistakes?,Dictatorship,Monarchy,Democracy,Colonial rule,Democracy
MCQ,11,Democracy leads to,Concentration of power,Accountability,Autocracy,Instability,Accountability
MCQ,12,Which outcome refers to people accepting democracy as right?,Legitimacy,Efficiency,Speed,Control,Legitimacy
MCQ,13,Which system promotes dignity of individual?,Dictatorship,Democracy,Monarchy,Theocracy,Democracy
MCQ,14,Democracy is based on the idea of,Power of elites,Power of army,Power of people,Power of religion,Power of people
MCQ,15,Which outcome of democracy is related to rights?,Economic growth,Dignity and freedom,Centralisation,Military power,Dignity and freedom
MCQ,16,Which system may be slow but is accountable?,Dictatorship,Democracy,Monarchy,Military rule,Democracy
MCQ,17,Democracy ensures transparency through,Secret decisions,Public debates,Military orders,One-party rule,Public debates
MCQ,18,Which outcome shows moral superiority of democracy?,Economic growth,Legitimacy,Dominance,Control,Legitimacy
MCQ,19,Which outcome of democracy is linked with equality?,Social equality,Economic monopoly,Centralisation,Suppression,Social equality
MCQ,20,Which system respects minority rights?,Dictatorship,Democracy,Monarchy,Colonial rule,Democracy
MCQ,21,Democracy allows citizens to,Obey blindly,Question decisions,Follow rulers,Accept inequality,Question decisions
MCQ,22,Which outcome of democracy is NOT guaranteed?,Economic equality,Accountability,Legitimacy,Participation,Economic equality
MCQ,23,Democracy promotes accommodation of,Only majority,Only elite,Diverse groups,Army,Diverse groups
MCQ,24,Which system corrects its own mistakes?,Monarchy,Dictatorship,Democracy,Colonialism,Democracy
MCQ,25,Which outcome is related to free elections?,Accountability,Legitimacy,Participation,All of these,All of these
MCQ,26,Democracy ensures dignity of,Only men,Only women,All individuals,Only majority,All individuals
MCQ,27,Which outcome refers to open decision making?,Transparency,Equality,Justice,Liberty,Transparency
MCQ,28,Democracy leads to better decisions because,One person decides,People consult,Army controls,Ruler decides,People consult
MCQ,29,Which outcome strengthens people’s faith in democracy?,Legitimacy,Speed,Control,Force,Legitimacy
MCQ,30,Which system promotes political equality?,Monarchy,Dictatorship,Democracy,Military rule,Democracy
MCQ,31,Democracy is better than other systems because it allows,Errors without correction,Peaceful correction of mistakes,Military rule,No opposition,Peaceful correction of mistakes
MCQ,32,Which outcome relates to accountability of rulers?,Transparency,Legitimacy,Responsibility,Equality,Responsibility
MCQ,33,Which system gives equal voting rights?,Dictatorship,Democracy,Monarchy,Theocracy,Democracy
MCQ,34,Democracy ensures people’s dignity by,Suppressing voices,Ignoring minorities,Respecting rights,Centralising power,Respecting rights
MCQ,35,Which outcome of democracy is political?,Economic growth,Political equality,Industrial growth,Military strength,Political equality
MCQ,36,Democracy improves decision making because it involves,One ruler,Public discussion,Army rule,Secret meetings,Public discussion
MCQ,37,Which outcome shows democracy is morally right?,Legitimacy,Efficiency,Speed,Control,Legitimacy
MCQ,38,Which system is more transparent?,Dictatorship,Democracy,Monarchy,Colonial rule,Democracy
MCQ,39,Which outcome is linked with freedom of expression?,Dignity,Accountability,Legitimacy,Equality,Dignity
MCQ,40,Democracy promotes,Uniformity,Accommodation,Suppression,Centralisation,Accommodation
MCQ,41,Which outcome ensures rulers answerable to people?,Legitimacy,Accountability,Equality,Justice,Accountability
MCQ,42,Democracy ensures respect for,Power,Authority,Human rights,Army,Human rights
MCQ,43,Which system allows opposition parties?,Dictatorship,Monarchy,Democracy,Military rule,Democracy
MCQ,44,Democracy leads to development by,Force,Participation,Suppression,Centralisation,Participation
MCQ,45,Which outcome of democracy is social?,Economic growth,Social equality,Military power,Central rule,Social equality
MCQ,46,Democracy may not always give,Accountability,Equality,Quick decisions,Legitimacy,Quick decisions
MCQ,47,Which outcome of democracy builds trust?,Legitimacy,Control,Force,Speed,Legitimacy
MCQ,48,Which system ensures citizens’ rights?,Monarchy,Dictatorship,Democracy,Colonial rule,Democracy
MCQ,49,Democracy is preferred because it,Suppresses people,Ensures dignity and equality,Centralises power,Eliminates opposition,Ensures dignity and equality
MCQ,50,Overall outcome of democracy is,Authoritarianism,Better governance,Military power,Instability,Better governance

Integer,1,Government by people?,Democracy,,,,
Integer,2,Answerability of rulers?,Accountability,,,,
Integer,3,Open decision making?,Transparency,,,,
Integer,4,Acceptance of democracy?,Legitimacy,,,,
Integer,5,Equal value of vote?,Political equality,,,,
Integer,6,Respect for individual?,Dignity,,,,
Integer,7,Ability to question rulers?,Democracy,,,,
Integer,8,Correction of mistakes?,Democracy,,,,
Integer,9,Decision through discussion?,Consultation,,,,
Integer,10,Outcome related to trust?,Legitimacy,,,,
Integer,11,People’s involvement?,Participation,,,,
Integer,12,Equal rights?,Equality,,,,
Integer,13,Freedom of expression ensures?,Dignity,,,,
Integer,14,Public debate ensures?,Transparency,,,,
Integer,15,Rulers answerable to?,People,,,,
Integer,16,Democracy improves?,Decision making,,,,
Integer,17,Opposite of dictatorship?,Democracy,,,,
Integer,18,Outcome not guaranteed?,Economic equality,,,,
Integer,19,Democracy respects?,Minorities,,,,
Integer,20,Free and fair elections ensure?,Accountability,,,,
Integer,21,System allowing opposition?,Democracy,,,,
Integer,22,Peaceful change of government?,Democracy,,,,
Integer,23,Value of one person one vote?,Equality,,,,
Integer,24,People accept democracy as right?,Legitimacy,,,,
Integer,25,Democracy based on?,Consent,,,,
Integer,26,Quality of decisions improved by?,Discussion,,,,
Integer,27,Democracy promotes?,Accommodation,,,,
Integer,28,Democracy ensures human?,Rights,,,,
Integer,29,Government mistakes corrected by?,Elections,,,,
Integer,30,Democracy may be slow but?,Accountable,,,,
Integer,31,Outcome related to moral right?,Legitimacy,,,,
Integer,32,Transparency achieved by?,Debate,,,,
Integer,33,Democracy ensures dignity of?,Individual,,,,
Integer,34,Equal opportunity principle?,Equality,,,,
