Question,Answer
Define a line segment and give an example.,A line segment is a part of a line with two fixed endpoints. Example: The edge of a book.
What is a ray? Explain with an example.,A ray is a part of a line that starts at one point and goes endlessly in one direction. Example: Sun rays.
What is a line? Explain.,A line is a straight path that extends endlessly in both directions and has no endpoints.
Explain the difference between a line, a ray, and a line segment.,A line extends infinitely in both directions, a ray has one endpoint and extends infinitely in one direction, and a line segment has two endpoints and finite length.
Define an angle.,An angle is formed by two rays with a common endpoint. The common endpoint is called the vertex.
Name and explain the different types of angles.,Angles are of different types such as acute (less than 90°), right (90°), obtuse (more than 90° but less than 180°), straight (180°), reflex (more than 180° but less than 360°), and complete angle (360°).
What is an acute angle? Give an example.,An acute angle is an angle less than 90°. Example: 30° angle.
What is a right angle? Give an example.,A right angle is an angle of exactly 90°. Example: The corner of a square.
What is an obtuse angle? Give an example.,An obtuse angle is greater than 90° but less than 180°. Example: 120° angle.
What is a straight angle?,A straight angle is an angle of 180° and forms a straight line.
What is a reflex angle?,A reflex angle is an angle greater than 180° but less than 360°.
What is a complete angle?,A complete angle is an angle of 360°.
Explain what a polygon is.,A polygon is a closed figure made up of three or more line segments.
Name different types of polygons.,Different types of polygons include triangle, quadrilateral, pentagon, hexagon, heptagon, octagon, etc.
What is a triangle? Explain.,A triangle is a polygon with three sides, three angles, and three vertices.
Explain different types of triangles based on sides.,Triangles based on sides are scalene (all sides different), isosceles (two sides equal), and equilateral (all sides equal).
Explain different types of triangles based on angles.,Triangles based on angles are acute-angled, right-angled, and obtuse-angled triangles.
What is a quadrilateral?,A quadrilateral is a polygon with four sides, four angles, and four vertices.
Name and explain types of quadrilaterals.,Quadrilaterals include square, rectangle, parallelogram, rhombus, and trapezium with different properties of sides and angles.
What is a square? Explain.,A square has four equal sides and four right angles.
What is a rectangle? Explain.,A rectangle has opposite sides equal and four right angles.
What is a parallelogram?,A parallelogram has opposite sides equal and parallel.
What is a rhombus?,A rhombus has all sides equal and opposite sides parallel.
What is a trapezium?,A trapezium has only one pair of opposite sides parallel.
Define a circle.,A circle is a closed curve in which all points are at the same distance from a fixed point called the centre.
Name parts of a circle.,The parts of a circle are centre, radius, diameter, chord, and circumference.
What is the radius of a circle?,The radius is the distance from the centre of the circle to any point on the circle.
What is the diameter of a circle?,The diameter is the distance across the circle passing through the centre. It is twice the radius.
What is a chord?,A chord is a line segment joining any two points on a circle.
What is circumference?,Circumference is the boundary or the perimeter of a circle.
Explain what 2D shapes are.,2D shapes are flat shapes that have only length and breadth, like square, rectangle, circle, triangle.
Explain what 3D shapes are.,3D shapes are solid shapes that have length, breadth, and height, like cube, cuboid, sphere, cylinder, cone.
Give examples of 2D shapes.,Examples of 2D shapes are triangle, square, rectangle, and circle.
Give examples of 3D shapes.,Examples of 3D shapes are cube, cuboid, sphere, cylinder, and cone.
What is a cube?,A cube is a 3D shape with 6 square faces, 12 edges, and 8 vertices.
What is a cuboid?,A cuboid is a 3D shape with 6 rectangular faces, 12 edges, and 8 vertices.
What is a sphere?,A sphere is a round 3D shape like a ball.
What is a cylinder?,A cylinder is a 3D shape with two circular faces and one curved surface.
What is a cone?,A cone is a 3D shape with one circular base and a pointed top.
Define parallel lines.,Parallel lines are lines that never meet and are always at the same distance from each other.
Define intersecting lines.,Intersecting lines are lines that cross each other at a point.
What are perpendicular lines?,Perpendicular lines are lines that intersect at right angles.
Explain open and closed figures.,An open figure does not enclose a region, while a closed figure encloses a region.
What is a vertex?,A vertex is the point where two sides or edges meet.
What is an edge?,An edge is a line segment where two faces of a solid meet.
What is a face?,A face is a flat surface of a 3D shape.
Explain the use of a protractor.,A protractor is used to measure angles.
Explain the use of a compass.,A compass is used to draw circles and arcs.
Explain the use of a ruler.,A ruler is used to draw straight lines and measure length.
