Chapter,Question,Answer
Ratio and Proportion,Find the ratio of 12 apples to 8 oranges,12:8 = 3:2
Ratio and Proportion,Express 15:20 in simplest form,15:20 = 3:4
Ratio and Proportion,If 3 pens cost $12, find the cost of 5 pens,Cost of 1 pen = 12/3 = 4 → 5 pens = 5×4 = 20
Ratio and Proportion,The ratio of boys to girls in a class is 5:6. If there are 30 boys, how many girls?,5/6 = 30/x → x = 36 girls
Ratio and Proportion,Simplify the ratio 18:24,18:24 = 3:4
Ratio and Proportion,If a:b = 2:3 and a = 10, find b,a/b = 2/3 → b = 15
Ratio and Proportion,Find the ratio of 24 cm to 36 cm,24:36 = 2:3
Ratio and Proportion,Divide 60 in the ratio 2:3,Total parts = 2+3=5 → Each part = 60/5=12 → Parts = 24,36
Ratio and Proportion,Find the value of x if 3:x = 9:12,3/x = 9/12 → x = 4
Ratio and Proportion,If 4 pens cost $20, find the cost of 10 pens,Cost of 1 pen = 5 → 10 pens = 50
Ratio and Proportion,The ratio of length to breadth of a rectangle is 5:2. If length is 25 cm, find breadth,Breadth = (25×2)/5 = 10 cm
Ratio and Proportion,Simplify 45:60,45:60 = 3:4
Ratio and Proportion,Divide 72 in ratio 3:5,Total parts = 3+5=8 → Each part = 72/8=9 → Parts = 27,45
Ratio and Proportion,If a:b = 7:9 and b=18, find a,a/b=7/9 → a=14
Ratio and Proportion,Find the ratio of 15 km to 10 km,15:10 = 3:2
Ratio and Proportion,Express 50:75 in simplest form,50:75 = 2:3
Ratio and Proportion,The ratio of red to blue balls is 3:4. If there are 28 blue balls, find red balls,Red = 3/4 × 28 = 21
Ratio and Proportion,If 5 kg costs $30, find cost of 8 kg,Cost of 1 kg = 6 → 8 kg = 48
Ratio and Proportion,The ratio of two numbers is 7:5. If sum is 36, find the numbers,Sum parts = 7+5=12 → Each part = 36/12=3 → Numbers = 21,15
Ratio and Proportion,Find the value of x if 2:x = 5:15,2/x = 5/15 → x=6
Ratio and Proportion,Divide 90 in ratio 2:7,Total parts = 9 → Each part = 10 → Parts = 20,70
Ratio and Proportion,If a:b = 3:8 and a = 18, find b,b = 18×8/3 = 48
Ratio and Proportion,Simplify 120:200,120:200 = 3:5
Ratio and Proportion,The ratio of students in class A to B is 4:5. If class A has 32 students, find class B,32×5/4=40
Ratio and Proportion,Divide 100 in the ratio 3:2,Total parts = 5 → Each part = 20 → Parts = 60,40
Ratio and Proportion,If a:b = 6:7 and b=42, find a,a = 6×42/7 = 36
Ratio and Proportion,Find the ratio of 40 m to 25 m,40:25=8:5
Ratio and Proportion,Express 24:36 in simplest form,24:36 = 2:3
Ratio and Proportion,The ratio of girls to boys is 7:6. If girls = 28, find boys,Boys = 28×6/7=24
Ratio and Proportion,If 3 notebooks cost $15, find cost of 10 notebooks,Cost of 1 notebook = 5 → 10 notebooks = 50
Ratio and Proportion,Divide 48 in ratio 5:3,Total parts = 8 → Each part = 6 → Parts = 30,18
Ratio and Proportion,If a:b = 9:5 and a = 36, find b,b = 36×5/9 = 20
Ratio and Proportion,Simplify 63:42,63:42 = 3:2
Ratio and Proportion,The ratio of red to green apples is 4:3. If green = 21, red = ?,Red = 4/3 ×21=28
Ratio and Proportion,Divide 70 in ratio 2:5,Total parts=7 → Each part=10 → Parts = 20,50
Ratio and Proportion,If a:b = 8:5 and b=25, find a,a = 8×25/5=40
Ratio and Proportion,Find the ratio of 54 m to 36 m,54:36=3:2
Ratio and Proportion,Express 90:120 in simplest form,90:120=3:4
Ratio and Proportion,The ratio of boys to girls is 5:7. If boys = 20, find girls,20×7/5=28
Ratio and Proportion,If 6 pens cost $24, find cost of 9 pens,Cost of 1 pen=4 → 9 pens=36
Ratio and Proportion,Divide 60 in ratio 3:7,Total parts=10 → Each part=6 → Parts=18,42
Ratio and Proportion,If a:b = 5:6 and a = 25, find b,b = 25×6/5 = 30
Ratio and Proportion,Simplify 150:200,150:200=3:4
Ratio and Proportion,The ratio of students in classes C and D is 9:11. If C has 27 students, D has ?,D=27×11/9=33
Ratio and Proportion,Divide 120 in ratio 4:5,Total parts=9 → Each part=120/9=13.33 → Parts≈53.33,66.67
Ratio and Proportion,If a:b = 12:7 and b = 28, find a,a=12×28/7=48
Ratio and Proportion,Find the ratio of 48 kg to 32 kg,48:32=3:2
Ratio and Proportion,Express 36:60 in simplest form,36:60=3:5
Ratio and Proportion,The ratio of red to blue marbles is 3:5. If blue marbles = 40, find red,Red=3/5×40=24
Ratio and Proportion,If 5 kg of sugar costs $20, find cost of 8 kg,Cost of 1 kg=4 → 8 kg=32
Ratio and Proportion,Divide 80 in ratio 3:5,Total parts=8 → Each part=10 → Parts=30,50
