Question,Answer
Panchayati Raj is a system of __________ government,local
It was introduced to strengthen __________ at the village level,democracy
Panchayati Raj was formalized by the __________ Amendment,73rd
Gram Panchayat is the __________ body at the village level,executive
The head of a Gram Panchayat is called the __________,Sarpanch
Panchayati Raj has three __________,tiers
The three tiers are Gram Panchayat, Panchayat Samiti, and __________,Zilla Parishad
Panchayati Raj ensures participation of __________,citizens
Elections for Panchayati Raj are held every __________ years,five
Panchayats collect __________ to maintain village services,taxes
The Gram Sabha consists of __________ members of the village,all
Panchayati Raj promotes __________ development,local
Panchayats implement government __________,schemes
Women are encouraged to participate through __________,reservation
Panchayati Raj helps in solving local __________,problems
Village development plans are prepared by the __________,Gram Panchayat
Panchayati Raj ensures transparency and __________,accountability
Panchayat Samiti functions at the __________ level,block
Zilla Parishad functions at the __________ level,district
Local governance strengthens __________ democracy,grassroots
Gram Panchayats work for sanitation, water, and __________,health
Panchayati Raj helps in improving __________ education,primary
Citizens can raise issues in the __________,Gram Sabha
Panchayati Raj was recommended by the __________ Committee,Balwantrai Mehta
Panchayati Raj includes elected __________,representatives
Panchayats monitor __________ projects,village
Gram Panchayat can maintain roads, streetlights, and __________,parks
Panchayati Raj provides a platform for local __________,leadership
Village development funds are allocated by the __________,government
Local disputes can be resolved by __________ committees,Gram Panchayat
Panchayati Raj strengthens citizens’ __________,participation
The Sarpanch is elected by the __________,Gram Sabha
Panchayati Raj promotes __________ equality,women
Funds for Panchayati Raj are provided by the __________,state and central government
Panchayati Raj ensures implementation of __________ programs,government
Village meetings are called __________,Gram Sabha meetings
Panchayati Raj helps in promoting social __________,justice
Local governance increases __________ awareness,civic
Panchayats can maintain public __________,facilities
Community participation is important for Panchayati __________,Raj
Panchayati Raj is a form of __________ governance,decentralized
The system encourages __________ development,holistic
Village problems are discussed in the __________,Gram Sabha
Panchayati Raj helps in reducing __________,corruption
Decision-making is closer to __________,people
Panchayati Raj strengthens rural __________,leadership
Local government plays a role in poverty __________,alleviation
Citizens can suggest __________ for village development,projects
Gram Panchayats work under state __________,laws
Elected representatives are accountable to the __________,Gram Sabha
Panchayati Raj promotes participatory __________,decision-making
