Question_Type,Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Answer
MCQ,1,Power sharing refers to the distribution of power among,Political parties,Government organs,Social groups,All of these,All of these
MCQ,2,Which country faced a major power sharing crisis in Europe?,Germany,Belgium,France,Italy,Belgium
MCQ,3,Power sharing is desirable because it,Delays decisions,Reduces conflict,Weakens government,Creates instability,Reduces conflict
MCQ,4,Which community was economically dominant in Sri Lanka?,Tamils,Sinhala,Burghers,Christians,Sinhala
MCQ,5,Which language was made official in Sri Lanka in 1956?,Tamil,Sinhala,English,French,Sinhala
MCQ,6,Which community felt alienated in Sri Lanka?,Sinhala,Tamils,Buddhists,Christians,Tamils
MCQ,7,Power sharing helps in maintaining,Dictatorship,Unity,Conflict,Instability,Unity
MCQ,8,Which country adopted power sharing to solve ethnic problem?,India,Belgium,Sri Lanka,China,Belgium
MCQ,9,Which organ of government makes laws?,Executive,Legislature,Judiciary,Bureaucracy,Legislature
MCQ,10,Which organ implements laws?,Judiciary,Legislature,Executive,Media,Executive
MCQ,11,Which organ interprets laws?,Legislature,Executive,Judiciary,President,Judiciary
MCQ,12,Sharing of power among organs is called,Vertical sharing,Horizontal sharing,Community sharing,Federal sharing,Horizontal sharing
MCQ,13,Sharing of power among different levels is called,Horizontal sharing,Community sharing,Vertical sharing,Ethnic sharing,Vertical sharing
MCQ,14,Power sharing among social groups is known as,Community sharing,Vertical sharing,Horizontal sharing,Political sharing,Community sharing
MCQ,15,Which form of power sharing exists in India?,Horizontal only,Vertical only,Both horizontal and vertical,None,Both horizontal and vertical
MCQ,16,Which level comes under vertical power sharing?,Union government,State government,Local government,All of these,All of these
MCQ,17,Which body ensures no organ misuses power?,Executive,Judiciary,Legislature,Police,Judiciary
MCQ,18,Power sharing is essential in a,Dictatorship,Monarchy,Democracy,Military rule,Democracy
MCQ,19,Which city is the capital of Belgium?,Paris,Brussels,Berlin,Amsterdam,Brussels
MCQ,20,Which group was in minority in Belgium?,Dutch speakers,French speakers,Germans,British,French speakers
MCQ,21,Which community was majority in Brussels?,Dutch,French,German,Mixed,Mixed
MCQ,22,Power sharing prevents,Conflict,Democracy,Equality,Participation,Conflict
MCQ,23,Which country experienced civil war due to lack of power sharing?,Belgium,Sri Lanka,India,USA,Sri Lanka
MCQ,24,Which system divides power between central and state governments?,Unitary,Federal,Monarchy,Dictatorship,Federal
MCQ,25,Which form of government promotes power sharing?,Autocracy,Monarchy,Democracy,Military rule,Democracy
MCQ,26,Which group demanded recognition in Sri Lanka?,Sinhala,Tamils,Burghers,Dutch,Tamils
MCQ,27,Which amendment strengthened local government in India?,42nd,44th,73rd,86th,73rd
MCQ,28,Which level includes Panchayats and Municipalities?,Union,State,Local,Central,Local
MCQ,29,Which power sharing arrangement includes coalition governments?,Community sharing,Political sharing,Horizontal sharing,Vertical sharing,Political sharing
MCQ,30,Power sharing is a part of,Autocracy,Democratic principle,Dictatorship,Military rule,Democratic principle
MCQ,31,Which country has community government?,Belgium,India,Sri Lanka,Nepal,Belgium
MCQ,32,Which language group dominates in northern Belgium?,French,Dutch,German,English,Dutch
MCQ,33,Which body checks executive actions?,Legislature,Judiciary,Police,Media,Judiciary
MCQ,34,Which form of power sharing reduces chances of conflict?,Community sharing,Political sharing,All forms,None,All forms
MCQ,35,Which system concentrates power in one hand?,Democracy,Federalism,Dictatorship,Power sharing,Dictatorship
MCQ,36,Which example shows failure of power sharing?,Belgium,India,Sri Lanka,USA,Sri Lanka
MCQ,37,Which feature ensures minority protection?,Power concentration,Power sharing,Majority rule,Autocracy,Power sharing
MCQ,38,Which principle states power should not be concentrated?,Separation of power,Centralisation,Dictatorship,Monarchy,Separation of power
MCQ,39,Which institution represents people?,Judiciary,Executive,Legislature,Army,Legislature
MCQ,40,Which power sharing arrangement exists among parties?,Community sharing,Political sharing,Vertical sharing,Horizontal sharing,Political sharing
MCQ,41,Power sharing strengthens,Democracy,Dictatorship,Autocracy,Military rule,Democracy
MCQ,42,Which community dominated politics in Sri Lanka?,Tamil,Sinhala,Dutch,Christian,Sinhala
MCQ,43,Which city has mixed population in Belgium?,Antwerp,Brussels,Ghent,Liege,Brussels
MCQ,44,Power sharing is also known as,Power concentration,Power distribution,Power monopoly,Power seizure,Power distribution
MCQ,45,Which level is highest in vertical sharing?,Local,State,Union,None,Union
MCQ,46,Which country avoided civil war due to power sharing?,Sri Lanka,Belgium,Myanmar,Nepal,Belgium
