Question,Answer
A ratio compares two quantities.,True
Ratios can be written in the form a:b,True
Ratios can also be written as fractions.,True
The ratio 3:4 is the same as 6:8,True
The ratio 2:5 is equivalent to 4:10,True
Proportion means two ratios are equal.,True
If a:b = c:d, then a, b, c, d are in proportion.,True
The ratio of 10:5 is 2:1,True
The ratio of 6:9 is 2:3,True
The ratio 1:2 is equal to 2:4,True
In a proportion, the product of extremes equals the product of means.,True
2:3 = 4:6 is a proportion,True
3:4 = 6:9 is not a proportion,True
5:10 = 1:2 is a proportion,True
Ratios can only have positive numbers.,False
Ratios can include zero.,True
A proportion can have zero in numerator,True
A proportion cannot have zero in denominator,True
4:5 = 8:10,True
7:2 = 14:4,True
3:6 = 1:2,True
2:5 = 4:10,True
The simplest form of 8:12 is 2:3,True
The simplest form of 15:20 is 3:4,True
5:0 is a valid ratio,False
0:5 is a valid ratio,True
Ratios can be compared using fractions.,True
Ratios can be scaled up or down.,True
The ratio 6:8 = 3:4,True
The ratio 9:12 = 3:4,True
Ratios are unitless,True
Proportion is a statement of equality of two ratios.,True
In proportion a:b = c:d, d cannot be zero,True
In proportion a:b = c:d, b cannot be zero,True
2:3 = 4:6,True
1:3 = 2:5,False
5:15 = 1:3,True
10:20 = 1:2,True
The ratio of 0:3 = 0:1,True
The ratio of 3:0 is undefined,True
Ratios can be expressed in decimals,True
Ratios can be expressed in percentages,True
The ratio 2:5 = 0.4,False
The ratio 1:4 = 0.25,True
The proportion 2:3 = 4:6 is correct,True
The proportion 3:5 = 6:10 is correct,True
The proportion 1:2 = 3:5 is incorrect,True
Ratios cannot be negative,False
The ratio 3:-6 = -1:2,True
The ratio 0:0 is undefined,True
Ratios can be used to compare speed,True
Ratios can be used to compare cost,True
Ratios can be used to compare quantities in recipes,True
Ratios can be used to compare heights,True
