Question_Type,Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Answer
MCQ,1,Who wrote the poem "A Slumber Did My Spirit Seal"?,John Keats,William Wordsworth,Percy Shelley,Robert Frost,William Wordsworth
MCQ,2,The poem expresses?,Joy,Love,Grief and loss,Anger,Grief and loss
MCQ,3,The poem is about the death of?,A friend,A sister,A beloved woman,A child,A beloved woman
MCQ,4,What does "slumber" refer to?,Sleep,Ignorance,Peace,Death,Ignorance
MCQ,5,The poet felt secure because?,He was strong,He feared nothing,He was unaware of death,He was asleep,He was unaware of death
MCQ,6,The woman is now?,Alive,Asleep,Dead,Travelling,Dead
MCQ,7,What can the woman no longer feel?,Love,Pain,Earthly touch,Cold,Earthly touch
MCQ,8,The woman has become part of?,Heaven,Nature,Stars,Poet’s heart,Nature
MCQ,9,The tone of the poem is?,Joyful,Calm and sad,Angry,Humorous,Calm and sad
MCQ,10,The poem has how many stanzas?,One,Two,Three,Four,Two
MCQ,11,Each stanza has how many lines?,Two,Three,Four,Six,Four
MCQ,12,The poem belongs to?,Romantic poetry,War poetry,Nonsense poetry,Modern poetry,Romantic poetry
MCQ,13,What does "human fears" mean?,Fear of animals,Fear of death,Fear of loss,Fear of darkness,Fear of death
MCQ,14,The woman is described as?,Fragile,Immortal,Eternal part of nature,Weak,Eternal part of nature
MCQ,15,What moves the woman now?,Wind,Earth’s motion,Poet’s love,Time,Earth’s motion
MCQ,16,The poet’s feeling changes from?,Joy to anger,Love to hatred,Ignorance to realization,Fear to joy,Ignorance to realization
MCQ,17,The poem is written in?,Free verse,Rhyming quatrains,Prose,Blank verse,Rhyming quatrains
MCQ,18,The poet initially thought death?,Was impossible,Would not affect her,Was painful,Was welcome,Would not affect her
MCQ,19,The second stanza shows?,Dream,Reality,Nature’s beauty,Hope,Reality
MCQ,20,The poem’s theme is?,Love and adventure,Life and joy,Death and nature,War and peace,Death and nature
MCQ,21,What does the woman lack now?,Life,Movement,Senses,Memory,Senses
MCQ,22,The poem suggests death is?,Cruel,Peaceful,Natural,Violent,Natural
MCQ,23,The woman is now beyond?,Pain and fear,Life,Earth,Time,Pain and fear
MCQ,24,What does the poet mourn?,Nature,Love,Loss of beloved,Youth,Loss of beloved
MCQ,25,The poem’s mood is?,Optimistic,Playful,Melancholic,Cheerful,Melancholic
MCQ,26,The woman is described as part of?,Heavenly angels,Mountains and stones,Poet’s dreams,Sea,Mountains and stones
