Question,Option A,Option B,Option C,Option D,Correct Answer
Why are deserts harsh habitats?,Too many animals,Lack of water,Cold weather,Forests,Lack of water
Why do camels have padded feet?,To climb trees,To walk on sand,To run fast,To swim,To walk on sand
Why are desert animals mostly nocturnal?,To hunt birds,To save energy,To avoid heat,To escape humans,To avoid heat
How do burrows help animals?,Hide from enemies,Keep cool,Store food,All of these,All of these
What is the advantage of light-colored fur?,Camouflage,Beauty,Heat reflection,Attraction,Heat reflection
Why does the fennec fox have large ears?,Better hearing,Look bigger,Release heat,Attract mates,Release heat
How do camels survive without water?,By sleeping,By storing fat,By drinking sand,By eating meat,By storing fat
Why do snakes move slowly?,Cold-blooded nature,Heavy body,Short legs,Weak muscles,Cold-blooded nature
Why do desert animals conserve water?,Water is scarce,They don’t drink,They dislike water,They sleep,Water is scarce
What adaptation helps camels in sandstorms?,Long legs,Long eyelashes,Strong teeth,Humps,Long eyelashes
Why are reptiles suited to deserts?,They sweat,They need little water,They eat plants,They sleep long,They need little water
Why do rats stay underground?,Avoid predators,Avoid heat,Find food,Both A and B,Both A and B
What happens if animals come out in daytime?,They freeze,They overheat,They grow weak,They get wet,They overheat
How does the camel’s hump help survival?,Stores fat for energy,Stores water directly,Stores food,Stores air,Stores fat for energy
Why are deserts mostly silent in daytime?,Animals hide,Wind stops,Sun too bright,No birds,Animals hide
What type of animals live in deserts?,Water-loving,Cold climate,Well-adapted,Forest animals,Well-adapted
Why do foxes hunt at night?,Better vision,Cool temperature,More food,Both A and B,Both A and B
What role does adaptation play?,Decoration,Survival,Movement,Reproduction,Survival
Why are burrows deep?,Protection from cold,Protection from heat,Store food,Hide water,Protection from heat
Why do camels not sweat easily?,To save water,To cool body,To run faster,To store fat,To save water
Why is desert vegetation sparse?,Too much heat,Lack of water,Animals eat plants,Rocky soil,Lack of water
What happens to animals without adaptations?,They thrive,They migrate,They die,They grow faster,They die
Why is camel called ship of desert?,Carries load,Travels long distance,Survives harsh land,Both A and B,Both A and B
How do fox ears help at night?,Hearing prey,Cooling body,Navigation,Both A and B,Both A and B
Why is desert fox small?,Energy saving,Speed,Adaptation,All of these,All of these
Why are desert animals patient?,Food scarcity,Water scarcity,Extreme heat,All of these,All of these
What helps animals stay underground?,Strong claws,Soft sand,Cool air,Both A and B,Both A and B
Why is desert called extreme habitat?,Hot days cold nights,No life exists,Only sand,Too many animals,Hot days cold nights
What does nocturnal mean?,Active at night,Active at day,Always sleeping,Always hunting,Active at night
Why do camels kneel?,Weak legs,Rest,Load carrying,Heat escape,Load carrying
What helps snakes survive heat?,Scales,Sand burrowing,Slow movement,Both A and B,Both A and B
Why do camels eat thorny plants?,No other food,Strong lips,Easy digestion,Both A and B,Both A and B
What does thick skin prevent?,Heat loss,Water loss,Injury,Both A and B,Both A and B
Why do desert animals have few sweat glands?,To cool body,To save water,To attract mates,To store fat,To save water
What is a survival strategy?,Habit,Adaptation,Disease,Food,Adaptation
Why are desert nights cold?,No clouds,No water,No trees,All of these,All of these
What is the biggest challenge in deserts?,Food,Predators,Water,Shelter,Water
Why do animals reduce activity?,Save energy,Avoid heat,Hunt later,Both A and B,Both A and B
Why do camels have long legs?,Reach trees,Keep body away from sand,Run fast,Jump,Keep body away from sand
What kind of animals dominate deserts?,Fast animals,Strong animals,Adapted animals,Big animals,Adapted animals
What is the lesson of chapter?,Desert is empty,Adaptation is key,Animals are weak,Life is easy,Adaptation is key
