Question_Type,Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Answer
MCQ,1,Water is considered a renewable resource because it,Is unlimited,Is reused in water cycle,Is cheap,Flows continuously,Is reused in water cycle
MCQ,2,The main source of freshwater is,Rivers and lakes,Seas,Oceans,Glaciers,Rivers and lakes
MCQ,3,Which process brings water back to land?,Evaporation,Condensation,Precipitation,Transpiration,Precipitation
MCQ,4,Which river valley civilisation developed water harvesting?,Indus Valley,Nile,Mesopotamian,Chinese,Indus Valley
MCQ,5,Which method was used in Rajasthan to conserve water?,Canals,Tankas,Tube wells,Dams,Tankas
MCQ,6,Johads are traditional water harvesting structures in,Gujarat,Rajasthan,Punjab,Kerala,Rajasthan
MCQ,7,Which state revived traditional water harvesting through johads?,Punjab,Haryana,Rajasthan,Bihar,Rajasthan
MCQ,8,Who led the water conservation movement in Rajasthan?,Medha Patkar,Rajendra Singh,Sunderlal Bahuguna,M S Swaminathan,Rajendra Singh
MCQ,9,Which dam is built on river Narmada?,Hirakud,Sardar Sarovar,Bhakra Nangal,Tehri,Sardar Sarovar
MCQ,10,Multi-purpose river projects are built for,Irrigation only,Power only,Flood control only,Multiple uses,Multiple uses
MCQ,11,Which project is built on river Sutlej?,Hirakud,Bhakra Nangal,Damodar Valley,Tehri,Bhakra Nangal
MCQ,12,The main objective of dams is,Water storage,Electricity generation,Irrigation,All of these,All of these
MCQ,13,Which river is associated with Hirakud Dam?,Narmada,Mahanadi,Sutlej,Ganga,Mahanadi
MCQ,14,Which river is known as river of sorrow in Bihar?,Yamuna,Kosi,Ganga,Brahmaputra,Kosi
MCQ,15,Large dams have been criticised for,Providing irrigation,Generating electricity,Displacement of people,Water storage,Displacement of people
MCQ,16,Which movement opposed large dams?,Chipko,Narmada Bachao,Appiko,Bishnoi,Narmada Bachao
MCQ,17,Which dam is built on river Bhagirathi?,Bhakra,Tehri,Hirakud,Sardar Sarovar,Tehri
MCQ,18,The Narmada Bachao Andolan was led by,Rajendra Singh,Medha Patkar,Gandhi,Nehru,Medha Patkar
MCQ,19,Which method helps recharge groundwater?,Canal irrigation,Rainwater harvesting,Dams,Drip irrigation,Rainwater harvesting
MCQ,20,Over-irrigation causes,Soil fertility,Waterlogging,Afforestation,Recharge,Waterlogging
MCQ,21,Which sector uses maximum water in India?,Domestic,Industrial,Agricultural,Commercial,Agricultural
MCQ,22,Water scarcity means,Less rainfall,Unequal distribution,Overuse,All of these,All of these
MCQ,23,Which state faces acute water scarcity?,Kerala,Punjab,Rajasthan,Assam,Rajasthan
MCQ,24,Which traditional system was used in Meghalaya?,Johads,Bunds,Bamboo drip irrigation,Tankas,Bamboo drip irrigation
MCQ,25,Which harvesting system is used in Tamil Nadu?,Tankas,Eris,Johads,Canals,Eris
MCQ,26,Which region uses inundation canals?,Northern plains,Plateau,Desert,Coastal,Northern plains
MCQ,27,Which dam was the first multi-purpose project in India?,Bhakra Nangal,Hirakud,Damodar Valley,Tehri,Damodar Valley
MCQ,28,Water resources are important for,Life only,Agriculture only,Industry only,All human activities,All human activities
MCQ,29,Which river project is called temple of modern India?,Bhakra Nangal,Hirakud,Damodar Valley,Tehri,Bhakra Nangal
MCQ,30,Which problem is caused by dams?,Flood control,Hydel power,Ecological imbalance,Irrigation,Ecological imbalance
MCQ,31,Which region practices rooftop rainwater harvesting?,Thar Desert,Western Ghats,Plains,Himalayas,Thar Desert
MCQ,32,Which factor increases water demand?,Population growth,Afforestation,Conservation,Rainfall,Population growth
MCQ,33,Which activity depletes groundwater?,Rainwater harvesting,Afforestation,Tube wells,Contour ploughing,Tube wells
MCQ,34,Which river basin project was built to control floods?,Bhakra Nangal,Damodar Valley,Hirakud,Tehri,Damodar Valley
MCQ,35,Which dam displaced the largest number of people?,Tehri,Hirakud,Bhakra Nangal,Sardar Sarovar,Sardar Sarovar
MCQ,36,Which water conservation method stores rainwater?,Canals,Harvesting,Dams,Tubewells,Harvesting
MCQ,37,Water cycle includes evaporation, condensation and,Precipitation,Runoff,Infiltration,Storage,Precipitation
MCQ,38,Which sector demands water for cooling?,Agriculture,Domestic,Industry,Transport,Industry
MCQ,39,Which traditional structure stored drinking water?,Tankas,Canals,Dams,Reservoirs,Tankas
MCQ,40,Which movement supported water conservation?,Narmada Bachao,Chipko,Green Revolution,Both A and B,Both A and B
MCQ,41,Which river project is on river Krishna?,Bhakra,Hirakud,Nagarjuna Sagar,Tehri,Nagarjuna Sagar
MCQ,42,The main cause of water scarcity in cities is,Low rainfall,Overpopulation,Pollution only,Forests,Overpopulation
MCQ,43,Which technique reduces water wastage?,Flood irrigation,Drip irrigation,Canal irrigation,Tank irrigation,Drip irrigation
