Question_Type,Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Answer

MCQ,1,Who became the Chancellor of Germany in 1933?,Hindenburg,Hitler,Goebbels,Stalin,Hitler
MCQ,2,Nazism was associated with which country?,Italy,Germany,Russia,France,Germany
MCQ,3,The Nazi Party was also known as?,DAP,NSDAP,SPD,KPD,NSDAP
MCQ,4,Who was the leader of Nazi Party?,Hitler,Mussolini,Stalin,Lenin,Hitler
MCQ,5,Which treaty humiliated Germany after WWI?,Treaty of Paris,Treaty of Vienna,Treaty of Versailles,Treaty of Rome,Treaty of Versailles
MCQ,6,Which year did World War I end?,1914,1917,1918,1923,1918
MCQ,7,Which government ruled Germany after WWI?,Imperial,Weimar,Monarchy,Military,Weimar
MCQ,8,The Weimar Republic was formed in?,1918,1919,1923,1933,1919
MCQ,9,Who was blamed for Germany’s defeat?,Army,Republicans,Jews,All of these,All of these
MCQ,10,Which crisis weakened German economy?,Agricultural crisis,Great Depression,Oil crisis,None,Great Depression
MCQ,11,Great Depression began in?,1923,1929,1933,1939,1929
MCQ,12,Which class suffered most during depression?,Rich,Middle class,Workers,Nobles,Middle class
MCQ,13,What did Nazis promise?,Peace,Jobs and bread,Freedom,None,Jobs and bread
MCQ,14,Which symbol was used by Nazis?,Red star,Swastika,White flag,Cross,Swastika
MCQ,15,Nazi salute was?,Clapping,Raised arm salute,Handshake,None,Raised arm salute
MCQ,16,Who was President of Germany before Hitler?,Hitler,Hindenburg,Goebbels,None,Hindenburg
MCQ,17,Which law gave Hitler dictatorial powers?,Enabling Act,Weimar Act,Emergency Act,None,Enabling Act
MCQ,18,Enabling Act was passed in?,1930,1932,1933,1935,1933
MCQ,19,Which party opposed Nazis?,NSDAP,SPD,KPD,None,SPD
MCQ,20,Who were Gestapo?,Secret police,Army,Navy,Judges,Secret police
MCQ,21,SS was?,Sports group,Security squad,Student society,None,Security squad
MCQ,22,Who controlled media in Nazi Germany?,Teachers,Judges,Propaganda ministry,None,Propaganda ministry
MCQ,23,Who was propaganda minister?,Himmler,Goebbels,Goering,None,Goebbels
MCQ,24,Which book was written by Hitler?,Mein Kampf,Das Kapital,Social Contract,None,Mein Kampf
MCQ,25,What did Nazi ideology believe?,Equality,Racial purity,Democracy,None,Racial purity
MCQ,26,Which race was considered superior?,Aryan,Jewish,Slavic,None,Aryan
MCQ,27,Which group was persecuted?,Jews,Germans,Nazis,None,Jews
MCQ,28,Anti-Jewish laws were called?,Jim Crow,Nuremberg Laws,Segregation Acts,None,Nuremberg Laws
MCQ,29,Nuremberg Laws were passed in?,1933,1935,1937,1939,1935
MCQ,30,What was Holocaust?,Economic reform,Mass killing of Jews,Political movement,None,Mass killing of Jews
MCQ,31,Concentration camps were used for?,Education,Imprisonment,Reform,None,Imprisonment
MCQ,32,Which camp was most infamous?,Auschwitz,Dachau,Buchenwald,None,Auschwitz
MCQ,33,Who were undesirable in Nazi view?,Disabled,Jews,Homosexuals,All of these,All of these
MCQ,34,What was Hitler Youth?,Military group,Youth organisation,Police force,None,Youth organisation
MCQ,35,Who trained girls?,League of German Girls,Hitler Youth,SS,None,League of German Girls
MCQ,36,What was Nazi education aim?,Critical thinking,Obedience,Equality,None,Obedience
