Question,Answer
The place value of 7 in 7,05,432 is ____,700000
The expanded form of 9,04,508 is ____,900000 + 4000 + 500 + 8
The predecessor of 1,00,000 is ____,99999
The successor of 9,99,999 is ____,1000000
The number of digits in 10,00,000 is ____,7
The place value of 5 in 2,35,418 is ____,5000
The expanded form of 4,00,609 is ____,400000 + 600 + 9
The number just before 5,00,000 is ____,499999
The number just after 9,99,999 is ____,1000000
The number formed by 3 lakh, 4 thousand, 5 hundred and 6 is ____,304506
The place value of 6 in 6,08,094 is ____,600000
The face value of 0 in 2,03,040 is ____,0
The expanded form of 7,20,305 is ____,700000 + 20000 + 300 + 5
The successor of 4,99,999 is ____,500000
The predecessor of 10,00,000 is ____,999999
The number of digits in 9,87,654 is ____,6
The place value of 2 in 1,23,456 is ____,20000
The expanded form of 5,06,070 is ____,500000 + 6000 + 70
The number 8,00,000 + 9,000 + 40 + 3 in standard form is ____,809043
The place value of 4 in 4,58,219 is ____,400000
The number just before 1,00,001 is ____,100000
The successor of 2,99,999 is ____,300000
The expanded form of 6,00,008 is ____,600000 + 8
The number formed by 9 lakh, 2 thousand, 3 tens and 5 ones is ____,902035
The place value of 3 in 3,45,601 is ____,300000
The face value of 8 in 8,00,080 is ____,8
The expanded form of 1,20,045 is ____,100000 + 20000 + 40 + 5
The number 4,00,000 + 50 + 6 in standard form is ____,400056
The predecessor of 2,00,000 is ____,199999
The successor of 7,99,999 is ____,800000
The number of digits in 1,00,00,000 is ____,8
The place value of 9 in 9,08,761 is ____,900000
The expanded form of 3,05,090 is ____,300000 + 5000 + 90
The number formed by 6 lakh, 0 ten-thousands, 4 thousands, 2 hundreds and 9 ones is ____,604209
The place value of 1 in 1,01,010 is ____,100000
The face value of 5 in 50,005 is ____,5
The expanded form of 8,40,600 is ____,800000 + 40000 + 600
The number just after 9,99,998 is ____,999999
The predecessor of 3,00,001 is ____,300000
The place value of 2 in 2,00,200 is ____,200000
The expanded form of 9,09,009 is ____,900000 + 9000 + 9
The number 1,00,000 + 9,000 + 80 in standard form is ____,109080
The successor of 99,99,999 is ____,10000000
The number of digits in 10,00,00,000 is ____,9
The place value of 6 in 6,60,006 is ____,600000
The expanded form of 2,00,002 is ____,200000 + 2
The number formed by 1 crore, 2 thousand and 5 is ____,1002005
The predecessor of 1,00,00,000 is ____,9999999
