Question,Answer
Government is a system to make and enforce __________,laws
The main function of government is to maintain __________,order
Governments provide __________ for citizens,services
Government protects citizens' __________,rights
Elections are held to select __________,leaders
Democracy means rule by the __________,people
A government is formed by the __________ branch,legislative
The __________ branch implements laws,executive
The __________ branch interprets laws,judiciary
Local government works at the __________ level,community
State government works at the __________ level,state
Central government works at the __________ level,national
The Constitution defines powers and __________ of government,responsibilities
Citizens can participate in government through __________,voting
Government collects __________ to provide public services,taxes
Public services include education, health, and __________,transport
Rule of law ensures everyone is __________,equal
Separation of powers prevents __________,misuse of authority
Laws protect citizens from __________,harm
Government ensures __________,security
Democracy allows citizens to express their __________,opinions
Elected representatives make decisions on __________,behalf of people
Judges uphold __________,justice
Governments can be __________ or elected,appointed
Local governments include municipal corporations and __________,panchayats
Governments prepare __________ for public welfare,budgets
Public policies address social and __________ issues,economic
Governments maintain __________ and defense,law and order
Citizens have the duty to obey __________,laws
Government helps in resolving __________ disputes,social
Government ensures equality before __________,law
Transparency in government promotes __________,trust
Government can be at the __________,federal or unitary level,national
Democracy relies on citizen __________,participation
Governments provide infrastructure like roads, bridges, and __________,schools
Judiciary protects __________ rights,citizens
Government decisions affect daily __________,life
Civil servants work under the __________ branch,executive
Governments organize public __________,services
Elections are conducted by the __________,Election Commission
Government policies should promote __________,welfare
Citizens can approach government to seek __________,grievances
Checks and balances prevent __________,abuse of power
Constitution guarantees fundamental __________,rights
Government works to maintain __________,peace
Governments create __________ to regulate society,policies
Local government collects __________ like property tax,taxes
Governments maintain __________ like hospitals and schools,facilities
Democracy encourages __________ dialogue,public
