Type,Column A,Column B / Correct Match
Question,Reason aunt gave property,Expected care
Question,Jumman’s fault,Neglect of aunt
Question,Aunt’s action,Sought justice
Question,Why Algu judged fairly,Conscience
Question,Effect on friendship,Broke temporarily
Question,Samjhu Sahu,Buyer of bullock
Question,Algu’s loss,Payment not received
Question,Why Jumman judged fairly,Voice of conscience
Question,Justice meaning,Truth and fairness
Question,Panch’s duty,Impartial decision
Question,Change in Jumman,Realized mistake
Question,Restoration of friendship,Fair judgment
Question,Theme of story,Justice vs friendship
Question,Value highlighted,Honesty
Question,Moral message,Justice should be unbiased
