Column A,Column B,Answer
Ruler,Used to draw straight lines,Matching
Compass,Used to draw circles and arcs,Matching
Protractor,Used to measure angles,Matching
Set square,Used to draw perpendicular lines,Matching
Line segment,Part of a line with two endpoints,Matching
Ray,Part of a line with one endpoint,Matching
Point,Shows position only,Matching
Circle,Set of points equidistant from centre,Matching
Radius,Distance from centre to circle,Matching
Diameter,Twice the radius,Matching
Angle,Formed by two rays,Matching
Right angle,90 degrees,Matching
Perpendicular lines,Lines meeting at 90 degrees,Matching
Parallel lines,Lines that never meet,Matching
Construction,Drawing figures using instruments,Matching
