Question,Answer
"Who is the poet of this poem?","Peter Dixon"
"What time does school usually end for the child?","Four o'clock"
"What is the first thing the child wonders about teachers?","Where they go at 4 o'clock"
"Do the children wonder if teachers live in houses?","Yes"
"What clothing item does the child wonder if teachers wash?","Their socks"
"What kind of clothes does the child wonder if teachers wear at home?","Pajamas"
"What activity does the child wonder if teachers do in front of the TV?","Watch it"
"What habit does the child wonder if teachers have regarding their noses?","Picking their noses"
"Does the child wonder if teachers live with their parents?","Yes ('mums and dads')"
"Were teachers ever children themselves, according to the boy?","He wonders if they were"
"Were they ever 'bad' in school?","He wonders if they were"
"What did they supposedly do to their hymn books?","Lost them"
"Where did they supposedly scribble?","On the desk tops"
"What kind of pants does the child wonder if they wore?","Old dirty jeans"
"What food item did they supposedly 'pinch'?","Chocolate flakes"
"What did they supposedly leave on their plates?","Their greens (vegetables)"
"What is the child planning to do to find the truth?","Follow a teacher home"
"What will the child do once he finds out the truth?","Put it in a poem"
"Who does the child want to read his poem?","The teachers"
"Does the child think teachers stay in school all night?","He wonders if they do"
"What does 'pinch' mean in the poem?","To steal or take secretly"
"What color were the jeans mentioned?","Dirty/Blue (text says 'old dirty jeans')"
"What are 'greens'?","Vegetables"
"Is the child's tone serious or curious?","Curious and playful"
"Do teachers live with 'other people' according to the child's questions?","He wonders if they do"
"Does the child think teachers are perfect?","No, he wonders if they ever made mistakes"
"What is a 'hymn book'?","A book of religious songs used in school"
"Did they ever spell a word wrong?","The child wonders if they did"
"What does 'scribble' mean?","To write or draw carelessly"
"How does the child plan to 'spy' on the teacher?","By following them home"
"What is the main theme of the poem?","The mystery of a teacher's private life"
"Where does the child think the teacher might disappear to?","He doesn't know, that's why he asks"
"Do teachers have 'mums and dads' in the child's mind?","He wonders if they ever did"
"What is 'four o'clock'?","The end of the school day"
"Is the narrator of the poem an adult?","No, it is a child"
"What is the 'secret' the child wants to find?","What teachers do at home"
"Does the child think teachers are like 'aliens'?","He treats them as if they are a different species"
"What does 'watch TV' imply?","A normal, lazy human activity"
"Why does the child mention 'pajamas'?","Because it's the opposite of a formal teacher's look"
"What does 'pick their noses' represent?","Gross or common human habits"
"Did they ever 'lose' things?","Yes, like hymn books"
"Were they ever 'punished'?","He wonders if they were bad"
"Does the child want to be a teacher?","The poem doesn't say"
"How many stanzas are in the poem?","Six"
"Is the poem funny?","Yes"
"What are 'desk tops'?","The surface of the school desks"
"What does the child want the teacher to 'read'?","The poem he writes"
"Does the child think teachers are always right?","He wonders if they ever spelt things wrong"
"What is the 'goal' of the narrator?","To humanize the teacher"
"Is Peter Dixon an Indian poet?","No, he is a British poet"
