Question_Type,Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Answer
MCQ,1,Who is the poet of Fire and Ice?,Robert Frost,William Wordsworth,John Keats,Walt Whitman,Robert Frost
MCQ,2,Fire and Ice is a,Story,Poem,Play,Essay,Poem
MCQ,3,What does fire symbolize in the poem?,Love,Desire,Hatred,Cold,Desire
MCQ,4,What does ice symbolize in the poem?,Anger,Desire,Hatred,Love,Hatred
MCQ,5,The poem Fire and Ice is about,Seasons,End of the world,Nature,War,End of the world
MCQ,6,According to the poet, some people believe the world will end in,Ice,Fire,Water,Air,Fire
MCQ,7,Others believe the world will end in,Ice,Fire,Storm,Earthquake,Ice
MCQ,8,Fire is compared with which human emotion?,Love,Desire,Hatred,Peace,Desire
MCQ,9,Ice is compared with which human emotion?,Love,Jealousy,Hatred,Joy,Hatred
MCQ,10,The poem is an example of,Optimism,Pessimism,Symbolism,Romanticism,Symbolism
MCQ,11,How many lines are there in the poem?,6,8,9,10,9
MCQ,12,Fire and Ice follows which rhyme scheme?,AABB,ABAABCBCB,ABAB,AAAA,ABAABCBCB
MCQ,13,The poet agrees more with the idea of the world ending by,Ice,Fire,Both,None,Both
MCQ,14,The poem highlights dangers of,Love and peace,Desire and hatred,War and peace,Nature and man,Desire and hatred
MCQ,15,Which word shows strong desire?,Ice,Fire,Favor,Hate,Fire
MCQ,16,Which word shows cold emotions?,Fire,Love,Ice,Joy,Ice
MCQ,17,The tone of the poem is,Humorous,Serious,Playful,Sad,Serious
MCQ,18,The poem Fire and Ice is a,Sonnet,Lyric,Ballad,Elegy,Lyric
MCQ,19,The poet uses fire and ice as,Real elements,Symbols,Metaphors for seasons,Objects,Symbols
MCQ,20,The poem warns against,Greed,Anger,Extreme emotions,Nature,Extreme emotions
MCQ,21,Which human weakness is more destructive according to poet?,Love,Desire,Hatred,Kindness,Hatred
MCQ,22,Fire represents excessive,Cold,Greed,Desire,Hatred,Desire
MCQ,23,Ice represents lack of,Hatred,Emotion,Desire,Love,Emotion
MCQ,24,The poem suggests that hatred is,Less dangerous,More dangerous,Harmless,Temporary,More dangerous
MCQ,25,What will destroy the world according to poet?,Nature,Emotions,Fire only,Ice only,Emotions
MCQ,26,The poet has experienced,Fire,Ice,Both fire and ice,None,Both fire and ice
MCQ,27,The poem is short but,Complex,Simple,Confusing,Incomplete,Complex
MCQ,28,Fire and Ice deals with,Human psychology,History,Geography,Science,Human psychology
MCQ,29,The poem conveys a,Scientific fact,Moral lesson,Story,Nature scene,Moral lesson
MCQ,30,The poem’s message is,Neutral emotions are safe,Extreme emotions destroy life,Love saves world,Hatred wins,Extreme emotions destroy life
MCQ,31,The poet believes hatred can be equally,Powerful,Harmless,Destructive,Pleasant,Destructive
MCQ,32,Which emotion cools relationships?,Love,Hatred,Joy,Desire,Hatred
MCQ,33,Which emotion burns relationships?,Hatred,Desire,Peace,Calmness,Desire
MCQ,34,The poem has a philosophical theme related to,Life and death,War,Seasons,Nature,Life and death
MCQ,35,The ending of the poem is,Optimistic,Pessimistic,Neutral,Confusing,Serious
