Question_Type,Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Answer

MCQ,1,Tissue is a group of?,Cells,Organs,Systems,Organelles,Cells
MCQ,2,Study of tissues is called?,Histology,Morphology,Anatomy,Physiology,Histology
MCQ,3,Which tissue is responsible for growth in plants?,Permanent tissue,Meristematic tissue,Ground tissue,Vascular tissue,Meristematic tissue
MCQ,4,Meristematic tissues are found at?,Root tip,Stem tip,Both,None,Both
MCQ,5,Which tissue has actively dividing cells?,Permanent,Meristematic,Epithelial,Connective,Meristematic
MCQ,6,Which plant tissue provides support?,Parenchyma,Collenchyma,Sclerenchyma,None,Sclerenchyma
MCQ,7,Which tissue stores food?,Parenchyma,Collenchyma,Sclerenchyma,None,Parenchyma
MCQ,8,Which tissue has thickened corners?,Parenchyma,Collenchyma,Sclerenchyma,None,Collenchyma
MCQ,9,Dead cells are found in?,Parenchyma,Collenchyma,Sclerenchyma,None,Sclerenchyma
MCQ,10,Which tissue transports water in plants?,Phloem,Xylem,Parenchyma,None,Xylem
MCQ,11,Which tissue transports food in plants?,Xylem,Phloem,Collenchyma,None,Phloem
MCQ,12,Xylem is made of?,Tracheids,Vessels,Fibres,All of these,All of these
MCQ,13,Phloem transports?,Water,Food,Minerals,None,Food
MCQ,14,Which is a simple tissue?,Xylem,Phloem,Parenchyma,None,Parenchyma
MCQ,15,Which is a complex tissue?,Parenchyma,Collenchyma,Xylem,None,Xylem
MCQ,16,Epithelial tissue covers?,Body surface,Organs,Both,None,Both
MCQ,17,Which epithelial tissue is flat?,Cuboidal,Columnar,Squamous,None,Squamous
MCQ,18,Which tissue lines blood vessels?,Cuboidal,Squamous,Columnar,None,Squamous
MCQ,19,Which epithelial tissue has cilia?,Cuboidal,Ciliated,Columnar,None,Ciliated
MCQ,20,Which tissue provides protection?,Epithelial,Muscular,Nervous,None,Epithelial
MCQ,21,Which tissue connects bones?,Muscle,Nerve,Ligament,None,Ligament
MCQ,22,Which tissue connects muscle to bone?,Ligament,Tendon,Cartilage,None,Tendon
MCQ,23,Which connective tissue stores fat?,Blood,Cartilage,Adipose,None,Adipose
MCQ,24,Which tissue transports oxygen?,Blood,Lymph,Nerve,None,Blood
