Question,Answer
Mixtures can be separated into their components.,True
Filtration is used to separate solid from liquid.,True
Sieving is used to separate coarse particles from fine particles.,True
Evaporation is used to obtain dissolved solids from liquids.,True
Decantation is used to separate liquid from sediment.,True
Magnet can be used to separate magnetic materials.,True
Handpicking can separate large visible items.,True
Mixtures cannot be separated.,False
Water can be purified by filtration.,True
Salt can be obtained from seawater by evaporation.,True
Oil can be separated from water by decantation.,True
Sand and sugar can be separated by handpicking.,False
Iron filings can be removed from sand using a magnet.,True
Filtration cannot separate sugar from water.,True
Evaporation leaves solid behind.,True
Sieving cannot separate salt from water.,True
Decantation is used when sediment settles at bottom.,True
Handpicking is used for large materials like stones.,True
Mixtures can be homogeneous or heterogeneous.,True
Saltwater is a homogeneous mixture.,True
Sand and water mixture is heterogeneous.,True
Magnetism works only on iron.,False
Evaporation requires heat.,True
Filtration uses filter paper.,True
Decantation does not need a filter.,True
Sieving uses a sieve.,True
Filtration separates insoluble solids.,True
Evaporation separates soluble solids.,True
Salt can be recovered from water.,True
Oil floats on water.,True
Water can be separated from sugar solution by evaporation.,True
Magnet cannot attract non-metals.,True
Handpicking is a manual method.,True
Mixtures can be natural or artificial.,True
Filtration cannot separate sugar solution.,True
Evaporation is used in salt manufacturing.,True
Sedimentation is settling of particles in liquid.,True
Centrifugation separates substances using spinning.,True
Decantation cannot remove all liquid.,True
Sieving separates particles based on size.,True
Filtration is faster than evaporation.,True
Evaporation converts liquid into vapour.,True
Salt solution cannot be separated by handpicking.,True
Iron filings mixed with sand can be separated by magnet.,True
Water and sand mixture can be separated by decantation.,False
Mixtures can be separated by physical methods.,True
Filtration does not remove dissolved substances.,True
Evaporation requires time and heat.,True
Centrifuge is a modern separation method.,True
Handpicking cannot separate fine powders.,True
