Question,Answer
0 is a prime number.,False
1 is neither prime nor composite.,True
2 is the smallest prime number.,True
4 is the smallest composite number.,True
All even numbers greater than 2 are composite.,True
Prime numbers have exactly 2 factors.,True
Composite numbers have more than 2 factors.,True
1 has exactly one factor.,True
The HCF of two co-prime numbers is 1.,True
The LCM of two co-prime numbers is their product.,True
The product of HCF and LCM of two numbers equals the product of the numbers.,True
All multiples of a number are greater than the number.,False
The sum of two prime numbers is always prime.,False
The difference of two prime numbers is always prime.,False
2 × (3+5)=2×3+2×5 shows distributive property.,True
3 + 5 = 5 + 3 shows commutative property.,True
(2 + 3) + 4 = 2 + (3 + 4) shows associative property.,True
1 is a unit number.,True
All odd numbers are prime.,False
The number 21 is composite.,True
The number 29 is prime.,True
Every prime number is odd.,False
The number 100 is divisible by 2,5 and 10.,True
If a number ends with 0, it is divisible by 10.,True
If a number ends with 5, it is divisible by 5.,True
If the sum of digits of a number is divisible by 3, the number is divisible by 3.,True
If the sum of digits of a number is divisible by 9, the number is divisible by 9.,True
The HCF of 8 and 12 is 4.,True
The LCM of 8 and 12 is 20.,False
The HCF of 15 and 25 is 5.,True
The LCM of 15 and 25 is 75.,True
Factors of 36 include 1,2,3,4,6,9,12,18,36.,True
Factors of 30 include 1,2,3,5,6,10,15,30.,True
Multiples of 6 include 6,12,18,24,30.,True
Multiples of 9 include 9,18,27,36,45.,True
The HCF of 32,48,64 is 16.,True
The LCM of 6,8,12 is 24.,True
The number 91 is prime.,False
The number 97 is prime.,True
The smallest odd prime number is 3.,True
The product of two co-prime numbers is equal to their LCM.,False
The number 1 is divisible by every number.,False
Every number is divisible by 1.,True
2 is divisible by 2.,True
5 is divisible by 5.,True
6 is divisible by 3 and 2.,True
The sum of factors of 1 is 1.,True
Every composite number is even.,False
A prime number can be even or odd.,True
