Chapter,Question,Answer
Decimals,Add 12.45 and 7.56,12.45 + 7.56 = 20.01
Decimals,Subtract 15.75 from 28.4,28.4 - 15.75 = 12.65
Decimals,Multiply 3.6 by 4.2,3.6 × 4.2 = 15.12
Decimals,Divide 18.9 by 3,18.9 ÷ 3 = 6.3
Decimals,Add 5.75, 6.2, and 3.05,5.75 + 6.2 + 3.05 = 14.99
Decimals,Subtract 2.45 from 7.8,7.8 - 2.45 = 5.35
Decimals,Multiply 0.6 by 0.4,0.6 × 0.4 = 0.24
Decimals,Divide 7.2 by 0.6,7.2 ÷ 0.6 = 12
Decimals,Add 0.75, 1.25, and 3.5,0.75 + 1.25 + 3.5 = 5.5
Decimals,Subtract 4.8 from 10.2,10.2 - 4.8 = 5.4
Decimals,Multiply 12.5 by 2.4,12.5 × 2.4 = 30
Decimals,Divide 15.6 by 0.3,15.6 ÷ 0.3 = 52
Decimals,Add 2.3, 4.7, and 5.0,2.3 + 4.7 + 5.0 = 12
Decimals,Subtract 9.75 from 15.5,15.5 - 9.75 = 5.75
Decimals,Multiply 0.25 by 0.8,0.25 × 0.8 = 0.2
Decimals,Divide 5.4 by 0.9,5.4 ÷ 0.9 = 6
Decimals,Add 1.2, 2.3, and 3.4,1.2 + 2.3 + 3.4 = 6.9
Decimals,Subtract 3.2 from 8.5,8.5 - 3.2 = 5.3
Decimals,Multiply 4.5 by 0.6,4.5 × 0.6 = 2.7
Decimals,Divide 9.6 by 1.2,9.6 ÷ 1.2 = 8
Decimals,Add 0.45, 0.55, and 1.0,0.45 + 0.55 + 1.0 = 2.0
Decimals,Subtract 2.6 from 6.4,6.4 - 2.6 = 3.8
Decimals,Multiply 1.2 by 3.5,1.2 × 3.5 = 4.2
Decimals,Divide 7.5 by 2.5,7.5 ÷ 2.5 = 3
Decimals,Add 3.25, 1.75, and 2.0,3.25 + 1.75 + 2.0 = 7
Decimals,Subtract 5.4 from 10.0,10.0 - 5.4 = 4.6
Decimals,Multiply 2.4 by 0.5,2.4 × 0.5 = 1.2
Decimals,Divide 12.6 by 3.5,12.6 ÷ 3.5 ≈ 3.6
Decimals,Add 1.5, 2.5, and 3.5,1.5 + 2.5 + 3.5 = 7.5
Decimals,Subtract 7.2 from 14.5,14.5 - 7.2 = 7.3
Decimals,Multiply 0.9 by 0.8,0.9 × 0.8 = 0.72
Decimals,Divide 8.4 by 0.7,8.4 ÷ 0.7 = 12
Decimals,Add 0.33, 0.67, and 1.0,0.33 + 0.67 + 1.0 = 2
Decimals,Subtract 4.5 from 9.3,9.3 - 4.5 = 4.8
Decimals,Multiply 1.5 by 1.2,1.5 × 1.2 = 1.8
Decimals,Divide 6.6 by 1.1,6.6 ÷ 1.1 = 6
Decimals,Add 2.5, 3.5, and 4.5,2.5 + 3.5 + 4.5 = 10.5
Decimals,Subtract 3.3 from 7.7,7.7 - 3.3 = 4.4
Decimals,Multiply 2.2 by 3.5,2.2 × 3.5 = 7.7
Decimals,Divide 15.4 by 2.2,15.4 ÷ 2.2 = 7
Decimals,Add 0.75, 1.25, and 2.5,0.75 + 1.25 + 2.5 = 4.5
Decimals,Subtract 6.6 from 10.1,10.1 - 6.6 = 3.5
Decimals,Multiply 1.1 by 4.5,1.1 × 4.5 = 4.95
Decimals,Divide 9.9 by 1.1,9.9 ÷ 1.1 = 9
Decimals,Add 1.05, 2.15, and 3.25,1.05 + 2.15 + 3.25 = 6.45
Decimals,Subtract 2.2 from 5.5,5.5 - 2.2 = 3.3
Decimals,Multiply 0.6 by 2.5,0.6 × 2.5 = 1.5
Decimals,Divide 7.2 by 0.8,7.2 ÷ 0.8 = 9
Decimals,Add 3.5, 2.25, and 1.25,3.5 + 2.25 + 1.25 = 7
Decimals,Subtract 4.75 from 9.25,9.25 - 4.75 = 4.5
Decimals,Multiply 2.5 by 3.6,2.5 × 3.6 = 9
Decimals,Divide 12.6 by 1.8,12.6 ÷ 1.8 = 7
Decimals,Add 0.9, 1.6, and 2.5,0.9 + 1.6 + 2.5 = 5
