Question,Answer
Define a fraction.,A fraction represents a part of a whole.
Name the numerator and denominator of 3/4.,Numerator: 3, Denominator: 4
What is a proper fraction?,A fraction where numerator < denominator.
What is an improper fraction?,A fraction where numerator > denominator.
What is a mixed fraction?,A whole number and a proper fraction combined.
Simplify 6/8.,3/4
Add 1/4 + 2/4.,3/4
Add 2/3 + 1/3.,1
Add 1/2 + 1/3.,5/6
Subtract 3/4 - 1/4.,1/2
Subtract 5/6 - 1/2.,1/3
Subtract 2/3 - 1/6.,1/2
Multiply 2/3 × 3/4.,1/2
Multiply 5/6 × 2/3.,5/9
Divide 3/4 ÷ 2/3.,9/8
Divide 5/6 ÷ 1/2.,5/3
Convert mixed fraction 2 1/3 to improper fraction.,7/3
Convert improper fraction 9/4 to mixed fraction.,2 1/4
Equivalent fraction of 2/3?,4/6
Equivalent fraction of 5/8?,10/16
Compare 3/4 and 2/3.,3/4 > 2/3
Compare 5/6 and 4/5.,5/6 > 4/5
Simplify 12/16.,3/4
Simplify 15/25.,3/5
Add 3/10 + 4/10.,7/10
Subtract 7/8 - 3/8.,4/8 or 1/2
Multiply 1/2 × 3/5.,3/10
Divide 4/5 ÷ 2/3.,6/5
Reciprocal of 2/3?,3/2
Reciprocal of 5/4?,4/5
Reciprocal of 1?,1
Convert 7/4 to decimal.,1.75
Convert 3/5 to decimal.,0.6
Add 1/2 + 1/5.,7/10
Subtract 5/6 - 1/3.,1/2
Multiply 7/8 × 2/3.,7/12
Divide 9/10 ÷ 3/5.,3/2
Fraction between 1/2 and 2/3?,5/8
Simplify 8/12.,2/3
Compare 2/5 and 3/7.,2/5 > 3/7
Mixed fraction 3 2/5 as improper fraction?,17/5
Improper fraction 11/4 as mixed fraction?,2 3/4
What is a like fraction?,Fractions with same denominator.
What is an unlike fraction?,Fractions with different denominators.
Add 1/3 + 1/6.,1/2
Subtract 3/5 - 1/5.,2/5
Multiply 2/7 × 3/5.,6/35
Divide 4/9 ÷ 2/3.,2/3
Equivalent fractions of 1/2?,2/4, 3/6, 4/8
Compare 5/8 and 7/12.,5/8 > 7/12
Simplify 18/24.,3/4
