Question_Type,Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Answer

MCQ,1,Work is said to be done when?,Force is applied,Object moves,Force causes displacement,Both force and displacement,Both force and displacement
MCQ,2,SI unit of work is?,Watt,Joule,Newton,Pascal,Joule
MCQ,3,Work done by a force is zero when?,Displacement is zero,Force is zero,Displacement perpendicular to force,All of these,All of these
MCQ,4,Work done is maximum when angle between force and displacement is?,0°,45°,90°,180°,0°
MCQ,5,Work done is zero when angle between force and displacement is?,0°,45°,90°,180°,90°
MCQ,6,Which is a scalar quantity?,Force,Velocity,Work,Acceleration,Work
MCQ,7,SI unit of energy is?,Joule,Watt,Newton,Pascal,Joule
MCQ,8,Energy is defined as?,Force applied,Ability to do work,Power used,None,Ability to do work
MCQ,9,Kinetic energy depends on?,Mass only,Velocity only,Both mass and velocity,None,Both mass and velocity
MCQ,10,Formula of kinetic energy is?,mv²,½mv²,mv,½m²v,½mv²
MCQ,11,Which energy is due to motion?,Potential energy,Kinetic energy,Mechanical energy,None,Kinetic energy
MCQ,12,Potential energy depends on?,Mass and height,Velocity and mass,Speed only,None,Mass and height
MCQ,13,Formula of potential energy is?,mgh,½mv²,mg/m,hg,mgh
MCQ,14,Which energy is due to position?,Kinetic energy,Potential energy,Mechanical energy,None,Potential energy
MCQ,15,SI unit of power is?,Joule,Newton,Watt,Pascal,Watt
MCQ,16,Power is defined as?,Work/time,Energy/time,Both A and B,None,Both A and B
MCQ,17,1 watt equals?,1 J/s,1 N/s,1 J,1 N,1 J/s
MCQ,18,Commercial unit of energy is?,Joule,Watt,kWh,Newton,kWh
MCQ,19,1 kWh equals?,3.6×10⁵ J,3.6×10⁶ J,3.6×10⁷ J,360 J,3.6×10⁶ J
MCQ,20,Which energy conversion occurs in electric bulb?,Electrical to light,Electrical to heat,Both A and B,None,Both A and B
MCQ,21,Law of conservation of energy states?,Energy is destroyed,Energy is created,Energy is conserved,None,Energy is conserved
MCQ,22,Total energy of isolated system is?,Constant,Increasing,Decreasing,None,Constant
MCQ,23,Which energy is possessed by stretched spring?,Kinetic,Potential,Mechanical,None,Potential
MCQ,24,When velocity doubles, kinetic energy becomes?,Double,Triple,Four times,Half,Four times
MCQ,25,Work done by gravity on falling object is?,Positive,Negative,Zero,None,Positive
MCQ,26,Work done against gravity is?,Positive,Negative,Zero,None,Negative
MCQ,27,Which has maximum kinetic energy?,Resting body,Slow body,Fast body,None,Fast body
MCQ,28,Power depends on?,Work,Time,Both,None,Both
MCQ,29,If power is high, work is done?,Slowly,Quickly,Not done,None,Quickly
MCQ,30,Which is unit of power?,Joule,Watt,Newton,Pascal,Watt
MCQ,31,Mechanical energy is sum of?,KE and PE,KE only,PE only,None,KE and PE
MCQ,32,Potential energy of body at ground level?,Maximum,Minimum,Zero,None,Zero
MCQ,33,Work done by friction is?,Positive,Negative,Zero,None,Negative
MCQ,34,Energy of moving air is?,Solar energy,Kinetic energy,Potential energy,None,Kinetic energy
MCQ,35,Which energy is stored in food?,Electrical,Chemical,Kinetic,None,Chemical
MCQ,36,Which device converts mechanical to electrical energy?,Motor,Generator,Battery,None,Generator
MCQ,37,Which device converts electrical to mechanical energy?,Generator,Motor,Cell,None,Motor
MCQ,38,Power of a machine is?,Energy,time,Work/time,None,Work/time
MCQ,39,SI unit of potential energy?,Joule,Newton,Watt,Pascal,Joule
MCQ,40,Which energy is renewable?,Coal,Petroleum,Wind,None,Wind
MCQ,41,If no displacement, work done?,Maximum,Minimum,Zero,None,Zero
MCQ,42,Work done by centripetal force?,Positive,Negative,Zero,None,Zero
MCQ,43,Energy possessed by flowing water?,Potential,Kinetic,Mechanical,None,Kinetic
MCQ,44,Which quantity is conserved?,Force,Energy,Power,Velocity,Energy
MCQ,45,Energy unit of household electricity bill?,Joule,kWh,Watt,Newton,kWh
MCQ,46,When object is lifted, which energy increases?,KE,PE,Both,None,PE
MCQ,47,Work done formula?,F+d,F×d,F/d,d/F,F×d
MCQ,48,Which energy depends on height?,Kinetic,Potential,Mechanical,None,Potential
MCQ,49,Energy transformation in hydroelectric plant?,Electrical to mechanical,Mechanical to electrical,Heat to electrical,None,Mechanical to electrical
MCQ,50,Energy can be?,Created,Destroyed,Converted,Both A and B,Converted

Integer,1,SI unit of work?,Joule,,,,
Integer,2,SI unit of energy?,Joule,,,,
Integer,3,SI unit of power?,Watt,,,,
