Chapter,Question,Answer
Understanding Elementary Shapes,Define a polygon.,A closed figure with straight sides
Understanding Elementary Shapes,Define a triangle.,A polygon with three sides
Understanding Elementary Shapes,Define a quadrilateral.,A polygon with four sides
Understanding Elementary Shapes,Define a regular polygon.,A polygon with all sides and angles equal
Understanding Elementary Shapes,What is a square?,A quadrilateral with all sides equal and all angles 90°
Understanding Elementary Shapes,What is a rectangle?,A quadrilateral with opposite sides equal and all angles 90°
Understanding Elementary Shapes,Define a parallelogram.,A quadrilateral with opposite sides parallel and equal
Understanding Elementary Shapes,Define a rhombus.,A quadrilateral with all sides equal and opposite angles equal
Understanding Elementary Shapes,Define a trapezium.,A quadrilateral with one pair of parallel sides
Understanding Elementary Shapes,Define a kite.,A quadrilateral with two pairs of adjacent equal sides
Understanding Elementary Shapes,Define sides of a polygon.,The straight lines forming a polygon
Understanding Elementary Shapes,Define vertices of a polygon.,The points where sides of a polygon meet
Understanding Elementary Shapes,Define angles of a polygon.,The angles formed at the vertices of a polygon
Understanding Elementary Shapes,How many sides has a pentagon?,5
Understanding Elementary Shapes,How many sides has a hexagon?,6
Understanding Elementary Shapes,How many sides has a heptagon?,7
Understanding Elementary Shapes,How many sides has an octagon?,8
Understanding Elementary Shapes,How many sides has a nonagon?,9
Understanding Elementary Shapes,How many sides has a decagon?,10
Understanding Elementary Shapes,What is a convex polygon?,A polygon with all interior angles less than 180°
Understanding Elementary Shapes,What is a concave polygon?,A polygon with at least one interior angle greater than 180°
Understanding Elementary Shapes,Define diagonal of a polygon.,A line joining two non-adjacent vertices
Understanding Elementary Shapes,How many diagonals does a triangle have?,0
Understanding Elementary Shapes,How many diagonals does a quadrilateral have?,2
Understanding Elementary Shapes,How many diagonals does a pentagon have?,5
Understanding Elementary Shapes,How many diagonals does a hexagon have?,9
Understanding Elementary Shapes,Define a circle.,A closed curve where all points are equidistant from the center
Understanding Elementary Shapes,Define radius of a circle.,A line from the center to any point on the circle
Understanding Elementary Shapes,Define diameter of a circle.,A line passing through the center with endpoints on the circle
Understanding Elementary Shapes,Define chord of a circle.,A line joining any two points on the circle
Understanding Elementary Shapes,Define circumference.,The distance around a circle
Understanding Elementary Shapes,Define sector of a circle.,A region bounded by two radii and an arc
Understanding Elementary Shapes,Define segment of a circle.,A region bounded by a chord and its corresponding arc
Understanding Elementary Shapes,Define tangent of a circle.,A line that touches the circle at exactly one point
Understanding Elementary Shapes,Define secant of a circle.,A line that intersects a circle at two points
Understanding Elementary Shapes,Define central angle.,An angle whose vertex is at the center of the circle
Understanding Elementary Shapes,Define interior angle.,An angle formed inside a polygon at a vertex
Understanding Elementary Shapes,Define exterior angle.,An angle formed outside a polygon at a vertex
Understanding Elementary Shapes,Sum of interior angles of a triangle?,180°
Understanding Elementary Shapes,Sum of interior angles of a quadrilateral?,360°
Understanding Elementary Shapes,Sum of interior angles of a pentagon?,540°
Understanding Elementary Shapes,Sum of interior angles of a hexagon?,720°
Understanding Elementary Shapes,Sum of exterior angles of any polygon?,360°
Understanding Elementary Shapes,What is the sum of angles in a heptagon?,900°
Understanding Elementary Shapes,What is the sum of angles in an octagon?,1080°
Understanding Elementary Shapes,What is the sum of angles in a nonagon?,1260°
Understanding Elementary Shapes,What is the sum of angles in a decagon?,1440°
Understanding Elementary Shapes,What is a regular hexagon?,A hexagon with all sides and angles equal
Understanding Elementary Shapes,What is a regular pentagon?,A pentagon with all sides and angles equal
Understanding Elementary Shapes,Define concave polygon.,A polygon with at least one interior angle greater than 180°
Understanding Elementary Shapes,Define convex polygon.,A polygon with all interior angles less than 180°
