Question,Answer
Government is a system that runs the ________.,country
The government makes ________ for people.,laws
The government provides ________ like schools and hospitals.,services
Government ensures ________ and security.,law and order
People follow rules made by the ________.,government
The head of the government is called the ________.,leader
Government collects ________ to provide services.,taxes
Local government works in ________ areas.,villages
State government works in the ________.,state
Central government works in the ________.,country
Democracy is a system where people choose their ________.,representatives
Elections are held to select ________.,leaders
Government has the power to make ________.,decisions
Government takes care of public ________.,welfare
The Constitution guides the working of the ________.,government
Government ensures ________ for all citizens.,justice
Police help the government maintain ________.,law and order
Government runs ________ for public safety.,programs
Government provides ________ for emergencies.,services
Parliament is part of the ________ government.,central
State legislature is part of the ________ government.,state
Local bodies include ________ and municipalities.,panchayats
Government works to reduce ________ in society.,inequality
Government makes rules to protect ________.,environment
Government collects ________ to maintain roads.,taxes
Courts are part of the ________ system.,judicial
Government can punish people who break ________.,laws
Government can provide ________ like electricity.,utilities
Government plans for the ________ of citizens.,development
Governments are formed by ________.,elected representatives
Governments take care of public ________.,health
Government ensures ________ of children.,education
Government protects citizens from ________.,harm
Government works to improve ________.,infrastructure
Government decisions affect ________ life.,daily
Government has three branches: legislative, executive, and ________.,judiciary
Local government works under ________ of the state.,guidelines
Government is responsible for ________ security.,national
Government can build ________ and hospitals.,schools
Government can create ________ for farmers.,schemes
Government ensures ________ for all groups.,rights
Government passes ________ to solve problems.,policies
Citizens elect representatives to the ________.,legislature
Government works to maintain ________ in society.,peace
Government regulates ________ like transport.,services
Government can provide ________ for the poor.,assistance
Government can set rules for ________.,business
Government ensures ________ in emergencies.,relief
Government plays a role in ________ development.,economic
Government protects ________ of citizens.,freedoms
Government ensures proper ________ for citizens.,facilities
