Question_Type,Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Answer
MCQ,1,The process by which living organisms obtain and utilize food is called:,Respiration,Nutrition,Digestion,Excretion,Nutrition
MCQ,2,Organisms that can make their own food are called:,Heterotrophs,Autotrophs,Parasites,Saprophytes,Autotrophs
MCQ,3,Organisms that cannot make their own food are called:,Autotrophs,Heterotrophs,Producers,Plants,Heterotrophs
MCQ,4,The process of making food by plants using sunlight is called:,Respiration,Photosynthesis,Digestion,Excretion,Photosynthesis
MCQ,5,The green pigment in plants that captures sunlight is:,Chlorophyll,Haemoglobin,Melanin,Carotene,Chlorophyll
MCQ,6,The raw materials for photosynthesis are:,CO₂ and H₂O,O₂ and H₂O,CO₂ and O₂,Glucose and O₂,CO₂ and H₂O
MCQ,7,The products of photosynthesis are:,CO₂ and H₂O,Glucose and O₂,Glucose and CO₂,O₂ and H₂O,Glucose and O₂
MCQ,8,The site of photosynthesis in plants is:,Root,Stem,Leaf,Flower,Leaf
MCQ,9,The process of breaking down food into simpler substances is called:,Nutrition,Digestion,Respiration,Excretion,Digestion
MCQ,10,The digestive juice that breaks down proteins is:,Saliva,Gastric juice,Bile,Pancreatic juice,Gastric juice
MCQ,11,The enzyme present in saliva that breaks down starch is:,Pepsin,Amylase,Trypsin,Lipase,Amylase
MCQ,12,The largest gland in the human body is:,Pancreas,Liver,Stomach,Kidney,Liver
MCQ,13,The finger-like projections in the small intestine are called:,Villi,Alveoli,Nephrons,Neurons,Villi
MCQ,14,The process of exchange of gases is called:,Respiration,Digestion,Transportation,Excretion,Respiration
MCQ,15,The process of breakdown of glucose to release energy is called:,Photosynthesis,Respiration,Digestion,Excretion,Respiration
MCQ,16,Respiration that occurs in the presence of oxygen is called:,Anaerobic respiration,Aerobic respiration,Fermentation,Glycolysis,Aerobic respiration
MCQ,17,Respiration that occurs in the absence of oxygen is called:,Aerobic respiration,Anaerobic respiration,Oxidation,Combustion,Anaerobic respiration
MCQ,18,The end products of aerobic respiration are:,CO₂ and H₂O,CO₂ and alcohol,CO₂ and lactic acid,Only CO₂,CO₂ and H₂O
MCQ,19,The end products of anaerobic respiration in muscles are:,CO₂ and H₂O,CO₂ and alcohol,Lactic acid,CO₂ and lactic acid,Lactic acid
MCQ,20,The end products of anaerobic respiration in yeast are:,CO₂ and H₂O,CO₂ and alcohol,CO₂ and lactic acid,Only CO₂,CO₂ and alcohol
MCQ,21,The respiratory pigment in human blood is:,Chlorophyll,Haemoglobin,Melanin,Carotene,Haemoglobin
MCQ,22,The transport system in humans is:,Blood vascular system,Lymphatic system,Both a and b,Digestive system,Both a and b
MCQ,23,The number of chambers in human heart is:,2,3,4,5,4
MCQ,24,The blood vessel that carries blood away from the heart is:,Vein,Artery,Capillary,Venule,Artery
MCQ,25,The blood vessel that carries blood towards the heart is:,Artery,Vein,Capillary,Arteriole,Vein
MCQ,26,The component of blood that transports oxygen is:,Plasma,Platelets,White blood cells,Red blood cells,Red blood cells
MCQ,27,The component of blood that fights infection is:,Red blood cells,White blood cells,Platelets,Plasma,White blood cells
MCQ,28,The component of blood that helps in clotting is:,Red blood cells,White blood cells,Platelets,Plasma,Platelets
MCQ,29,The process of removal of waste products from the body is called:,Respiration,Digestion,Excretion,Transportation,Excretion
MCQ,30,The main excretory organ in humans is:,Liver,Lung,Skin,Kidney,Kidney
MCQ,31,The functional unit of kidney is:,Nephron,Neuron,Alveolus,Villus,Nephron
MCQ,32,The process of filtering blood in the kidney is called:,Reabsorption,Secretion,Filtration,Excretion,Filtration
MCQ,33,The organ that filters blood and forms urine is:,Liver,Lung,Heart,Kidney,Kidney
MCQ,34,The process by which plants lose water vapor is called:,Respiration,Transpiration,Photosynthesis,Digestion,Transpiration
MCQ,35,The process of transport of water and minerals in plants is called:,Translocation,Transpiration,Transport,Digestion,Translocation
MCQ,36,The tissue that transports water in plants is:,Phloem,Xylem,Both a and b,None of the above,Xylem
MCQ,37,The tissue that transports food in plants is:,Xylem,Phloem,Both a and b,None of the above,Phloem
MCQ,38,The process of transport of food in plants is called:,Transpiration,Translocation,Transport,Digestion,Translocation
MCQ,39,The process by which plants absorb water from soil is called:,Transpiration,Translocation,Osmosis,Absorption,Absorption
MCQ,40,The mode of nutrition in Amoeba is:,Autotrophic,Heterotrophic,Both,Parasitic,Heterotrophic
MCQ,41,The mode of nutrition in Amoeba is:,Holozoic,Saprophytic,Parasitic,Autotrophic,Holozoic
MCQ,42,The mode of nutrition in humans is:,Autotrophic,Heterotrophic,Both,Parasitic,Heterotrophic
MCQ,43,The mode of nutrition in humans is:,Holozoic,Saprophytic,Parasitic,Autotrophic,Holozoic
MCQ,44,The process of taking in food is called:,Ingestion,Digestion,Absorption,Egestion,Ingestion
MCQ,45,The process of elimination of undigested food is called:,Ingestion,Digestion,Absorption,Egestion,Egestion
MCQ,46,The energy currency of the cell is:,ATP,ADP,DNA,RNA,ATP
MCQ,47,ATP stands for:,Adenosine Triphosphate,Adenosine Diphosphate,Adenine Triphosphate,Adenine Diphosphate,Adenosine Triphosphate
MCQ,48,The opening through which leaves exchange gases is called:,Stomata,Lenticels,Root hair,None of the above,Stomata
MCQ,49,The guard cells control the opening and closing of:,Stomata,Lenticels,Root hair,Flower,Stomata
MCQ,50,The process of breakdown of glucose in the absence of oxygen is called:,Aerobic respiration,Anaerobic respiration,Photosynthesis,Transpiration,Anaerobic respiration
Integer,1,The number of chambers in human heart is: _____.,4,,,,
Integer,2,The number of oxygen molecules carried by one haemoglobin molecule is: _____ (4).,4,,,,
Integer,3,The number of ATP molecules produced in aerobic respiration is approximately: _____ (36-38, so approximately 38).,38,,,,
Integer,4,The number of ATP molecules produced in anaerobic respiration is: _____ (2).,2,,,,
Integer,5,The number of kidneys in human body is: _____.,2,,,,
Integer,6,The number of main blood groups in humans is: _____ (A, B, AB, O - so 4).,4,,,,
Integer,7,The normal pulse rate in adults is approximately _____ beats per minute (60-100, average 72).,72,,,,
Integer,8,The number of lungs in human body is: _____.,2,,,,
Integer,9,The number of main types of blood vessels is: _____ (arteries, veins, capillaries - so 3).,3,,,,
Integer,10,The number of main types of teeth in humans is: _____ (incisors, canines, premolars, molars - so 4).,4,,,,
Integer,11,The number of oxygen atoms in O₂ molecule is: _____.,2,,,,
Integer,12,The number of oxygen atoms in CO₂ molecule is: _____.,2,,,,
Integer,13,The number of carbon atoms in glucose (C₆H₁₂O₆) is: _____.,6,,,,
Integer,14,The number of hydrogen atoms in glucose (C₆H₁₂O₆) is: _____.,12,,,,
Integer,15,The number of oxygen atoms in glucose (C₆H₁₂O₆) is: _____.,6,,,,
Integer,16,The number of oxygen atoms in water (H₂O) is: _____.,1,,,,
Integer,17,The number of hydrogen atoms in water (H₂O) is: _____.,2,,,,
Integer,18,The number of carbon atoms in CO₂ is: _____.,1,,,,
Integer,19,In the reaction C₆H₁₂O₆ + 6O₂ → 6CO₂ + 6H₂O, the coefficient of O₂ is: _____.,6,,,,
Integer,20,In the reaction C₆H₁₂O₆ + 6O₂ → 6CO₂ + 6H₂O, the coefficient of CO₂ is: _____.,6,,,,
Integer,21,In the reaction C₆H₁₂O₆ + 6O₂ → 6CO₂ + 6H₂O, the coefficient of H₂O is: _____.,6,,,,
Integer,22,The number of main stages in human digestion is: _____ (ingestion, digestion, absorption, egestion - so 4).,4,,,,
Integer,23,The number of main parts of the alimentary canal is approximately: _____ (mouth, esophagus, stomach, small intestine, large intestine - so 5).,5,,,,
Integer,24,The number of main types of respiration is: _____ (aerobic and anaerobic - so 2).,2,,,,
Integer,25,The number of main life processes is: _____ (nutrition, respiration, transportation, excretion - so 4 basic ones).,4,,,,
Integer,26,The normal body temperature in humans is approximately _____°C (37°C).,37,,,,
Integer,27,The number of main types of nutrition is: _____ (autotrophic and heterotrophic - so 2).,2,,,,
Integer,28,The number of main types of heterotrophic nutrition is: _____ (holozoic, saprophytic, parasitic - so 3).,3,,,,
Integer,29,The number of oxygen atoms required for complete oxidation of one glucose molecule is: _____ (6 O₂ molecules, each has 2 O atoms, so 12 atoms, but if asking for O₂ molecules, it's 6). Let's ask for O₂ molecules: _____.,6,,,,
Integer,30,The number of CO₂ molecules produced from one glucose molecule in aerobic respiration is: _____.,6,,,,
Integer,31,The number of H₂O molecules produced from one glucose molecule in aerobic respiration is: _____.,6,,,,
Integer,32,The number of main types of cells in blood is: _____ (RBC, WBC, platelets - so 3).,3,,,,
Integer,33,The number of chambers in the upper part of heart (atria) is: _____.,2,,,,
Integer,34,The number of chambers in the lower part of heart (ventricles) is: _____.,2,,,,
Integer,35,The number of main components of blood is: _____ (plasma, RBC, WBC, platelets - so 4).,4,,,,
Integer,36,The number of oxygen atoms in one O₂ molecule is: _____.,2,,,,
Integer,37,The normal breathing rate in adults is approximately _____ times per minute (12-20, average 16).,16,,,,
Integer,38,The number of main excretory products in humans is: _____ (urine, sweat, CO₂ - so 3 major ones).,3,,,,
Integer,39,The number of main types of blood vessels is: _____ (arteries, veins, capillaries - so 3).,3,,,,
Integer,40,The number of main types of teeth in humans is: _____ (incisors, canines, premolars, molars - so 4).,4,,,,
Integer,41,In the reaction 6CO₂ + 6H₂O → C₆H₁₂O₆ + 6O₂, the coefficient of CO₂ is: _____.,6,,,,
Integer,42,In the reaction 6CO₂ + 6H₂O → C₆H₁₂O₆ + 6O₂, the coefficient of H₂O is: _____.,6,,,,
Integer,43,In the reaction 6CO₂ + 6H₂O → C₆H₁₂O₆ + 6O₂, the coefficient of O₂ is: _____.,6,,,,
Integer,44,The number of carbon atoms in glucose (C₆H₁₂O₆) is: _____.,6,,,,
Integer,45,The number of nephrons in one kidney is approximately _____ million (1-1.5 million).,1,,,,
Integer,46,The number of main parts of nephron is: _____ (glomerulus, Bowman's capsule, tubule - so 3 main parts).,3,,,,
Integer,47,The number of main steps in urine formation is: _____ (filtration, reabsorption, secretion - so 3).,3,,,,
Integer,48,The number of oxygen atoms in haemoglobin that can bind O₂ is: _____ (4, one per heme group).,4,,,,
Integer,49,The number of ATP molecules produced from one glucose in anaerobic respiration is: _____.,2,,,,
Integer,50,The number of main life processes in living organisms is: _____ (nutrition, respiration, transportation, excretion - so 4).,4,,,,
Descriptive,1,What are life processes? List the main life processes.,"Life processes are the basic functions performed by living organisms to maintain life. The main life processes are: 1) Nutrition - process of obtaining and utilizing food, 2) Respiration - process of releasing energy from food, 3) Transportation - process of transport of materials in the body, 4) Excretion - process of removal of waste products, 5) Reproduction, 6) Growth, 7) Response to stimuli. These processes are essential for survival. Answer: Basic functions to maintain life. Main processes: Nutrition, Respiration, Transportation, Excretion, Reproduction, Growth",,,,
Descriptive,2,What is nutrition? Explain autotrophic and heterotrophic nutrition.,"Nutrition is the process by which living organisms obtain and utilize food for growth, maintenance, and energy. Types: 1) Autotrophic nutrition: Organisms make their own food using simple inorganic substances. Example: Green plants use CO₂, H₂O, and sunlight. 2) Heterotrophic nutrition: Organisms depend on other organisms for food. Examples: Animals, fungi, most bacteria. Answer: Process of obtaining and utilizing food. Autotrophic: Make own food (plants). Heterotrophic: Depend on others (animals)",,,,
Descriptive,3,Explain the process of photosynthesis. Write the equation.,"Photosynthesis is the process by which green plants make food using CO₂, water, and sunlight in the presence of chlorophyll. Equation: 6CO₂ + 6H₂O →(sunlight, chlorophyll) C₆H₁₂O₆ + 6O₂. Process: 1) Chlorophyll captures sunlight, 2) CO₂ enters through stomata, 3) Water absorbed from roots, 4) Glucose and O₂ produced. Occurs in leaves. Answer: Process where plants make food. Equation: 6CO₂ + 6H₂O → C₆H₁₂O₆ + 6O₂. Requires sunlight, chlorophyll, CO₂, water",,,,
Descriptive,4,What are the raw materials and products of photosynthesis?,"Raw materials: 1) Carbon dioxide (CO₂) - enters through stomata, 2) Water (H₂O) - absorbed by roots, 3) Sunlight - captured by chlorophyll, 4) Chlorophyll - green pigment. Products: 1) Glucose (C₆H₁₂O₆) - food/sugar, 2) Oxygen (O₂) - released as byproduct. Site: Leaves (specifically chloroplasts). Answer: Raw materials: CO₂, H₂O, sunlight, chlorophyll. Products: Glucose and oxygen",,,,
Descriptive,5,Explain the process of digestion in humans.,"Digestion in humans: 1) Mouth: Food chewed, mixed with saliva (amylase breaks starch), 2) Esophagus: Food passes to stomach, 3) Stomach: Gastric juice (HCl, pepsin) breaks proteins, 4) Small intestine: Bile emulsifies fats, pancreatic juice and intestinal juice complete digestion, 5) Absorption: Nutrients absorbed by villi, 6) Large intestine: Water absorbed, 7) Rectum: Undigested food eliminated. Answer: Process of breaking down food. Stages: Mouth (saliva), Stomach (gastric juice), Small intestine (complete digestion), Absorption, Elimination",,,,
Descriptive,6,What is the role of different digestive enzymes?,"Role of digestive enzymes: 1) Amylase (saliva): Breaks starch to maltose, 2) Pepsin (stomach): Breaks proteins to peptides, 3) Trypsin (pancreas): Breaks proteins to peptides, 4) Lipase (pancreas): Breaks fats to fatty acids and glycerol, 5) Intestinal enzymes: Complete breakdown to simple molecules. Enzymes speed up digestion. Answer: Amylase breaks starch, Pepsin/Trypsin break proteins, Lipase breaks fats, intestinal enzymes complete digestion",,,,
