Chapter,Question,Option A,Option B,Option C,Option D,Answer
Fractions,Which of the following is a proper fraction?,5/4,3/7,9/5,7/6,3/7
Fractions,Which of the following is an improper fraction?,7/3,3/4,2/5,1/2,7/3
Fractions,Which of the following is a mixed fraction?,3 1/2,5/4,2/3,1/2,3 1/2
Fractions,Equivalent fraction of 1/2 is?,2/3,2/4,3/4,3/2,2/4
Fractions,Unit fraction has numerator equal to?,0,1,2,Denominator,1
Fractions,Reciprocal of 3/5 is?,5/3,3/5,2/3,3/2,5/3
Fractions,Sum of 1/4 + 1/4 = ?,1/2,1/4,1,3/4,1/2
Fractions,Difference of 3/4 - 1/2 = ?,1/4,1/2,1,3/4,1/4
Fractions,Multiplication of 2/3 × 3/4 = ?,1/2,1/4,1/3,1/6,1/2
Fractions,Division of 3/4 ÷ 2/3 = ?,9/8,6/7,2/3,1/2,9/8
Fractions,Simplest form of 6/8 = ?,3/4,2/3,1/2,4/3,3/4
Fractions,Which fraction is greater?,3/5 or 2/3,3/5,2/3,Equal,None,2/3
Fractions,Convert 7/3 to mixed fraction?,2 1/3,3 1/7,1 2/3,2 2/3,2 1/3
Fractions,Convert 9/4 to mixed fraction?,2 1/4,2 2/4,3 1/4,3 2/4,2 1/4
Fractions,Sum of 1/2 + 1/3 = ?,5/6,2/5,3/6,1/6,5/6
Fractions,Difference of 5/6 - 1/2 = ?,1/3,1/2,1/6,2/3,1/3
Fractions,Multiplication of 2/5 × 5/6 = ?,1/3,1/2,5/12,1,1/3
Fractions,Division of 4/5 ÷ 2/3 = ?,6/5,5/6,2/3,3/4,6/5
Fractions,1/2 + 1/4 + 1/4 = ?,1,1/2,3/4,2,1
Fractions,2/3 + 1/3 = ?,1,2/3,1/3,0,1
Fractions,Which is smaller?,1/2 or 2/5,1/2,2/5,Equal,None,2/5
Fractions,Which is a proper fraction?,7/8,9/7,5/4,6/3,7/8
Fractions,Reciprocal of 1/7 = ?,7,1/7,1/3,3/1,7
Fractions,Reciprocal of 3/2 = ?,2/3,3/2,3,2,2/3
Fractions,Sum of 3/8 + 5/8 = ?,1,3/4,7/8,8/8,1
Fractions,Difference of 7/8 - 3/8 = ?,1/2,1/4,4/8,5/8,1/2
Fractions,Multiplication of 4/5 × 5/8 = ?,1/2,1,5/8,1/3,1/2
Fractions,Division of 3/4 ÷ 1/2 = ?,3/2,1/2,2/3,1,3/2
Fractions,Simplest form of 12/16 = ?,3/4,2/3,4/3,1/2,3/4
Fractions,Simplest form of 9/12 = ?,3/4,2/3,3/3,4/3,3/4
Fractions,Which fraction is greater?,5/6 or 3/4,5/6,3/4,Equal,None,5/6
Fractions,Convert 11/4 to mixed fraction?,2 3/4,3 1/4,2 1/4,1 3/4,2 3/4
Fractions,Convert 13/5 to mixed fraction?,2 3/5,3 2/5,2 2/5,3 3/5,2 3/5
Fractions,Sum of 2/3 + 1/6 = ?,5/6,1/2,2/3,1,5/6
Fractions,Difference of 7/10 - 2/5 = ?,3/10,5/10,1/2,2/5,3/10
Fractions,Multiplication of 2/3 × 3/5 = ?,2/5,1/2,1/3,3/5,2/5
Fractions,Division of 5/6 ÷ 2/3 = ?,5/4,3/4,2/3,1,5/4
Fractions,Which fraction is smallest?,7/8,3/4,5/6,1/2,1/2
Fractions,1/3 + 1/6 + 1/2 = ?,1,5/6,7/6,2,1
Fractions,2/5 + 3/10 = ?,7/10,1/2,1/5,3/10,7/10
Fractions,4/9 - 1/3 = ?,1/9,2/9,3/9,5/9,1/9
Fractions,5/12 + 1/4 = ?,2/3,1/2,1/3,3/4,2/3
Fractions,Multiply 3/4 × 8/9 = ?,2/3,1/2,3/4,1/2,2/3
Fractions,Divide 5/8 ÷ 2/3 = ?,15/16,10/16,5/16,8/15,15/16
Fractions,Reciprocal of 4/7 = ?,7/4,4/7,1/4,1/7,7/4
Fractions,Which is a unit fraction?,1/7,2/7,3/7,4/7,1/7
Fractions,1/2 + 1/3 + 1/6 = ?,1,2/3,3/2,1/2,1
Fractions,Compare 2/5 and 3/7,2/5>3/7,2/5<3/7,Equal,None,2/5>3/7
Fractions,Compare 5/8 and 3/4,5/8>3/4,5/8<3/4,Equal,None,5/8<3/4
Fractions,Convert 7/2 to mixed fraction?,3 1/2,2 1/2,3 3/2,2 3/2,3 1/2
Fractions,Convert 9/4 to mixed fraction?,2 1/4,2 2/4,3 1/4,3 2/4,2 1/4
Fractions,Sum of 1/5 + 2/5 + 1/5 = ?,4/5,1,3/5,2/5,4/5
Fractions,Difference of 9/10 - 3/5 = ?,3/10,1/2,1/5,2/5,3/10
