Question,Answer
Match the shape with number of sides,"Triangle,3; Square,4; Rectangle,4; Pentagon,5; Hexagon,6; Rhombus,4; Parallelogram,4; Trapezium,4; Kite,4; Circle,0"
Match the shape with number of vertices,"Triangle,3; Square,4; Rectangle,4; Pentagon,5; Hexagon,6; Rhombus,4; Parallelogram,4; Trapezium,4; Kite,4; Circle,0"
Match the shape with type,"Square,Regular; Rectangle,Quadrilateral; Triangle,Polygon; Circle,Curved; Rhombus,Quadrilateral; Pentagon,Polygon; Hexagon,Polygon; Trapezium,Quadrilateral; Parallelogram,Quadrilateral; Kite,Quadrilateral"
Match the shape with its diagonals,"Triangle,0; Square,2; Rectangle,2; Pentagon,5; Hexagon,9; Rhombus,2; Parallelogram,2; Trapezium,1; Kite,1"
Match the shape with angle type,"Triangle,Acute; Square,Right; Rectangle,Right; Pentagon,Obtuse; Hexagon,Obtuse; Rhombus,Obtuse; Parallelogram,Obtuse; Trapezium,Right; Kite,Obtuse"
Match the shape with symmetry,"Square,4; Rectangle,2; Circle,Infinite; Triangle,1; Pentagon,5; Hexagon,6; Rhombus,2; Parallelogram,0; Trapezium,0; Kite,1"
Match the shape with regularity,"Square,Regular; Rectangle,Irregular; Triangle,Regular; Circle,Regular; Pentagon,Regular; Hexagon,Regular; Rhombus,Irregular; Parallelogram,Irregular; Trapezium,Irregular; Kite,Irregular"
Match the shape with sides equal,"Triangle,No; Square,Yes; Rectangle,No; Pentagon,No; Hexagon,No; Rhombus,Yes; Parallelogram,No; Trapezium,No; Kite,No"
Match the shape with parallel sides,"Square,2; Rectangle,2; Rhombus,2; Parallelogram,2; Trapezium,1; Triangle,0; Pentagon,0; Hexagon,0; Kite,0; Circle,0"
Match the shape with type of triangle,"Equilateral,All sides equal; Isosceles,Two sides equal; Scalene,No sides equal; Right-angled,One angle 90°; Obtuse,One angle > 90°; Acute,All angles < 90°; None,0; None,0; None,0; None,0"
Match the shape with number of axes of symmetry,"Square,4; Rectangle,2; Circle,Infinite; Triangle,3; Pentagon,5; Hexagon,6; Rhombus,2; Parallelogram,0; Trapezium,1; Kite,1"
Match the shape with convex/concave,"Triangle,Convex; Square,Convex; Rectangle,Convex; Pentagon,Convex; Hexagon,Convex; Rhombus,Convex; Parallelogram,Convex; Trapezium,Convex; Kite,Convex; Circle,Convex"
Match the shape with interior angle sum,"Triangle,180°; Square,360°; Rectangle,360°; Pentagon,540°; Hexagon,720°; Rhombus,360°; Parallelogram,360°; Trapezium,360°; Kite,360°; Circle,0"
Match the shape with exterior angle sum,"Triangle,360°; Square,360°; Rectangle,360°; Pentagon,360°; Hexagon,360°; Rhombus,360°; Parallelogram,360°; Trapezium,360°; Kite,360°; Circle,0"
Match the shape with number of diagonals intersecting at center,"Square,2; Rectangle,2; Rhombus,2; Parallelogram,2; Trapezium,1; Triangle,0; Pentagon,5; Hexagon,9; Kite,1; Circle,0"
