Question,Answer
Define a fraction.,A number of the form p/q where q ≠ 0.
What is the numerator of 3/4?,3
What is the denominator of 7/8?,8
Write 5/1 as a whole number.,5
Is 0/5 defined?,Yes
Simplify the fraction 6/8.,3/4
Add: 1/2 + 1/3,5/6
Add: 3/4 + 2/5,23/20
Subtract: 5/6 - 1/3,1/2
Subtract: 7/8 - 3/4,1/8
Multiply: 2/3 × 3/4,1/2
Multiply: 5/6 × 2/5,1/3
Divide: 3/4 ÷ 2/5,15/8
Divide: 7/8 ÷ 1/2,7/4
Convert 5/2 into a mixed number.,2 1/2
Convert 7/3 into a mixed number.,2 1/3
Convert 2 1/2 into an improper fraction.,5/2
Convert 3 3/4 into an improper fraction.,15/4
Compare: 3/4 and 2/3,3/4 > 2/3
Compare: 5/8 and 7/12,5/8 > 7/12
What is a proper fraction?,Numerator < Denominator
What is an improper fraction?,Numerator > Denominator
What is a mixed fraction?,Whole number + proper fraction
Simplify: 12/16,3/4
Add: 2/5 + 3/10,7/10
Subtract: 9/10 - 1/2,2/5
Multiply: 4/5 × 5/6,2/3
Divide: 7/8 ÷ 7/16,2
Reciprocal of 3/4,4/3
Reciprocal of -5/6,-6/5
Find LCM of denominators 3 and 4,12
Convert 2/3 to have denominator 12,8/12
Convert 5/6 to have denominator 18,15/18
Add: 7/12 + 5/18,19/18
Subtract: 11/15 - 2/5,1/3
Simplify: 18/24,3/4
Multiply: 2/3 × 3/7,2/7
Divide: 4/5 ÷ 8/15,3/2
Add: 1/2 + 2/3 + 3/4,23/12
Subtract: 5/6 - 1/2 - 1/3,0
Multiply: 1/2 × 3/4 × 2/3,1/4
Divide: 3/4 ÷ 2/5 ÷ 5/6,9/4
Add: 7/8 + 1/4 + 3/8,11/8
Subtract: 9/10 - 3/5 - 1/10,1/5
Multiply: 2/3 × 3/5 × 5/6,1/3
Divide: 4/9 ÷ 2/3 ÷ 2/3,4/3
Find the reciprocal of 7/9,9/7
Compare: 5/6 and 4/5,5/6 > 4/5
Convert 9/4 into a mixed number.,2 1/4
Convert 11/3 into a mixed number.,3 2/3
