Question_Type,Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Answer

MCQ,1,Climate refers to?,Daily weather,Long term weather,Temperature only,Rainfall only,Long term weather
MCQ,2,The climate of India is described as?,Equatorial,Tropical monsoon,Desert,Polar,Tropical monsoon
MCQ,3,Which factor controls Indian climate?,Latitude only,Altitude only,Monsoon winds,Ocean currents,Monsoon winds
MCQ,4,India lies mainly in which climatic zone?,Temperate,Tropical,Polar,Frigid,Tropical
MCQ,5,Which winds bring rainfall to India?,Trade winds,Westerlies,Monsoon winds,Polar winds,Monsoon winds
MCQ,6,South-West Monsoon arrives in India in?,January,March,June,September,June
MCQ,7,Which monsoon gives most rainfall?,North-East,South-West,None,None,South-West
MCQ,8,Retreating monsoon occurs in?,June,July,October,December,October
MCQ,9,Which region receives highest rainfall?,Thar Desert,Western Ghats,Deccan Plateau,None,Western Ghats
MCQ,10,Which place receives least rainfall?,Cherrapunji,Jaisalmer,Mawsynram,None,Jaisalmer
MCQ,11,Cherrapunji is famous for?,Lowest rainfall,Highest rainfall,No rainfall,None,Highest rainfall
MCQ,12,Which winds cause winter rain in north India?,Monsoon,Westerlies,Trade winds,None,Westerlies
MCQ,13,What is Loo?,Cold wind,Hot dry wind,Rainy wind,None,Hot dry wind
MCQ,14,Which months are summer in India?,March-May,June-Sept,Oct-Nov,Dec-Feb,March-May
MCQ,15,Which months are winter in India?,March-May,June-Sept,Oct-Nov,Dec-Feb,Dec-Feb
MCQ,16,Which season has cyclones?,Summer,Monsoon,Retreating monsoon,Winter,Retreating monsoon
MCQ,17,Which ocean influences Indian climate?,Atlantic,Pacific,Indian,Arctic,Indian
MCQ,18,Which current affects Indian climate?,Gulf Stream,El Nino,None,None,El Nino
MCQ,19,Which phenomenon weakens monsoon?,La Nina,El Nino,Trade winds,None,El Nino
MCQ,20,Which phenomenon strengthens monsoon?,El Nino,La Nina,None,None,La Nina
MCQ,21,Which state gets rain from retreating monsoon?,Punjab,Rajasthan,Tamil Nadu,None,Tamil Nadu
MCQ,22,Which branch of monsoon hits Western Ghats?,Arabian Sea branch,Bay of Bengal branch,None,None,Arabian Sea branch
MCQ,23,Which branch hits eastern India first?,Arabian Sea,Bay of Bengal,None,None,Bay of Bengal
MCQ,24,Which region gets orographic rainfall?,Plateau,Plains,Western Ghats,None,Western Ghats
MCQ,25,Which area lies in rain shadow?,Windward side,Leeward side,Coast,None,Leeward side
MCQ,26,What causes monsoon?,Pressure difference,Rotation of Earth,Tides,None,Pressure difference
MCQ,27,Which winds reverse direction seasonally?,Trade winds,Monsoon winds,Westerlies,None,Monsoon winds
MCQ,28,What is burst of monsoon?,Sudden rainfall,Gradual rain,No rain,None,Sudden rainfall
MCQ,29,Which climate factor refers to height?,Latitude,Altitude,Distance from sea,None,Altitude
MCQ,30,Which area has equable climate?,Interior,Coastal,None,None,Coastal
MCQ,31,Why coastal areas have less temperature range?,Altitude,Sea breeze,Latitude,None,Sea breeze
MCQ,32,Which region has extreme climate?,Coastal,Interior,None,None,Interior
MCQ,33,Which season is called hot weather season?,Summer,Winter,Monsoon,None,Summer
MCQ,34,Which season is called cold weather season?,Summer,Winter,Monsoon,None,Winter
MCQ,35,Which season has retreating monsoon winds?,Summer,Winter,Post-monsoon,None,Post-monsoon
MCQ,36,Which region gets snowfall?,Plains,Plateau,Himalayas,None,Himalayas
MCQ,37,Which area gets convectional rainfall?,Plains,Plateau,Coastal,None,Plateau
MCQ,38,What causes cyclones?,High pressure,Low pressure,None,None,Low pressure
MCQ,39,Which factor affects rainfall distribution?,Relief,Latitude,Altitude,All of these,All of these
MCQ,40,Which area receives winter rain?,Tamil Nadu,Punjab,Rajasthan,None,Tamil Nadu
MCQ,41,What is monsoon?,Seasonal wind,Daily wind,Ocean current,None,Seasonal wind
MCQ,42,Which wind blows from land to sea?,Sea breeze,Land breeze,Monsoon,None,Land breeze
