Question_Type,Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Answer
MCQ,1,Democracy means rule by,Army,King,People,Elites,People
MCQ,2,Diversity refers to differences among people based on,Culture,Language,Religion,All of these,All of these
MCQ,3,Which country faced racial discrimination?,India,USA,Belgium,Sri Lanka,USA
MCQ,4,The Civil Rights Movement took place in,India,South Africa,USA,UK,USA
MCQ,5,Who led the Civil Rights Movement?,Nelson Mandela,Martin Luther King Jr.,Abraham Lincoln,Mahatma Gandhi,Martin Luther King Jr.
MCQ,6,Which amendment ended racial discrimination in USA?,13th,14th,15th,19th,14th
MCQ,7,The struggle of blacks in USA was against,Racial discrimination,Economic crisis,Political instability,Colonial rule,Racial discrimination
MCQ,8,Which social group was discriminated in USA?,Whites,Blacks,Hispanics,Asians,Blacks
MCQ,9,Diversity strengthens democracy by,Creating conflict,Encouraging competition,Promoting unity through tolerance,Dividing people,Promoting unity through tolerance
MCQ,10,Which term means respect for differences?,Unity,Homogeneity,Tolerance,Conflict,Tolerance
MCQ,11,Which country shows unity in diversity?,Sri Lanka,India,USA,China,India
MCQ,12,Which factor causes social divisions?,Occupation,Religion,Language,All of these,All of these
MCQ,13,Social divisions are harmful when they are,Political,Peaceful,Exploitative,Natural,Exploitative
MCQ,14,Which social division is permanent?,Caste,Religion,Language,None,None
MCQ,15,Which country is an example of democracy accommodating diversity?,India,Sri Lanka,China,Myanmar,India
MCQ,16,Which struggle united blacks and whites in USA?,Civil Rights Movement,Freedom struggle,Anti-apartheid movement,Swadeshi movement,Civil Rights Movement
MCQ,17,Which slogan was popular during Civil Rights Movement?,Jai Hind,Black Power,We Shall Overcome,Inquilab Zindabad,We Shall Overcome
MCQ,18,Diversity can be a source of,Conflict only,Weakness,Strength in democracy,Division,Strength in democracy
MCQ,19,Which movement fought for equal rights?,Civil Rights Movement,Chipko Movement,Appiko Movement,Narmada Bachao,Civil Rights Movement
MCQ,20,Which leader advocated non-violence in USA?,Martin Luther King Jr.,Malcolm X,Obama,Lincoln,Martin Luther King Jr.
MCQ,21,Which social division is based on birth?,Economic,Caste,Religious,Linguistic,Caste
MCQ,22,Which division is universal?,Social,Political,Economic,Cultural,Social
MCQ,23,Which division can lead to violence?,Peaceful,Political manipulation,Natural differences,Cultural diversity,Political manipulation
MCQ,24,Democracy accommodates diversity by,Suppressing differences,Ignoring minorities,Power sharing,Dictatorship,Power sharing
MCQ,25,Which country failed to accommodate diversity?,India,Belgium,Sri Lanka,Canada,Sri Lanka
MCQ,26,Which term means same culture?,Pluralism,Diversity,Homogeneity,Secularism,Homogeneity
MCQ,27,Which movement ended segregation in USA?,Civil Rights Movement,Green Movement,Labour Movement,Feminist Movement,Civil Rights Movement
MCQ,28,Which diversity exists in India?,Linguistic,Religious,Cultural,All of these,All of these
MCQ,29,Which system best manages diversity?,Dictatorship,Monarchy,Democracy,Military rule,Democracy
MCQ,30,Which group faced discrimination in Sri Lanka?,Sinhala,Tamils,Burghers,Dutch,Tamils
MCQ,31,Which social difference becomes social division?,When politicised,When natural,When ignored,When accepted,When politicised
MCQ,32,Which idea promotes peaceful coexistence?,Intolerance,Discrimination,Tolerance,Segregation,Tolerance
MCQ,33,Which country has multiple languages?,China,India,Sri Lanka,Japan,India
MCQ,34,Which movement was inspired by Gandhian ideas?,Civil Rights Movement,Green Revolution,Industrial movement,Peasant movement,Civil Rights Movement
