Question,Answer
India is a ________ country with people of different religions.,multi-religious
People speak different ________ in India.,languages
Diversity means variety or ________.,difference
There are many ________ in India.,cultures
People wear different ________ in different regions.,clothes
Food habits differ in different ________.,regions
People follow different ________ in India.,religions
India has different types of ________.,festivals
There are many forms of ________ in India.,art
Customs and traditions vary from ________ to ________.,place,place
India is known for its cultural ________.,diversity
People have different ________ in India.,beliefs
India has many types of ________ and music.,dance
Languages spoken in India belong to different ________.,language families
People have different ________ for dressing.,styles
Diversity makes India ________.,unique
Some communities speak ________ languages.,minority
India has diversity in food, clothing and ________.,festivals
People celebrate different ________ in different states.,festivals
Variety of ________ makes India colourful.,cultures
People follow different ________ for marriage.,customs
India has many ________ and rituals.,traditions
Diversity can be seen in ________ and attire.,dress
People have different ________ and occupations.,professions
India has a rich ________ heritage.,cultural
People live in different ________ across India.,regions
Diversity is a source of ________ for India.,strength
Some people live in mountains while others live in ________.,plains
Food, language, and clothing show ________ in India.,diversity
People speak more than ________ languages in India.,20
Different religions follow different ________.,rituals
India has a variety of ________ and festivals.,customs
People wear traditional clothes during ________.,festivals
India has different forms of ________ like folk and classical.,dance
People sing different types of ________ in India.,songs
Customs, language, and food show ________ in society.,diversity
People follow different ________ in daily life.,traditions
India has many ________ groups.,ethnic
People celebrate festivals according to their ________.,religion
India is a land of ________ cultures.,diverse
People have different ________ and beliefs.,values
Different regions have different ________.,climates
Clothing, food, and language are examples of ________ diversity.,cultural
People follow different ________ practices.,religious
India has diversity in ________ and handicrafts.,arts
People have different ________ habits.,eating
People have different ________ systems.,social
Diversity helps us learn about other ________.,cultures
People have different ________ styles.,living
India is home to many ________ communities.,indigenous
