Question,Answer
The poem "Vocation" is written by ________.,Rabindranath Tagore
The poem is about different ________.,professions
The speaker is a young ________.,child
The child watches people while going to ________.,school
The first person the child sees is a ________.,hawker
The hawker sells ________.,fruits
The hawker cries out to sell his ________.,goods
The child thinks the hawker’s life is ________.,free
The second person the child sees is a ________.,gardener
The gardener digs the ________.,soil
The gardener works in the ________.,garden
The child thinks the gardener works ________.,happily
The gardener does not worry about ________.,time
The third person the child sees is a ________.,watchman
The watchman walks in the ________.,street
The watchman carries a ________.,stick
The watchman works during the ________.,night
The child imagines being a ________.,watchman
The child wants to do work without ________.,fear
The child compares his life with ________.,others
The child feels tied to school like a ________.,prisoner
The child envies the freedom of the ________.,hawker
The child wants to work under the open ________.,sky
The poem shows the child’s love for ________.,freedom
The child thinks school is very ________.,strict
The hawker moves from place to ________.,place
The gardener plays with children while ________.,working
The watchman keeps watch over the ________.,city
The child’s school bag feels like a ________.,burden
The poem shows curiosity of a ________.,child
The child imagines different ________.,jobs
The hawker is not tied to one ________.,place
The gardener works with his ________.,hands
The watchman protects people at ________.,night
The child wants a life without ________.,rules
The poem talks about joy in ________.,work
The child sees work as a form of ________.,freedom
The poem describes everyday ________.,life
The child wishes to choose his own ________.,vocation
The poem reflects childlike ________.,imagination
The hawker sings while selling his ________.,wares
The gardener laughs while digging the ________.,ground
The watchman walks slowly through the ________.,lanes
The child envies those who are ________.,free
The poem is written in a simple and ________.,clear
The child dreams of a carefree ________.,life
The poem shows contrast between school and ________.,work
The child believes work can be ________.,enjoyable
The poem ends with the child imagining a ________.,watchman
