Question,Answer
A compass is used to draw circles.,True
A ruler is used to measure lengths.,True
A protractor is used to measure angles.,True
A set square is used to draw perpendicular lines.,True
To draw a line segment, only a ruler is required.,True
A perpendicular bisector divides a line segment into two equal parts.,True
A triangle can be constructed using three sides,True
A triangle can be constructed using two sides and the included angle,True
A triangle can be constructed using one side and two adjacent angles,True
A circle can be drawn with a fixed radius using a compass,True
The center of a circle is the point from which all points on the circle are equidistant,True
To construct an equilateral triangle, only a compass and ruler are needed,True
A square can be constructed using a ruler and set square,True
A rectangle can be constructed using a ruler and set square,True
Angles can be drawn accurately using a protractor,True
A line parallel to a given line can be drawn using a set square,True
A perpendicular line can be drawn without a protractor,True
A right angle is 90°,True
A straight angle is 180°,True
An acute angle is less than 90°,True
An obtuse angle is greater than 90° and less than 180°,True
Two circles with different radii are congruent,False
A compass cannot draw a circle with radius zero,False
The perpendicular bisector of a line passes through its midpoint,True
The perpendicular bisector of a line is always vertical,False
A triangle with sides 3 cm, 4 cm, and 5 cm is a right-angled triangle,True
A triangle with sides 5 cm, 5 cm, and 5 cm is an equilateral triangle,True
A triangle with sides 5 cm, 5 cm, and 8 cm is isosceles,True
A triangle with sides 3 cm, 4 cm, and 6 cm is scalene,True
A triangle with sides 2 cm, 2 cm, and 3 cm is scalene,False
A perpendicular line meets the original line at 90°,True
A set square can draw only 30° and 60° angles,False
A protractor can measure 360°,False
A circle has infinite points on its circumference,True
Two points determine a unique line,True
A triangle can have more than one right angle,False
A square has four right angles,True
A rectangle has four right angles,True
A rhombus has four equal sides,True
A rhombus may not have right angles,True
A circle has a radius,True
The radius of a circle is always equal to its diameter,False
The diameter of a circle is twice the radius,True
Two circles with the same radius are congruent,True
A line can be drawn through any two points,True
The midpoint of a line divides it into two equal halves,True
A triangle can be drawn using two angles and a side not between them,True
All triangles can be drawn using a compass and ruler,True
A circle can be constructed with any given radius,True
A circle has no angles,True
