Question,Answer
Analyse the theme of freedom in the poem.,The poem highlights a child’s longing for independence.
Discuss childhood psychology as portrayed.,Children resist restriction.
Explain symbolism of professions.,Freedom and independence.
Analyse contrast between school and work.,Restriction vs freedom.
Discuss imagination as escape.,Mental freedom.
Analyse poet’s use of child narrator.,Authenticity.
Explain social observation.,Child observes working adults.
Analyse tone and style.,Innocent and reflective.
Discuss relevance in education.,Balance freedom.
Explain dissatisfaction with routine.,Monotony.
Analyse symbolism of night.,Ultimate freedom.
Discuss how poem challenges adult views.,Work idealized.
Explain childhood restlessness.,Curiosity-driven.
Analyse theme of vocation.,Dream jobs.
Discuss educational pressure.,Restriction.
Explain simplicity of language.,Childlike voice.
Analyse empathy generation.,Reader relates.
Discuss imagination’s role.,Creative growth.
Explain social class observation.,Common workers.
Analyse poet’s philosophy.,Freedom over discipline.
Discuss symbolism of hawker.,Unrestricted movement.
Explain gardener imagery.,Joyful work.
Analyse watchman symbolism.,Independence.
Discuss poem’s structure.,Sequential observation.
Explain emotional conflict.,School frustration.
Analyse message for educators.,Need flexibility.
Discuss universality of theme.,All children relate.
Explain poetic realism.,True emotions.
Analyse psychological depth.,Child’s mind.
Discuss dream vs reality.,Idealization.
Explain narrative voice.,First-person child.
Analyse tone consistency.,Gentle innocence.
Discuss desire for autonomy.,Self-growth.
Explain metaphorical freedom.,Mental independence.
Analyse poet’s intent.,Highlight child’s mind.
Discuss creative exploration.,Multiple vocations.
Explain contrast of control.,School discipline.
Analyse emotional appeal.,Relatable frustration.
Discuss importance of play.,Freedom.
Explain timeless relevance.,Still applicable.
Analyse social empathy.,Understanding children.
Discuss freedom vs responsibility.,Child unaware.
Explain growth perspective.,Dreaming phase.
Analyse closing imagery.,Night freedom.
Discuss educational takeaway.,Encourage imagination.
Explain overall significance.,Value freedom in childhood.
