Question,Answer
A point has ___ dimension.,Zero
A line has ___ dimension.,One
A plane has ___ dimension.,Two
A line segment has ___ endpoints.,Two
A ray has ___ endpoint.,One
Two lines that meet at a point are called ___ lines.,Intersecting
Two lines that never meet are called ___ lines.,Parallel
A triangle has ___ sides.,Three
A quadrilateral has ___ sides.,Four
The sum of angles in a triangle is ___ degrees.,180
The sum of angles in a quadrilateral is ___ degrees.,360
A line drawn from the centre of a circle to the circumference is called ___.,Radius
A line touching a circle at only one point is called a ___.,Tangent
The corner point of a polygon is called a ___.,Vertex
The line joining two vertices of a polygon is called a ___.,Diagonal
