Question,Answer
"Why did Patrick find homework a 'bore'?","Because he preferred physical games and technology over reading"
"Why did the elf feel like a 'prisoner' to Patrick's wish?","Because he was bound by his promise to do the work for 35 days"
"How did the elf's ignorance help Patrick?","It forced Patrick to research and learn the material himself"
"Why did the elf scream 'Help me!' during math?","Because elves do not know about human calculations and numbers"
"What does the phrase 'wrinkled like a dishcloth' describe?","The elf's angry and displeased facial expression"
"What was the 'mystery' the elf referred to?","Human history, which elves have no knowledge of"
"Describe Patrick's physical state during the 35 days.","He was tired, staying up late, and had puffed, bleary eyes"
"How did the teachers' behavior toward Patrick change?","They went from warning him to praising his hard work"
"What does 'slipped out the back door' imply?","The elf left secretly as soon as his job was done"
"Why did the author call it a 'secret' at the end?","Because only the reader and Patrick know he did the work"
"How did the library books play a role in the story?","They provided the information Patrick needed to guide the elf"
"What does 'model kid' mean in this context?","A child who is disciplined, cleans up, and has a good attitude"
"Why did Patrick have to use a dictionary?","To explain words to the elf so the homework could be written"
"What was the significance of the 35-day period?","It was the duration of the semester and the elf's contract"
"How did Patrick’s social life at home change?","He became helpful, did chores, and was no longer rude"
"What was the irony in the elf's role?","The elf was supposed to do the work, but he made Patrick do it"
"Define the word 'breeches' as used in the poem.","Short trousers that the tiny man wore"
"What does 'nag' mean in relation to the elf?","The elf constantly troubled Patrick to help him"
"Why did the elf 'shriek' when reading?","He found the words and concepts difficult or annoying"
"How did Patrick help with the 'times tables'?","He had to explain and solve them for the elf"
"What was Patrick's reward for his hard work?","He received 'A' grades and a new reputation"
"Explain the 'whole new attitude' Patrick developed.","He became cheerful, hardworking, and responsible"
"Why did the elf double his fists?","To show his extreme displeasure and anger"
"What was the result of the elf being 'true to his word'?","He stayed the full 35 days to finish the homework"
"Why did Patrick's parents wonder about him?","Because his personality and habits changed drastically"
"How did the elf's presence affect Patrick's sleep?","It reduced it significantly because they worked all night"
"What does 'puffed and bleary' suggest about Patrick?","He was suffering from exhaustion and lack of sleep"
"Why was the elf's face compared to a dishcloth in a hamper?","To show how messy and unhappy his face looked"
"How did the elf escape at the end?","He left quietly so Patrick wouldn't notice immediately"
"What was the main conflict for the elf?","Doing human homework which he found boring and difficult"
"What was the main conflict for Patrick?","Getting the elf to finish the work before the deadline"
"What is the meaning of 'glitch' in the story?","A small problem that prevents something from working"
"What was the 'glitch' the elf faced?","He didn't know the school subjects"
"Why did Patrick feel like he was 'working harder than ever'?","Because he had to teach the elf every single subject"
"What did Patrick do with the dictionary?","He sounded out words letter by letter for the elf"
"How did the elf treat Patrick throughout the process?","He acted like a 'nag', constantly asking for help"
"What did the elf do on the last day?","He was free to go as there was no more homework"
"How did the teachers feel about Patrick's 'A's?","They were full of praise and admiration"
"Why did Patrick clean his room?","As part of his new disciplined lifestyle"
"What was the 'secret' between the reader and Patrick?","That Patrick was the one who actually learned the lessons"
"What was the elf's hat compared to?","A witch's hat"
"Why did the elf ask for books?","To find answers for the homework"
"How did the elf's ignorance motivate Patrick?","It made Patrick responsible for finding the answers"
"What subject did the elf find a 'mystery'?","History"
"What does 'cursed' mean in the elf's context?","He felt his luck was bad because he had to do homework"
"How did Patrick's mother react to his change?","She was likely amazed (indicated by 'parents wondered')"
"What did the elf do in the final scene?","Quietly disappeared"
"Was Patrick's change temporary or permanent?","The story implies it was a 'whole new attitude'"
"Why did Patrick stay up nights?","To ensure the elf finished the work correctly"
"What does 'bleary' mean?","Vision being blurred from tiredness"
