Question,Answer
Match the term with its definition,"Ratio,Comparison of two quantities; Proportion,Equality of two ratios; Unit ratio,Ratio simplified to 1:n; Equivalent ratio,Ratios that are equal; Continued ratio,Three or more quantities in sequence; Mean proportion,Middle term in proportion; Extreme proportion,First and last terms; Simple ratio,Direct ratio; Compound ratio,Product of two or more ratios; Inverse ratio,One quantity increases as the other decreases"
Match the ratio with its simplest form,"6:8,3:4; 12:16,3:4; 15:20,3:4; 10:25,2:5; 18:24,3:4; 9:12,3:4; 14:21,2:3; 8:12,2:3; 20:25,4:5; 16:24,2:3"
Match the ratio with its fraction form,"3:4,3/4; 5:2,5/2; 7:8,7/8; 9:5,9/5; 2:3,2/3; 6:7,6/7; 4:5,4/5; 8:9,8/9; 10:3,10/3; 12:5,12/5"
Match the proportion with its solution,"x/2=3/4,x=3/2; 5/x=10/4,x=2; 7/14=y/28,y=14; 3/4=6/x,x=8; 2/5=8/y,y=20; x/3=9/12,x=9/4; 4/x=2/5,x=10; 6/8=y/4,y=3; 9/3=x/1,x=3; 10/15=20/x,x=30"
Match the ratio with its percentage form,"1:4,20%; 3:2,150%; 5:5,100%; 2:3,66.67%; 7:8,87.5%; 9:6,150%; 4:5,80%; 6:7,85.71%; 10:2,500%; 8:10,80%"
Match the term with its example,"Simple ratio,2:3; Equivalent ratio,4:6; Compound ratio,2:3×3:4=1:2; Inverse ratio,Speed and Time; Continued ratio,2:3:4; Mean proportion,3 in 2:3::3:4; Extreme proportion,2 and 4 in 2:3::3:4; Unit ratio,1:5; Direct proportion,Salary and Hours; Inverse proportion,Speed and Time"
Match the ratio with comparison,"5:4,>1; 3:6,<1; 7:7,=1; 2:5,<1; 9:3,>1; 4:4,=1; 8:2,>1; 1:2,<1; 6:6,=1; 10:5,>1"
Match the proportion with cross multiplication,"2/3=4/6,True; 3/4=6/8,True; 5/7=10/14,True; 6/5=12/10,True; 7/9=14/18,True; 8/6=16/12,True; 9/12=3/4,True; 10/15=2/3,True; 4/5=8/10,True; 3/2=6/4,True"
Match the ratio with direct/inverse,"Speed:Time,Inverse; Salary:Hours,Direct; Distance:Time,Direct; Area:Side²,Direct; Cost:Quantity,Direct; Work:Time,Inverse; Population:Area,Direct; Profit:Cost,Direct; Time:Speed,Inverse; Volume:Height,Direct"
Match the ratio with scaling,"2:3 scaled by 2,4:6; 5:7 scaled by 3,15:21; 3:4 scaled by 5,15:20; 6:8 scaled by 2,12:16; 7:9 scaled by 3,21:27; 2:5 scaled by 4,8:20; 9:10 scaled by 2,18:20; 4:6 scaled by 3,12:18; 5:8 scaled by 2,10:16; 1:3 scaled by 5,5:15"
Match the ratio with its addition/subtraction result,"2:3+1:2,4:5; 3:4+2:3,17:12; 5:6-1:2,7:12; 7:8+1:4,15:16; 2:5-1:5,1:5; 3:7+2:7,5:7; 4:9-1:9,1:3; 5:8+3:8,1:1; 6:11-2:11,4:11; 1:2+1:2,1:1"
Match the ratio with real-life example,"Recipe ingredients,2:3; Students to teachers,30:1; Boys to girls,5:4; Distance to time,Speed ratio; Salary to hours worked,Direct proportion; Water and milk,3:2; Books to shelves,4:1; Red to blue balls,2:5; Height to shadow length,Direct proportion; Profit to investment,Direct proportion"
Match the type of proportion with example,"Direct proportion,Salary and hours worked; Inverse proportion,Speed and time; Continued proportion,2:3:4; Simple proportion,5:10::2:4; Compound proportion,2:3×3:4=1:2; Direct proportion,Distance and time; Inverse proportion,Work and time; Simple proportion,3:6::1:2; Compound proportion,4:5×5:6=2:3; Direct proportion,Cost and quantity"
Match the ratio with its simplified proportion,"6:8::3:4,Correct; 10:15::2:3,Correct; 12:16::3:4,Correct; 18:24::3:4,Correct; 14:21::2:3,Correct; 20:25::4:5,Correct; 9:12::3:4,Correct; 8:12::2:3,Correct; 15:20::3:4,Correct; 16:24::2:3,Correct"
