Question_Type,Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Answer
MCQ,1,The living components of an ecosystem are called,Abiotic factors,Biotic factors,Producers,Consumers,Biotic factors
MCQ,2,Plants are called producers because they,Consume food,Make their own food,Depend on animals,Decompose waste,Make their own food
MCQ,3,Which organisms are primary consumers?,Plants,Herbivores,Carnivores,Decomposers,Herbivores
MCQ,4,Which organisms break down dead plants and animals?,Producers,Herbivores,Carnivores,Decomposers,Decomposers
MCQ,5,Which is an abiotic component?,Plants,Animals,Fungi,Water,Water
MCQ,6,Food chain shows,Energy flow,Water cycle,Carbon cycle,Oxygen cycle,Energy flow
MCQ,7,Which trophic level has maximum energy?,Producers,Primary consumers,Secondary consumers,Tertiary consumers,Producers
MCQ,8,Energy transfer from one trophic level to next is about,1%,5%,10%,50%,10%
MCQ,9,Which is a primary consumer?,Grass,Deer,Lion,Bacteria,Deer
MCQ,10,Which is a secondary consumer?,Grass,Deer,Lion,Algae,Lion
MCQ,11,Which is the ultimate source of energy?,Moon,Earth,Sun,Water,Sun
MCQ,12,Which gas is returned to atmosphere by respiration?,Oxygen,Nitrogen,Carbon dioxide,Hydrogen,Carbon dioxide
MCQ,13,Which cycle maintains balance of oxygen and carbon dioxide?,Nitrogen cycle,Water cycle,Carbon cycle,Oxygen cycle,Carbon cycle
MCQ,14,Which organisms recycle nutrients?,Producers,Consumers,Decomposers,Carnivores,Decomposers
MCQ,15,Which pyramid shows energy at different trophic levels?,Pyramid of numbers,Pyramid of biomass,Pyramid of energy,Pyramid of food,Pyramid of energy
MCQ,16,Which pyramid is always upright?,Numbers,Biomass,Energy,Food,Energy
MCQ,17,Which substance is biodegradable?,Plastic,Glass,Paper,Polythene,Paper
MCQ,18,Which substance is non-biodegradable?,Paper,Vegetable waste,Plastic,Cotton,Plastic
MCQ,19,Accumulation of harmful chemicals is called,Biodegradation,Biomagnification,Biogeochemical cycle,Decomposition,Biomagnification
MCQ,20,DDT concentration increases at higher trophic levels due to,Respiration,Decomposition,Biomagnification,Photosynthesis,Biomagnification
MCQ,21,Which practice reduces environmental pollution?,Burning plastic,Using polythene,Recycling waste,Deforestation,Recycling waste
