Column A,Column B
Point,Zero dimension
Line,One dimension
Plane,Two dimensions
Line segment,Part of a line with two endpoints
Ray,Part of a line with one endpoint
Parallel lines,Lines in the same plane that never meet
Perpendicular lines,Lines intersecting at 90 degrees
Triangle,Polygon with 3 sides
Quadrilateral,Polygon with 4 sides
Circle,Set of points equidistant from a center
Radius,Distance from center to any point on circle
Diameter,Longest chord of a circle
Chord,Line segment joining two points on a circle
Complementary angles,Sum of angles is 90 degrees
Supplementary angles,Sum of angles is 180 degrees
