Question,Answer
Discrimination means treating people ________.,unfairly
All people are ________ under the law.,equal
People may face discrimination due to their ________.,caste
Discrimination can also be based on ________.,gender
Religion can be a reason for ________.,discrimination
Everyone has the right to live with ________.,dignity
Treating some people better than others is ________.,unfair
Laws protect people from ________.,discrimination
People should respect each other’s ________.,differences
Discrimination can happen at ________ and workplaces.,schools
Social exclusion is a form of ________.,discrimination
Children should not face ________.,discrimination
Everyone should have equal access to ________.,education
Discrimination violates basic ________.,rights
Caste discrimination is illegal in ________.,India
Gender discrimination is against ________.,law
People should celebrate ________ and diversity.,differences
Ignoring someone because of their background is ________.,wrong
Discrimination can be based on language, ________, or region.,culture
Treating everyone fairly is called ________.,equality
Racism is a form of ________.,discrimination
Bullying based on looks is ________.,discrimination
Everyone has the right to ________ without fear.,speak
Equal opportunities should be given in ________.,jobs
Discrimination hurts a person’s ________.,dignity
Laws aim to promote social ________.,justice
People should help reduce ________ in society.,discrimination
Discrimination affects social ________.,harmony
People should respect the rights of ________.,others
Judges protect people from ________.,unfair treatment
Discrimination can create social ________.,tension
Equality means treating everyone the same and with ________.,respect
People should not be judged by their ________.,appearance
Inclusive society accepts ________ of all people.,differences
Discrimination can lead to ________.,poverty
Everyone should have equal access to ________ and healthcare.,resources
Discrimination in schools is ________.,wrong
People with disabilities should not face ________.,discrimination
Social laws prevent ________ practices.,unfair
Discrimination can destroy ________ in communities.,trust
Treating people differently due to religion is ________.,illegal
Government works to promote ________ and equality.,justice
Everyone has the right to live without ________.,fear
Discrimination violates human ________.,rights
People should speak up against ________.,injustice
Equal treatment is a basic human ________.,right
Discrimination is harmful for ________ development.,social
Promoting equality ensures ________ in society.,peace
All citizens should respect ________ rights.,fundamental
Discrimination is a ________ behavior.,negative
People should embrace cultural ________.,diversity
