Question,Answer
Who were the main characters in the story?,The main characters were Jumman Shaikh and Algu Chaudhary.
What kind of relationship did Jumman and Algu share initially?,They were close friends.
Who lived with Jumman Shaikh?,Jumman’s old aunt lived with him.
Why did the aunt transfer her property to Jumman?,She transferred it so that Jumman would take care of her.
Why was the aunt unhappy later?,Jumman stopped treating her well.
What did the aunt demand from Jumman?,She demanded her property back.
Where did the aunt go for justice?,She went to the village panchayat.
Who was chosen as the panch?,Algu Chaudhary was chosen as the panch.
Why was Jumman angry with Algu?,Because Algu gave a judgment against him.
What judgment did Algu give?,He ordered Jumman to give the aunt a monthly allowance.
What happened to their friendship after this?,Their friendship broke.
What problem did Algu face later?,Samjhu Sahu did not pay him for a bullock.
Where did Algu go for justice?,He went to the panchayat.
Who was chosen as the panch this time?,Jumman Shaikh was chosen.
Why was Algu worried?,He feared unfair judgment.
What decision did Jumman give?,He decided in favour of Algu.
Why did Jumman give a fair judgment?,His conscience guided him.
What happened to their friendship at the end?,Their friendship was restored.
What lesson does the story teach?,It teaches the importance of justice and fairness.
Why is the story titled “Fair Play”?,Because justice is done without bias.
What quality did Algu show as a panch?,Honesty.
What quality did Jumman show at the end?,Fairness.
Why was the aunt helpless?,She was old and dependent.
What role does the panchayat play?,It delivers justice.
Why is conscience important?,It guides right action.
How does justice affect society?,It maintains trust.
Why did Jumman feel guilty?,He had treated his aunt badly.
How did Algu trust the panchayat?,He believed in justice.
Why is friendship tested in the story?,Because of moral conflict.
What does the story say about revenge?,Revenge should not guide decisions.
Why did Jumman change?,He realized the value of fairness.
How did Algu feel after judgment?,Relieved.
Why is honesty respected?,It builds trust.
What happens when justice is unfair?,Society suffers.
How did the villagers react to fair judgment?,They respected it.
Why should judges be unbiased?,To ensure justice.
What is the moral of the story?,Justice above personal relations.
How does the story end?,With friendship restored.
Why is fairness important?,It ensures peace.
What does the story teach children?,Be honest and fair.
Why did Jumman ignore his aunt?,He became selfish.
What role does conscience play?,It corrects mistakes.
Why is justice greater than friendship?,Justice protects society.
How does the story show moral courage?,Through fair judgment.
What mistake did Jumman make initially?,Neglecting his aunt.
How did Jumman redeem himself?,By giving fair judgment.
Why is the aunt important?,She represents helpless people.
How does the panchayat work?,By collective decision.
Why should we respect elders?,They depend on us.
What values does the story promote?,Fairness and honesty.
