Question,Option A,Option B,Option C,Option D,Correct Answer
Light travels in?,Straight line,Curve,Circle,Zigzag,Straight line
What forms a shadow?,Opaque object,Transparent object,Translucent object,Light source,Opaque object
Which object allows all light to pass?,Transparent,Opaque,Translucent,Reflective,Transparent
Which object allows some light to pass?,Translucent,Opaque,Transparent,Reflective,Translucent
Which object does not allow light to pass?,Opaque,Transparent,Translucent,Reflective,Opaque
What is reflection of light?,Bouncing back of light,Absorption of light,Refraction of light,Scattering,Bouncing back of light
Which surface gives clear reflection?,Plane mirror,Rough wall,Wood,Cloth,Plane mirror
Image formed in plane mirror is?,Virtual,Real,Inverted,Upside down,Virtual
Image in plane mirror is?,Upright,Inverted,Distorted,Upside down,Upright
What is the color of shadow?,Dark,Light,Transparent,Colored,Dark
Shadow changes with?,Position of light,Material of object,Color of object,Size of object,Position of light
Which object can produce shadow?,Opaque,Transparent,Translucent,Light source,Opaque
Shadow is longest at?,Morning,Noon,Evening,Midnight,Morning
Shadow is shortest at?,Noon,Morning,Evening,Midnight,Noon
Which mirror can form real image?,Concave,Convex,Plane,Flat,Concave
Which mirror diverges light?,Convex,Concave,Plane,Flat,Convex
Which mirror converges light?,Concave,Convex,Plane,Flat,Concave
Reflection obeys which law?,Angle of incidence equals angle of reflection,Snell’s law,Fresnel law,Newton’s law,Angle of incidence equals angle of reflection
What is penumbra?,Partial shadow,Complete shadow,No shadow,Light source,Partial shadow
What is umbra?,Complete shadow,Partial shadow,No shadow,Light source,Complete shadow
Light is essential for?,Seeing,Heating,Cooling,Cooking,Seeing
Which object is luminous?,Sun,Book,Chair,Pen,Sun
Which object is non-luminous?,Chair,Sun,Lamp,Candle,Chair
Which is natural source of light?,Sun,Lamp,Electric bulb,Candle,Sun
Which is artificial source of light?,Lamp,Sun,Stars,Fireflies,Lamp
Which mirror is used in rear-view?,Convex,Concave,Plane,Flat,Convex
Which mirror is used in shaving?,Concave,Convex,Plane,Flat,Concave
Which mirror gives diminished image?,Convex,Concave,Plane,Flat,Convex
Which mirror gives enlarged image?,Concave,Convex,Plane,Flat,Concave
Which mirror gives virtual image?,Plane,Concave,Convex,Concave and Plane,Plane
Which mirror gives real image?,Concave,Plane,Convex,Plane and Convex,Concave
Which mirror is spherical?,Concave,Plane,Convex,Flat,Concave
Which mirror is flat?,Plane,Concave,Convex,Spherical,Plane
Reflection helps in?,Seeing,Lighting,Heating,Cooking,Seeing
Shadow depends on?,Position of light source,Color of object,Material of mirror,Shape of mirror,Position of light source
Which material reflects maximum light?,Mirror,Cloth,Wall,Wood,Mirror
Which material absorbs maximum light?,Black cloth,Mirror,Glass,Water,Black cloth
Transparent objects produce?,No shadow,Complete shadow,Partial shadow,Colored shadow,No shadow
Opaque objects produce?,Shadow,No shadow,Colored light,Diffused light,Shadow
Translucent objects produce?,Partial shadow,Complete shadow,No shadow,Colored light,Partial shadow
Concave mirror forms?,Real and virtual image,Only real,Only virtual,No image,Real and virtual image
Convex mirror forms?,Virtual image,Diminished image,No image,Real image,Virtual image
Angle of incidence is?,Angle between incident ray and normal,Angle between reflected ray and normal,Angle between incident and reflected ray,Angle with surface,Angle between incident ray and normal
Angle of reflection is?,Angle between reflected ray and normal,Angle between incident ray and normal,Angle between rays,Angle with surface,Angle between reflected ray and normal
Law of reflection applies to?,All mirrors,Only plane mirrors,Only concave mirrors,Only convex mirrors,All mirrors
Image in plane mirror is?,Laterally inverted,Upright,Real,Inverted,Laterally inverted
Convex mirror is used for?,Rear-view,Shaving,Make-up,Optical instruments,Rear-view
Concave mirror is used for?,Shaving,Rear-view,Traffic mirror,Street light,Shaving
Plane mirror shows?,Virtual image,Real image,Enlarged image,Diminished image,Virtual image
Concave mirror can produce?,Magnified image,Virtual image,Diminished image,All of these,All of these
Convex mirror always produces?,Diminished virtual image,Enlarged image,Real image,No image,Diminished virtual image
Shadow is darkest at?,Umbra,Penumbra,No shadow,Light,Umbra
Partial shadow is called?,Penumbra,Umbra,Light,Shade,Penumbra
